customer_beneficiary_id,customer_id,beneficiary_id,first_transaction_date,last_transaction_date,relationship_risk_score
CBEN_bf04bae174b8442d9d29611fe8da20f3,CUST_bd381029d7934b8381a57f433691a670,BENE_5a1d31acea084156a3cdf0d26df956a4,2026-03-15 22:06:25.216739,2026-05-04 22:06:25.216739,46.78
CBEN_d5da709479b5476c85b7cb25ff82fe9c,CUST_e875252b533147f0b172120f85ac6e04,BENE_cac83f3228464a68b8f049c316a6c895,2026-02-15 22:06:25.216739,2026-05-03 22:06:25.216739,4.8
CBEN_39e864b5eeb84484922e82b86261a9c4,CUST_7d913e2485234c459d442a7632f95e18,BENE_8c4ac6a13a2245ff884ec612ae3684d0,2025-05-11 22:06:25.216739,2026-05-13 22:06:25.216739,2.67
CBEN_c9b2c0cd789f4e52b75b297b6c3f2536,CUST_963ad83c74e643c6a5a6dd7a2f2ebf51,BENE_0b8773ea2968449b957c17cca8def199,2025-07-05 22:06:25.216739,2026-05-17 22:06:25.216739,37.21
CBEN_79c848a0b0db4252ba1fa70376c07b05,CUST_a6dc03646cd641b7bac884da7013d61e,BENE_f4d76d8670214ea59dbe415c86719b69,2025-07-14 22:06:25.216739,2026-05-03 22:06:25.216739,21.05
CBEN_39c916ae92cf42489fc426ef3c026ce8,CUST_4cefc87abdce4c8399e5f2571ce2fe24,BENE_609f15fd7eff4310a2452b6f1d105f9e,2025-11-27 22:06:25.216739,2026-04-30 22:06:25.216739,46.79
CBEN_4b4bc0a0e1e440f8a3b88e049b63c86e,CUST_bf030187460948cf97ed4b2d14c20436,BENE_4cb061c406454d8fa474efa82a79a229,2026-03-07 22:06:25.216739,2026-05-04 22:06:25.216739,48.66
CBEN_a207a9f4b8064768b8db250099776e92,CUST_4e52d2a748bf4742b33c657b78b5fad8,BENE_efdb6d36d45f4a34a3723a2c9bbd86a5,2025-11-22 22:06:25.216739,2026-06-08 22:06:25.216739,29.71
CBEN_083996a0a56b40309ac1bba403046596,CUST_04244443d3d44973911fb0f28fd098bc,BENE_c2eeb040747c40f29a13c3f71ef803cf,2025-12-08 22:06:25.216739,2026-05-05 22:06:25.216739,47.19
CBEN_023c66c662224ea483058a16191077de,CUST_40f02f70628e4f198ba987de92bce9e1,BENE_78878cbab499426b83f7798caf0e7c3d,2025-09-03 22:06:25.216739,2026-05-17 22:06:25.216739,49.5
CBEN_b8bbb9d827e9461f95db688e342ba8ff,CUST_ce62fe94fb4b4701bd55c7024131dcc7,BENE_96312523a6df4eeda3f2c3fd936d0d94,2025-08-18 22:06:25.216739,2026-06-04 22:06:25.216739,31.11
CBEN_c6deca7dd7064297baf25b841ef8cbc6,CUST_d1b1ba8358d64d0095f90ba5706d07d7,BENE_cdb8a5c072b14e8ca8cfc846d131229f,2026-01-05 22:06:25.216739,2026-04-12 22:06:25.216739,24.98
CBEN_29666818e7ca4e4c9f4d3833413acd96,CUST_2a8c498750064cd6842d36e7f482b784,BENE_d0c72402414f4c129f9214577dd1e1a6,2026-03-15 22:06:25.216739,2026-04-26 22:06:25.216739,47.64
CBEN_82d2742489934086b5fc5e24173908e6,CUST_e490c64739aa47429aa34870789b63fe,BENE_9b335cf7d34647f6957b5d9524b6df35,2025-12-02 22:06:25.216739,2026-05-07 22:06:25.216739,22.87
CBEN_b23c4308bc77438985f9c02d658a973f,CUST_a1a8b0172fff4e44ae97f47180f498de,BENE_daa175d4d3464f05a7ce6bd7ce863ba0,2025-07-13 22:06:25.216739,2026-05-09 22:06:25.216739,71.11
CBEN_78d34dd82330419badc122e8585d6787,CUST_4602354e7d0b4eeb9dc4dbe776e01c00,BENE_cea362e030264a9c9cbedc861f10dfcb,2025-09-18 22:06:25.216739,2026-05-15 22:06:25.216739,7.66
CBEN_8dc9c42191fa4f9a8231aae380db2bfa,CUST_8e5f5dae22e5453fb35c1950870e3683,BENE_c38fb960d114477d94b257da1f79ce4f,2026-03-27 22:06:25.216739,2026-04-15 22:06:25.216739,39.29
CBEN_4591f36b9e3e434ca1cb824e61422d13,CUST_42a71143add349f0b54b51cf1f1355d4,BENE_baa88521453144ecbc4edd50a9774079,2026-03-17 22:06:25.216739,2026-04-16 22:06:25.216739,18.58
CBEN_0f3036a1ea2e4863a89043d87e5ac33a,CUST_c103d9101c144b418fcb48253146eff4,BENE_52a173b825a44e6b8f72c811e92775ae,2026-04-07 22:06:25.216739,2026-05-02 22:06:25.216739,32.44
CBEN_80c29b61a12b4af8afa239796bceb8a7,CUST_645bc227e206440a9fdd5f3e3fe43401,BENE_69779c8913514e799fd89b6069dd5738,2025-11-03 22:06:25.216739,2026-05-22 22:06:25.216739,31.31
CBEN_42b5a8b4114045068963b96dea5de9a4,CUST_74277fd0c9d142f4a28fea59f185ad8f,BENE_58f82c1cad504f189a9ab21cffc6b591,2026-02-14 22:06:25.216739,2026-05-16 22:06:25.216739,0.53
CBEN_7808a951bc41457eb830db5d60155474,CUST_2415509c7c6b40cd94bda3177e793831,BENE_ebb102ec44d84e9cac74104ca09dfa57,2026-02-20 22:06:25.216739,2026-05-31 22:06:25.216739,42.0
CBEN_e50e43e08cff4b2ab5947f0486d239af,CUST_aa0c12115d1c401ea46aaa14c2f9e1bf,BENE_3c4c0584a75341339d7fc8b40692fc0a,2025-12-18 22:06:25.216739,2026-04-11 22:06:25.216739,16.73
CBEN_3622fd780f9d461f94e72c54f6f8076a,CUST_1e8d5852ec0b4481a993fce7f7b2dc76,BENE_de21d73437994c77a590fc16a0578229,2025-09-09 22:06:25.216739,2026-05-14 22:06:25.216739,31.42
CBEN_c3956af7f665465cac0241aaf90d1841,CUST_4602354e7d0b4eeb9dc4dbe776e01c00,BENE_5241deab38fa4f39b36fcd88ab328984,2025-09-30 22:06:25.216739,2026-05-12 22:06:25.216739,41.82
CBEN_b055be01643f42ecb3cda84f01c4bcb9,CUST_a65baed4ae9647049752bca4e6832199,BENE_ac8fd8ae5a964c7789b176da18014fef,2025-10-08 22:06:25.216739,2026-06-07 22:06:25.216739,49.23
CBEN_ad6ea20cef154129a7d1a5dce5e5a5b4,CUST_bcee9783b7ae4532b321b06fe5b22100,BENE_5479e2434dc143debfbbafa337a574b4,2025-05-29 22:06:25.216739,2026-06-07 22:06:25.216739,41.72
CBEN_71e8c104457c4349ab0318b50cd69034,CUST_d20159ee040b4f79848824c62f50f587,BENE_a979cd3a89e84f76a53f5f46cd7da19d,2025-10-08 22:06:25.216739,2026-04-28 22:06:25.216739,18.63
CBEN_1e10808f59494013bfcf8a18f7f9a292,CUST_f9f459d9fa9f4989b4cba7f783150c2c,BENE_8a1713517ce4480f8846d12f68def14d,2025-08-19 22:06:25.216739,2026-05-12 22:06:25.216739,16.49
CBEN_79c67e1cca184e1a952c8fd02df74508,CUST_8f82d8dc22a140b08a98359badf2a741,BENE_e8e53ca49b254309a5845e7a707d1d54,2025-07-09 22:06:25.216739,2026-04-12 22:06:25.216739,28.72
CBEN_a4aa1701f88b4c0c84c0b8640418a014,CUST_c29d622719c6444487bf8bd4af5288af,BENE_a54f290c897d477eaca539a90b1e4c1f,2025-08-10 22:06:25.216739,2026-05-03 22:06:25.216739,34.98
CBEN_8dc0728deab44cddaeef8354c8f4e566,CUST_2542ea07180e45f68e0f9de7b010989b,BENE_46a7bf4251c643cdb1163be074994b1d,2025-12-04 22:06:25.216739,2026-05-02 22:06:25.216739,4.81
CBEN_4959b7bc0f1a43ef991aa2b0a9d9c599,CUST_a2e56e1ec2f94d54a21e3cca433f0314,BENE_470c91c8c6d04cc2a29ae274403520d2,2025-06-06 22:06:25.216739,2026-05-20 22:06:25.216739,24.38
CBEN_0c64eb7686f84764adb1a41b0390a44d,CUST_63391e53a2e542aca1be046b799928b9,BENE_e32d2e4674dd4bdf9f4b4952891539d7,2025-12-16 22:06:25.216739,2026-05-10 22:06:25.216739,7.6
CBEN_1bc9490f099f4d60a95211fd08bacd13,CUST_18965506bc024b9194ba8f6f818b63b4,BENE_1dafa44b91ad4627b394757575866ee4,2025-06-24 22:06:25.216739,2026-04-16 22:06:25.216739,29.68
CBEN_7476bb3c8b03443185b2c66b68316a1b,CUST_704a107c137d4a1189414d1870fc9045,BENE_944e00ccbb4d4cf1b6a92a5fe6e2c703,2026-01-03 22:06:25.216739,2026-05-19 22:06:25.216739,43.48
CBEN_fd0ed2f4b7494a06ad6b43902f20611b,CUST_b0a4646c7c9f4847a71225d652db174b,BENE_ccc485f373864f6ca32a704f1b42cd7b,2026-02-27 22:06:25.216739,2026-04-25 22:06:25.216739,39.54
CBEN_6520cfed6bd344e49296bf30a97a934b,CUST_f2dc74dbb55147669a24304332d776a3,BENE_2096d0ec50c440c2859b69fe77cc0888,2025-06-24 22:06:25.216739,2026-04-23 22:06:25.216739,46.4
CBEN_1bc978c4ecb243389fe8f82415d2252f,CUST_b58f0c5169bc42d7936a3579234bdfda,BENE_9f34e831f6d74841ad5c23e0bd5f7b91,2025-09-24 22:06:25.216739,2026-04-18 22:06:25.216739,42.34
CBEN_919bc20b9232498580f45412bb8e69f3,CUST_ab071d46e6cc4d669ac7826b9dd1dcdd,BENE_74228dd47c45496694695fd4ca597295,2025-06-11 22:06:25.216739,2026-06-01 22:06:25.216739,1.35
CBEN_f50fbca0913544ec8fd8e675ea171b05,CUST_87d8efded129404692272e9b5e4df7d5,BENE_f8a97021226745abb9f0ae8131ba5740,2025-08-20 22:06:25.216739,2026-05-12 22:06:25.216739,45.33
CBEN_3cb84253ec4d4600a27ec402e42e14cf,CUST_c96e2a498b584ebf9e8a4028c17ad0e1,BENE_eafa937fc2844d1d86571c42edced7a8,2025-11-22 22:06:25.216739,2026-05-08 22:06:25.216739,3.56
CBEN_fc02e81cc57640ab9a0ab54f084d8631,CUST_a2a34dd80cfd4b79936809a3a77f1150,BENE_daa175d4d3464f05a7ce6bd7ce863ba0,2025-11-04 22:06:25.216739,2026-05-28 22:06:25.216739,77.53
CBEN_8f247c997a484cf1ab730857b5f9f782,CUST_8e7f0684638a4148b3ad95f5f98321e5,BENE_92c6afa79ebd43829cb8153f61f8065c,2025-05-12 22:06:25.216739,2026-05-25 22:06:25.216739,8.42
CBEN_29fdc8da5ecd467ba3112ad5434fa492,CUST_e4ec28c4f4fc404c8ef56ab52adf8335,BENE_633c29b026e947209dc89f3f4620f58f,2026-02-18 22:06:25.216739,2026-06-04 22:06:25.216739,40.67
CBEN_477cd675bb834b11a4542779872b418f,CUST_6fac8fd44adc4e70b1412fead6f14b60,BENE_71dace47362945e18eaaaf824a7fb5b1,2025-06-17 22:06:25.216739,2026-06-05 22:06:25.216739,6.54
CBEN_6114d9b057c545ec89d74d2ec0fb8d04,CUST_b38cd8ef821548419761e4e8af78f0e5,BENE_98c71cc3c34749bc8a916ac5514715a6,2025-05-14 22:06:25.216739,2026-05-13 22:06:25.216739,38.1
CBEN_f392198d141646ddb57bb5d6e2cdfd3b,CUST_7e926de994c84479b870ff25ce765ed3,BENE_ad8fb41df480401382452d8e20fdbeac,2026-02-01 22:06:25.216739,2026-05-24 22:06:25.216739,24.25
CBEN_f35babf439f14336adf36af19a4a5f31,CUST_aad2cd7d07b04612967a4826b52eb85d,BENE_46a9234e676146edb2027260f12e12de,2026-01-02 22:06:25.216739,2026-04-29 22:06:25.216739,46.59
CBEN_ac59f87c4d624383a3508f356f786aa4,CUST_4c66648612d44d5c857b0372dc393656,BENE_e30b0372639d42fe938139e51668020a,2026-02-14 22:06:25.216739,2026-04-19 22:06:25.216739,10.96
CBEN_02c1374ebc1a4f4f91b927b52709ddad,CUST_4b891a23fb924b6db165ede8d3bbb3aa,BENE_daa175d4d3464f05a7ce6bd7ce863ba0,2025-12-04 22:06:25.216739,2026-06-08 22:06:25.216739,88.36
CBEN_9a6e819389564a67ae2fb18c09e73fe5,CUST_e7ce07803c494ff7a30ab2827ffe835e,BENE_282ac9d40efa43ff9c4230ab69932d0d,2025-07-09 22:06:25.216739,2026-05-24 22:06:25.216739,4.89
CBEN_043f5fc5b7194a3085abc63506e4ec4b,CUST_c26f72d0f8924e48a4fea1b666780f24,BENE_59cd7af72f2442609cf935abdf6f0bfc,2025-11-27 22:06:25.216739,2026-05-16 22:06:25.216739,48.91
CBEN_a8b12b48f8654f91a67a397bcbaaa9c0,CUST_944e5da1c3f34072a480f249a9bc25f8,BENE_dd967b67d04b436cb08f54188a7a5767,2025-12-04 22:06:25.216739,2026-05-08 22:06:25.216739,26.7
CBEN_4f23dd9fd18c428089fae5f5480507c0,CUST_5cf7b7db8da8450e838602a14c61d0ce,BENE_9baa19c064fc48e7b56f2365bf3271c9,2026-04-04 22:06:25.216739,2026-05-26 22:06:25.216739,15.43
CBEN_1d86f9a0088d41408a8ed9d297c2b446,CUST_a71590fecb264a7e8e8e87c61bc834d0,BENE_e6d1617966fd4f2db12130c5a9ba8db7,2025-12-20 22:06:25.216739,2026-04-18 22:06:25.216739,9.8
CBEN_f7a8824586d94a778097203984a1ed44,CUST_23ccf617efca42b893eb837723af3fa2,BENE_94167bb192dc4d1a9faaff0af54299a0,2026-01-08 22:06:25.216739,2026-05-07 22:06:25.216739,22.15
CBEN_56d5a151607a4edea24691282107f709,CUST_d0415b3ee21c49e5892b076e069b2b00,BENE_cd7686669c2f498083f5fb7639fa7cb8,2025-05-21 22:06:25.216739,2026-05-30 22:06:25.216739,40.16
CBEN_bc9a20cdc5b24a34be16a024cb6e93e2,CUST_3f68d0526f364cc0922f40723b6c296d,BENE_e51ec6a745ff452c96fdd0a205c742f9,2025-09-09 22:06:25.216739,2026-05-19 22:06:25.216739,20.17
CBEN_5672ceddd532451b8c3b432396af16bd,CUST_ce8e29dabecc48a5a5c7a53164011ff6,BENE_c7a683cec25b4cf4912fabefdbe038fb,2025-07-02 22:06:25.216739,2026-05-14 22:06:25.216739,20.7
CBEN_148486af80674a6c8129a50bfc322f26,CUST_a29c30aec3f641ff8d998306f7c2f185,BENE_6fcab57c89374f37b79c7bf464e41a1d,2025-07-12 22:06:25.216739,2026-06-06 22:06:25.216739,37.4
CBEN_d8542586b3cd46689930c6e94fad7819,CUST_31b561918c1940809b315d9bc48e62cf,BENE_50934996dc0f40bc8a908b6192fb93af,2025-10-22 22:06:25.216739,2026-04-11 22:06:25.216739,27.69
CBEN_3dbaaeb05c884ba595c32d20bee9c9b4,CUST_c5d65f5f4ce2429a914b31744c39facb,BENE_6fe02c7baaab461a8cb0a8bc7d10df59,2026-03-25 22:06:25.216739,2026-06-05 22:06:25.216739,35.78
CBEN_ab79fa7a42a74391aa6fc1048419239c,CUST_a1b6becd3f254281b89b83b71a489963,BENE_9c2e125306434e6c95f6529bcb5dc568,2025-06-30 22:06:25.216739,2026-05-03 22:06:25.216739,32.88
CBEN_23c1b9e3b2a64ddbacbd82153ff51600,CUST_2bb8956994274221b92784d31b1ab755,BENE_e328e119e40140a69abdc30d07ff6d4b,2025-12-21 22:06:25.216739,2026-05-05 22:06:25.216739,5.79
CBEN_26322ce4852c4b50a1deb388b6b9bc70,CUST_b0a4646c7c9f4847a71225d652db174b,BENE_09b9a0a9818443ecb66cd4f4c9bd3918,2025-08-13 22:06:25.216739,2026-04-16 22:06:25.216739,18.62
CBEN_e3c0706e669e4f198a7e96a606a6a404,CUST_e4ec28c4f4fc404c8ef56ab52adf8335,BENE_b77bd3e5f8d34a6086e8b08127daead9,2026-03-14 22:06:25.216739,2026-04-11 22:06:25.216739,4.63
CBEN_bf2d8e6193e04733893b2d2a77031880,CUST_31d0abe176a54d3482f78ff3c0651f10,BENE_1bf4123c49c44f05af1d4a746d3ec326,2025-11-01 22:06:25.216739,2026-05-22 22:06:25.216739,11.04
CBEN_e7897784df3342f8934bc760d98fd5bf,CUST_10adeab38c57487c8e39caa68f6b0c08,BENE_8222ec0572964a13a70731980a2f4289,2025-07-06 22:06:25.216739,2026-04-25 22:06:25.216739,37.32
CBEN_7f8d6c58eb6d450580989b2bedb2358c,CUST_db96d73ed2f6451f90baec9ea5e2bbb6,BENE_dcf94e2b71ad426f9cd42491ea0758b8,2025-10-22 22:06:25.216739,2026-05-10 22:06:25.216739,27.02
CBEN_2d2d2a4bf5004cdc8c38d0610439deba,CUST_b3abd69172744f9d8641ecb056fe3723,BENE_e96ae5e628924c40ab362c6db33ef164,2025-06-28 22:06:25.216739,2026-04-29 22:06:25.216739,2.47
CBEN_7e2df2237243437e80d5e158374440ea,CUST_4a1e33fa647f451493a57b558fc07f07,BENE_ecf625b922774cb29f57b877855b5627,2025-08-07 22:06:25.216739,2026-05-10 22:06:25.216739,31.05
CBEN_3239e669cc334c86a06dffa3bb2854e1,CUST_877e758f3fa8461093ad5fe89a8a8228,BENE_daa175d4d3464f05a7ce6bd7ce863ba0,2025-11-21 22:06:25.216739,2026-04-30 22:06:25.216739,97.79
CBEN_7662c6f702f34ef29ae446b955d2034b,CUST_80366be5c6614f7186e1f4063e88a280,BENE_043d01efb85146eabf0b30d1aa7d8ade,2026-02-15 22:06:25.216739,2026-04-18 22:06:25.216739,14.1
CBEN_df6c883ac247436cbdea1e5efd6c3d09,CUST_2b6ce9d9f01b4fcd90f58d9958a65761,BENE_4592a329876f44909376c86bb9334ded,2025-07-13 22:06:25.216739,2026-05-06 22:06:25.216739,43.57
CBEN_fe1dd4cc98244b39964a262e6339ddcc,CUST_de1a7af16a394fa2a8d87968c8b10021,BENE_8400d9428a8342a5a56f409c832f021e,2026-02-11 22:06:25.216739,2026-05-17 22:06:25.216739,33.49
CBEN_65b05c3a459747e68bd175a7f3a77b87,CUST_f02c959490724befadfe17e617bef578,BENE_a445f02aa0dc465192ca4a4eb93229d5,2025-05-21 22:06:25.216739,2026-04-19 22:06:25.216739,42.0
CBEN_ff5298ac31794946a79430c76bec62df,CUST_72b6a2f7a923428893451133eaecf4b5,BENE_9d5aadfae8a94015be23a687fcb1c4d3,2025-11-10 22:06:25.216739,2026-05-22 22:06:25.216739,21.38
CBEN_3ec9a8947f814e2eaa3ca146829ac765,CUST_bd5ebd702d32416bb921a2a2deb3097f,BENE_bdd575ada2b64e9bb28682d4ec1c40df,2026-02-22 22:06:25.216739,2026-04-13 22:06:25.216739,29.83
CBEN_94faca32ca034aa3b2af2d099ae6158c,CUST_3cdf11d049334e9783e83ecedf0162b2,BENE_d3f54878865b4de4a14d91beec8d7127,2025-06-10 22:06:25.216739,2026-05-18 22:06:25.216739,12.63
CBEN_c2526d3705c04e61822fcf00889b6163,CUST_a2e56e1ec2f94d54a21e3cca433f0314,BENE_21c379917130438dbf8dba8f6fa2a3bd,2025-08-21 22:06:25.216739,2026-06-03 22:06:25.216739,1.78
CBEN_3e94d0a9830a4b24ba1c264e2c85d781,CUST_9b25eb918fc3448e843ae809c50f2f39,BENE_6927413a82b846749bb6d374304f7420,2025-09-14 22:06:25.216739,2026-04-11 22:06:25.216739,18.17
CBEN_88454976ecbb42359f57bb7e6977d538,CUST_3f9e208709724ab3860184f61548f70d,BENE_2f07c2f9c226463b8b1e53770dfaab0d,2026-01-28 22:06:25.216739,2026-04-11 22:06:25.216739,19.78
CBEN_e3afcaeefeb04f299989450c1fdf8e17,CUST_822e34d3aa05470f8f8a26e95dfbde55,BENE_44a5e47b685441d8be4371adf3216124,2025-09-03 22:06:25.216739,2026-05-05 22:06:25.216739,27.66
CBEN_336a3b61727246d58d1d1370b85aa8e5,CUST_53683191f5ee42e198ee7e14a810fc18,BENE_41f2bc08fe904f58858028c161fafedd,2025-11-13 22:06:25.216739,2026-04-15 22:06:25.216739,39.19
CBEN_e4c905ee600640519612d8d151d02f1f,CUST_b74eb50b225848f7bcd8b8bdcc101bfe,BENE_102f075774d3407d9395fae067bd102a,2025-10-22 22:06:25.216739,2026-05-24 22:06:25.216739,38.86
CBEN_ae68b2b44c324145a1f50ec08882ef89,CUST_d944eaa400464c45949b79b62cc7e236,BENE_9c0daa46d15b4303934965632d5cc80c,2025-05-21 22:06:25.216739,2026-04-26 22:06:25.216739,19.95
CBEN_82ec02601ff5483397dad0f0e50445e8,CUST_f17b2595de2a48f4a62e5d9db002bf85,BENE_13e2efb715b74e3fa56e352507193fe3,2025-07-30 22:06:25.216739,2026-04-18 22:06:25.216739,24.81
CBEN_c17e1f95ec5f4fc98b5b7aec82a6ffec,CUST_2d9c38e906134374b94efda94a8af11d,BENE_8ad9e31d16d44947aacd29d628a8d118,2025-09-01 22:06:25.216739,2026-05-16 22:06:25.216739,30.22
CBEN_824b9b2bb338400fa57488fa50095582,CUST_2a023cdca7a7443ca40027f8521e774f,BENE_ff4ec26099a44b8cb39a8a3f95898d30,2025-10-12 22:06:25.216739,2026-04-30 22:06:25.216739,29.98
CBEN_07b0e1fe7a444580a42d31c840bc503c,CUST_6d5cde52c8514dda9765d72d5160b69b,BENE_a7872d7d74544892be1a7969a68869a7,2026-01-14 22:06:25.216739,2026-04-27 22:06:25.216739,11.43
CBEN_d9ca5790db5445b5b0cf578017d3b95a,CUST_671059e91531466cb07deb71f8518c80,BENE_d8a2ce2c946746d9bed7ee30c0711468,2025-11-17 22:06:25.216739,2026-04-20 22:06:25.216739,39.88
CBEN_e97191ee48f74844ab46893a86498da5,CUST_3777579b28fb42c7924d671e024c8a89,BENE_d020b2885c884129839da545abf76872,2025-12-12 22:06:25.216739,2026-04-12 22:06:25.216739,40.11
CBEN_2e3a3ede45f74568b2ae6004c9e67ab6,CUST_cdf42e6537c746c2a7616cdfd7e76d3d,BENE_8bc11427e6144f718b6069bd7054090c,2026-02-17 22:06:25.216739,2026-04-16 22:06:25.216739,21.39
CBEN_9debeac4f0fc494a8069a62e83c92d08,CUST_248d188abc094138849c28063eb076df,BENE_aa833b566f2749ca813ba2c3e6cb3550,2026-01-06 22:06:25.216739,2026-05-15 22:06:25.216739,21.45
CBEN_23b1193ba8fe473b9ae8b7bd693d693a,CUST_7c3146bca5de494f87b91fdf9a39c019,BENE_d2ec2f99962a4436b588d91da71c48ed,2025-11-24 22:06:25.216739,2026-05-07 22:06:25.216739,42.31
CBEN_b29f85a2ca474b988edc2d320010bedc,CUST_f063a88d767844b0900b7720b8c02812,BENE_4d0fc072f8e54ce2ae9fb64d70d4cdb7,2025-05-31 22:06:25.216739,2026-04-28 22:06:25.216739,5.39
CBEN_6f5815fff05946008ef1d7663c85569a,CUST_0ea42d86f0514114a775b36fe81beb55,BENE_81ba95d99a9f4bb3b115a47dfa3345e0,2025-05-14 22:06:25.216739,2026-05-14 22:06:25.216739,4.83
CBEN_8e84bdeb9d914948b52198002bc6df7d,CUST_e490c64739aa47429aa34870789b63fe,BENE_4a2f0482cb9944b5bc026eac0f1a3cf5,2025-09-25 22:06:25.216739,2026-04-13 22:06:25.216739,8.01
CBEN_5a5544caa7e2477c9842220c30e3234a,CUST_df30c4fdf2424c38826fb2666ff4fede,BENE_3289a81cf90848088900c8d6f823f83a,2025-07-20 22:06:25.216739,2026-05-25 22:06:25.216739,20.19
CBEN_4caf2de5e4a24267973718bc24be3497,CUST_29c82e5d421a411a82335e019416bcd1,BENE_7ddbabba13a548208ea84084ed8dd542,2025-10-21 22:06:25.216739,2026-05-05 22:06:25.216739,47.02
CBEN_3b498723c2b842f98f4af19778f2966c,CUST_ec1d222c47c4430a91442a0b3d01bb52,BENE_90a438ba6814400facf617ee2d1101d2,2025-05-08 22:06:25.216739,2026-05-16 22:06:25.216739,37.59
CBEN_dfdf7b89593845c294f5e9f0d27c11a6,CUST_6b673ff37f59483d9d8282776de9f1bb,BENE_5f7b7c8546e8476490fab4c01cbd50a0,2025-12-29 22:06:25.216739,2026-06-03 22:06:25.216739,32.91
CBEN_510e34a58b3a4658bc10b607e22d7b1c,CUST_6bc0a14adb304489a8d5e5399c44c173,BENE_d2ec2f99962a4436b588d91da71c48ed,2026-02-27 22:06:25.216739,2026-04-29 22:06:25.216739,9.98
CBEN_ce48d48b644b46c8935962a06a8ca447,CUST_d0398411b3c94bb8af9ab33bb199d733,BENE_9fcfdc1a917f417cbc979b29562addc1,2025-12-31 22:06:25.216739,2026-05-17 22:06:25.216739,21.55
CBEN_7eb89ca80af548399ffbfd42eedf581e,CUST_ebda35a1274a4b088968b315fee69066,BENE_34163be848de4abba1e2aa3358633d8c,2026-02-14 22:06:25.216739,2026-05-11 22:06:25.216739,44.83
CBEN_73f5d72ca0fe40618a9bcd708ac573c1,CUST_924e207730874bc5847649151c41039a,BENE_f033ed1dd9844c3bb75ecc3c8d58bc18,2026-01-17 22:06:25.216739,2026-05-08 22:06:25.216739,25.34
CBEN_fd11d5ad49f04392b036643379463d76,CUST_559c2f5d6f5b4e58aaf2ee09eee62e11,BENE_dab67e2964c546bc9e5db7a56a53222e,2025-08-10 22:06:25.216739,2026-05-27 22:06:25.216739,14.86
CBEN_f0ada412145049909782001a7a3d49ab,CUST_9d5c68a73ec3434b957387f082adcb30,BENE_f6bca4f092ff43b7888cae8922510a27,2025-08-20 22:06:25.216739,2026-04-16 22:06:25.216739,28.88
CBEN_9d545048d5434d7b9e72a76159e3ef26,CUST_585e5c31d0cb4fac86dd10e7abba5f69,BENE_6dffaf5f526548a5a7be5c031d461e8d,2026-01-02 22:06:25.216739,2026-05-11 22:06:25.216739,8.54
CBEN_86318fdd591d4ed5b5d8fa4b02956a01,CUST_1f22008fc06b4e63aa27e3f68ffa7aca,BENE_137364b773dc4fb2a90df293e8ae2ca0,2026-01-11 22:06:25.216739,2026-05-25 22:06:25.216739,38.49
