customer_device_id,customer_id,device_id,first_seen,last_seen
CDEV_d64b3153b03d44caa439cb5d61d611ba,CUST_26d2328c8c2d4fc08c2740a898fd88f2,DEV_06abb6a3c194498cabef401e09f06918,2025-12-31 22:06:25.193218,2026-06-08 22:06:25.193218
CDEV_9affea96420647e9ba13b52b32d3eede,CUST_1f22008fc06b4e63aa27e3f68ffa7aca,DEV_a7ac12ae7d9a434faba946831f9b52a2,2026-01-21 22:06:25.193218,2026-05-24 22:06:25.193218
CDEV_b733663930044f9390aa2535db3594bb,CUST_1ff016245b284146b8512c6545159f2c,DEV_bf2d6dc738d34b17a488dba0da208847,2026-05-01 22:06:25.193218,2026-06-06 22:06:25.193218
CDEV_14eb116fb76d42d08bc6db13e4aed518,CUST_643fb619336b4b4f9c407a796577556d,DEV_0d215676f6874af382bfd9e585031dfb,2026-03-12 22:06:25.193218,2026-05-23 22:06:25.193218
CDEV_d9975a1e32e7490ab11b0f6ef7957969,CUST_ca976a7bd91e45d1a20565d70a8cd6c4,DEV_f8c53bca8a43453e8ba4d852e4711668,2025-11-24 22:06:25.193218,2026-05-20 22:06:25.193218
CDEV_b94589ceb1c64b469cb80529ee25342e,CUST_281005b727dd4638b201e28cfb68d686,DEV_6fb4d435298542d0bdba837f0c115129,2025-10-19 22:06:25.193218,2026-05-22 22:06:25.193218
CDEV_5986253bb3e34f27821b6221b6865ba0,CUST_5ac8bbaae3234472b60030a532ffb8cb,DEV_22a7f8c979cf4505ae8d39ecef90d175,2025-09-23 22:06:25.193218,2026-05-31 22:06:25.193218
CDEV_afd6a25bda2c4348bc834f1277d8c144,CUST_a1ca4acb1f694af0897421e0000cedfe,DEV_549b977e7e7b4a91a1b8251e2ed1c47d,2026-05-01 22:06:25.193218,2026-05-16 22:06:25.193218
CDEV_245446d1513a44f7a8e782df7fe55400,CUST_23800a60a2e14b6bb23f7808e3fe4e91,DEV_9fb85358b9c64997a61f655f6fd56738,2025-11-08 22:06:25.193218,2026-06-03 22:06:25.193218
CDEV_2e9d3a35dd824794889d3ee8a5ff969e,CUST_799a376890fa474386d51c841b4dee61,DEV_5d0a54c8e28a4b09be8039fef17f9cc0,2026-04-30 22:06:25.193218,2026-05-29 22:06:25.193218
CDEV_9cc0295de9a1483e8bc953d67b3696cf,CUST_66a2ef838a9b4574b1979adbc9d71cc3,DEV_9920ac58b90c4fbd95fab0250b380e1a,2025-11-10 22:06:25.193218,2026-06-07 22:06:25.193218
CDEV_487a69869dac4c7e81047d4ec224a5df,CUST_1e96252467cb4eaaa54dd91eb38addbe,DEV_2a3ec06a95564ac0a1673709ec6d36df,2025-11-12 22:06:25.193218,2026-05-24 22:06:25.193218
CDEV_a87502b0b7c84bec900fd0ec2c1fb061,CUST_c3aefea45b9e47cfb2b2a75fda0d13d9,DEV_3e55b481014c4f6894b6dcd70a28a9de,2026-02-21 22:06:25.193218,2026-05-23 22:06:25.193218
CDEV_fbc752ed170d4130a8d704fb7f0be1ca,CUST_cff314ab27d64df5a2bdca807d0e05d6,DEV_95e5e2c77c1f40d1bbdcbe9af947c84a,2026-04-06 22:06:25.193218,2026-05-23 22:06:25.193218
CDEV_774222e041d24176a7631adad58c9eeb,CUST_2083cefbfa8b47d7bdde456d8770ef4e,DEV_1f8f63ecbe6c43128c2c5c0c1ce1612f,2025-12-25 22:06:25.193218,2026-05-25 22:06:25.193218
CDEV_236a6ee07d5e47aca100ecc9696127c1,CUST_fa029972140c4adfa2af8ca1bb89cc7c,DEV_5e2ae3a5b21145859a1b64c48e04f242,2026-02-21 22:06:25.193218,2026-05-27 22:06:25.193218
CDEV_2172927ac6bf4adebb9c6e798c1d8359,CUST_8fd7cf07c6c34ef9b921c22bbf02b8de,DEV_e2d12f07772b49b09e8b24af72286d04,2025-10-19 22:06:25.193218,2026-05-23 22:06:25.193218
CDEV_6e403da8b02b4c50a20e5fd550425ff3,CUST_2da0d4abfeff490184f058cff34be5ea,DEV_fd3930a182014e2f933dee258c1b4024,2026-04-15 22:06:25.193218,2026-05-27 22:06:25.193218
CDEV_cd45a479b2e5415c9aee3823595994b2,CUST_472e86c470be4d68a7e675e900c65766,DEV_d56325edfd2f4b47b69efa8b915e4731,2026-01-25 22:06:25.193218,2026-05-16 22:06:25.193218
CDEV_e507aaec03bf4d22a650b551592db41f,CUST_2924442f133d4761bdd81ab410e1cf96,DEV_b7645451c384411985376b948d17f090,2026-02-11 22:06:25.193218,2026-05-30 22:06:25.193218
CDEV_83c711f3f6934540a4d8a9af6be92835,CUST_9af7acf1f1ae47988010c89ced6a598f,DEV_09682fde94ed40d581f6ff06640413bb,2026-04-01 22:06:25.193218,2026-05-26 22:06:25.193218
CDEV_6e9a2a2d1b8b4f38acb0509715ae4714,CUST_44a5362b0094417082909166d0328b02,DEV_23dfedae76404cffadcd9caa8304b852,2026-03-23 22:06:25.193218,2026-06-06 22:06:25.193218
CDEV_9eb4b2b51d444adfb2e4f12c8880a30b,CUST_d9df2fcfbb294f1cb32d6f9c59c14d8d,DEV_1168afa6a7a0456da7628fc945848d25,2025-11-14 22:06:25.193218,2026-05-12 22:06:25.193218
CDEV_d3f549a30b6e4639bc3cf8f242cadaa8,CUST_fc55fd494c99447889c31afc4a30ad32,DEV_18f4d45d1b7a413982e2a0e29b928cee,2025-12-24 22:06:25.193218,2026-06-07 22:06:25.193218
CDEV_fb37b415f85c411baabd5cbcb1682f7a,CUST_498b1401e2ca4c4f8ab89f62b1ba08ce,DEV_85c087ca71f348ee80130d2d2a1aceb9,2025-10-27 22:06:25.193218,2026-06-03 22:06:25.193218
CDEV_b9c7e27c5aad467aa54785197c958df6,CUST_69ccd6e29d644450977cd550b9c64f8e,DEV_80c6e1df9a734f68b958356bf61b7220,2025-09-03 22:06:25.193218,2026-05-23 22:06:25.193218
CDEV_32a414694d7b4fc6b350f52fdac3db4d,CUST_4586c8d02d314a0fab33c30a14e41152,DEV_63661ceec6c64956a5329f1e32fbcf10,2026-04-27 22:06:25.193218,2026-05-23 22:06:25.193218
CDEV_7fd99d3e3007408ab6c8a3490b872b09,CUST_5e8e69cea9c447c4aa0f1452cd6d97bd,DEV_bf2d6dc738d34b17a488dba0da208847,2026-04-13 22:06:25.193218,2026-05-27 22:06:25.193218
CDEV_dfc88652776f440099a386dc91ecc203,CUST_2033f51ea6994905bd64838ab3bbf7d1,DEV_0f44fc086baa46468199399dd08612a4,2025-08-26 22:06:25.193218,2026-05-14 22:06:25.193218
CDEV_4e61d0138715432a9e0859d346c6da78,CUST_f18c9b9f5fbb4f1ca39edd3de38cf4fa,DEV_0c622d1805f44d5e95fa6363a36c1e39,2026-01-27 22:06:25.193218,2026-06-06 22:06:25.193218
CDEV_497d5899a8e34262a7b074dad3f7af58,CUST_ecb69d95493d4df3b407192eed40928a,DEV_315d3f14a01b4bd499bd342c9bc9ce4f,2026-03-09 22:06:25.193218,2026-06-04 22:06:25.193218
CDEV_0f32e24a805d47baa1d09782d59621c7,CUST_bad93c276b2b4c34b64226e5feb802d2,DEV_60110f56b0b64d41b00ba4db31210ed2,2026-03-11 22:06:25.193218,2026-05-25 22:06:25.193218
CDEV_b57a7db3649e477fa8868ef0cf256366,CUST_6b673ff37f59483d9d8282776de9f1bb,DEV_6a0e5b6b9a554214a8ad0734828ae28d,2025-11-21 22:06:25.193218,2026-05-20 22:06:25.193218
CDEV_84654719559c41f2bb657e2f3678aeae,CUST_5e8e69cea9c447c4aa0f1452cd6d97bd,DEV_8f9e205d2545452f9659adf12cc07a9f,2026-02-28 22:06:25.193218,2026-05-11 22:06:25.193218
CDEV_f5032ea552234e95b467172b007e7490,CUST_3db0715869c2417ea167832cfee3b996,DEV_147d95611e024f649dbe3fd707640f5c,2026-02-23 22:06:25.193218,2026-05-15 22:06:25.193218
CDEV_466d307c94f34f9b8422dcc7865d0bbb,CUST_c229d59ebeea452d97e76672c31c463e,DEV_4bd1b43a4397434190dd960e328326ba,2026-02-17 22:06:25.193218,2026-06-02 22:06:25.193218
CDEV_ed19a61ed47d4348b258c5145442fc77,CUST_0a9575dd0398495096bb40a6902561cc,DEV_92244ca152594fcca294a1775bb66256,2026-01-07 22:06:25.193218,2026-06-06 22:06:25.193218
CDEV_b34d5daccb1149e2b8c85c5475782ef0,CUST_f8f5e7eb0e0f4d41a8ed2df20ece4e1d,DEV_6b9a79c0d90c4f8c82cc0e3855a062ad,2026-02-05 22:06:25.193218,2026-05-29 22:06:25.193218
CDEV_3bd695a9741d4a46bb0b5925ee219489,CUST_a2acbb5825ba4ddda356f515487fefc0,DEV_6a0e5b6b9a554214a8ad0734828ae28d,2025-10-23 22:06:25.193218,2026-05-24 22:06:25.193218
CDEV_a0e4d95632964f1eae9c2e27d766340d,CUST_05c8be9f563a45ae8a0e4375718d9088,DEV_eebb5b36bc9545dda2b4dd524b26569c,2025-08-28 22:06:25.193218,2026-06-04 22:06:25.193218
CDEV_9f9568a416d348c69b4663c11dfeba1e,CUST_850ac9d64c834bafba6eb6d0372ac866,DEV_e2be2b4a834e40fe8e5c4fdc5d22a5dc,2025-11-14 22:06:25.193218,2026-06-08 22:06:25.193218
CDEV_0ae677bea37c41a8a1babca0fed1fadd,CUST_e911beb163f84b97a3068e275ae15bcb,DEV_b32b88c8569e4c9f8d41d220fc685b22,2026-01-21 22:06:25.193218,2026-05-23 22:06:25.193218
CDEV_be80e473a06e4436b36a20daa0e5d430,CUST_bc659fcb3ae64dc3b20ec8b657d1163f,DEV_5f46f68f7fc64d6297b2807615ab5494,2025-11-15 22:06:25.193218,2026-05-15 22:06:25.193218
CDEV_567cbfeb3a9d4e7b8697f56195baffbc,CUST_9babfed990b44c81aac038c18ecee2b8,DEV_c6e41aae3fb64cfba2174ac5e33497c6,2025-10-03 22:06:25.193218,2026-06-05 22:06:25.193218
CDEV_6bff7148dbb042129af37184f268f54b,CUST_19657a3865c941198d466d281853a95e,DEV_7274501b759e4f36978347e39966813a,2025-10-05 22:06:25.193218,2026-06-03 22:06:25.193218
CDEV_3deb44bf4a264404ac16d51941d29d0c,CUST_ac3ff680603c4468a5adaa2826e03a1c,DEV_878cc533c07f487fa17586daf8302665,2025-09-17 22:06:25.193218,2026-05-17 22:06:25.193218
CDEV_24420669ccdf4019a7de0c27de5a86f1,CUST_eb2718a95b2a44b7a1f1c67093939e80,DEV_23dfedae76404cffadcd9caa8304b852,2026-03-12 22:06:25.193218,2026-05-31 22:06:25.193218
CDEV_d79fe4bd5e73493381303ed2d351830c,CUST_daa75da8802e48f180346d7db036327a,DEV_777b47ea4355491cb53e9a3cc8ec6771,2026-03-24 22:06:25.193218,2026-06-02 22:06:25.193218
CDEV_8c874e8c806140e5a06c56e09a34501b,CUST_9285ed4eec2a45a4ae01ad04cfa44d1e,DEV_97f920e7a2bc4d75bc1f17af338ba50a,2025-12-19 22:06:25.193218,2026-05-14 22:06:25.193218
CDEV_4ea22980d4df4ccabb1eff61ffc65acf,CUST_2fdb446158da4b309d2fd15ef4103297,DEV_b7f634253d714a14abc3d91b84289cb7,2026-02-10 22:06:25.193218,2026-05-24 22:06:25.193218
CDEV_cbcfeb4346e44f399cc78c267e8f8116,CUST_3d53e8cd32594a71b37ecd6ff62d66a8,DEV_01e51dfede7a404088dacb54a2ab2565,2025-08-30 22:06:25.193218,2026-06-02 22:06:25.193218
CDEV_11c3d5b05b8741af980b80e4eb86af05,CUST_aed21d9e747d422d9e457fdbc9e5a67e,DEV_f264c9b74bfc4b22832fcaede8dd744f,2026-02-26 22:06:25.193218,2026-06-02 22:06:25.193218
CDEV_efe6f629e468455499d23805431c6dde,CUST_4666373900f54c6399d8c4735bd03766,DEV_82fa17710518414cb0bcceb7b5781594,2025-11-30 22:06:25.193218,2026-05-19 22:06:25.193218
CDEV_364a1679ad97410ca490bc0f7c1ee90d,CUST_88554e82e1d24365b2533ac3ddf5a213,DEV_b8534acafecf4c44979229224e9d799a,2025-09-01 22:06:25.193218,2026-06-01 22:06:25.193218
CDEV_38d8cf9a75214b58ab68a4a54ae40d16,CUST_bc659fcb3ae64dc3b20ec8b657d1163f,DEV_e3af730cd7c746a9ac479b0f2830a665,2025-09-02 22:06:25.193218,2026-05-12 22:06:25.193218
CDEV_31f9aff94afa4a948a87c104acab4673,CUST_1b540007bacb4368ba66a115f8736d69,DEV_f7aa6fd4a7084e67b668ecf85bee362e,2025-12-31 22:06:25.193218,2026-06-03 22:06:25.193218
CDEV_7f9b2d5fdd924551982fd9be13d0e5ab,CUST_085963c2aef34424b1e0f909833c6405,DEV_85cf277bcddd48afa866f00b023c8574,2026-03-20 22:06:25.193218,2026-05-18 22:06:25.193218
CDEV_3aa8095bc70d4f01bcb6ab7dbffb9f6b,CUST_932939e66b2742a78661fa0123128e96,DEV_6da937a807214a42a5b270b1d9eb706c,2025-12-03 22:06:25.193218,2026-05-16 22:06:25.193218
CDEV_202716f988494871b2e4ec65403e5cc0,CUST_37181af2187d4d2cb39c5faa06aae19c,DEV_c39cc87ca1374efbaa4dfe4ec510dba4,2026-02-22 22:06:25.193218,2026-06-08 22:06:25.193218
CDEV_dd659011c20c48bd974752740b8bec42,CUST_69ccd6e29d644450977cd550b9c64f8e,DEV_9d9857f98e574663888a1f3a142da39d,2026-01-01 22:06:25.193218,2026-06-03 22:06:25.193218
CDEV_c817eee275eb441187243a51829fad5f,CUST_5d885b568a1e438f9d3c7cc845a5d7bc,DEV_67e02cfa4ce8466db4df514f6503b221,2026-04-23 22:06:25.193218,2026-05-25 22:06:25.193218
CDEV_72956854bf8946b0a3e8bd811f254bdb,CUST_ee4270f9087d4643b0bdabe3392483f1,DEV_159135a85a3c4b5a89fd188d724298b2,2026-01-08 22:06:25.193218,2026-05-11 22:06:25.193218
CDEV_9a67d27dbb7e4fefadfdc3154a4193ea,CUST_8a40fa6c12f345be99babd2fbfd5a2fd,DEV_4ffa2f9977a9451a908d11bc726c70f8,2025-09-06 22:06:25.193218,2026-05-31 22:06:25.193218
CDEV_1dbcceddae4c42f9a27245a20b68c5fb,CUST_19bb539b9c0b41d29ccfbd5393842929,DEV_e9a9d677bad546e0962b85ba9a4f8c55,2026-03-14 22:06:25.193218,2026-05-28 22:06:25.193218
CDEV_14672a8c3d9f4bd48f902f63e243e5e2,CUST_34df8dff7aa14b66a251087a8b5da520,DEV_a4f86c267cf7497bbed4b9ca6fb9e535,2025-08-23 22:06:25.193218,2026-05-25 22:06:25.193218
CDEV_85d0a0355cc74f35b6e8db6bf2f47e7f,CUST_86a3f451694c4ccf9453151c2ff1a640,DEV_01e51dfede7a404088dacb54a2ab2565,2026-04-07 22:06:25.193218,2026-05-20 22:06:25.193218
CDEV_9df0f8bde3194eeca21b73742d490e11,CUST_a546189abbae43a8abd87a54d4e380d6,DEV_22a7f8c979cf4505ae8d39ecef90d175,2025-12-14 22:06:25.193218,2026-06-04 22:06:25.193218
CDEV_f370d4d4b0bd4c35bb623e44429ce20c,CUST_5595a1196544408b80bc8cd3ade6556e,DEV_60ad935c68374d8fbe27255e8f0b5110,2025-11-16 22:06:25.194209,2026-06-07 22:06:25.194209
CDEV_930368504986415eaef3e2bf7c6b3b83,CUST_c34dd01f2aee4293af86e8ec11ad63d0,DEV_7e5ad7320808403f9bbc948ea1b6ad3a,2025-11-23 22:06:25.194209,2026-05-21 22:06:25.194209
CDEV_736313041d0b4ce5b34dbae297061c1c,CUST_a9155d0995b74fd7964b641267f06cb7,DEV_207b892121ef4cd1a58e0b6a2cf90ea2,2026-03-02 22:06:25.194209,2026-05-18 22:06:25.194209
CDEV_8ff679e9b8734b9ea71321550b0ebe5c,CUST_b84e3924e1954ccfa132beacc02293aa,DEV_a72553a50dc047cb8c2c74778253eb13,2025-11-23 22:06:25.194209,2026-06-01 22:06:25.194209
CDEV_56a17e794af34b6aa755297ac070f999,CUST_3fb2d7094016485eada040715483dcda,DEV_25ccbd09826942178d899bc8ce046664,2026-05-09 22:06:25.194209,2026-05-12 22:06:25.194209
CDEV_a49b967bbe564c459954416d8a97236b,CUST_1be37acb0aee486e9803080837d9e3ab,DEV_c6a6feac2e37443d80f70ebec7a00735,2025-11-05 22:06:25.194209,2026-05-28 22:06:25.194209
CDEV_20b9b2ee063146259ac89b0d189b8185,CUST_cc6fadc1e02242cb840f8cf74cdcc975,DEV_39ba96fe353842a3a6a1d80ff177726b,2025-09-01 22:06:25.194209,2026-05-24 22:06:25.194209
CDEV_7fc8604670764ea6a65e027e64963401,CUST_6fac8fd44adc4e70b1412fead6f14b60,DEV_f4f70b287e9844be8d9ad3ef08666c89,2026-01-16 22:06:25.194209,2026-05-27 22:06:25.194209
CDEV_5115177435534365a38e9090cc66db2c,CUST_27d2e43a077848aa843544c02eaec58a,DEV_3cf05f42bf5d484f92548338c654770a,2025-12-10 22:06:25.194209,2026-05-18 22:06:25.194209
CDEV_d407e87698f24561ad292814299a69c7,CUST_b3aeab3329604ff7b2b499831da7c212,DEV_e6365f9d6f1b41ed910b14b0047924df,2026-02-06 22:06:25.194209,2026-05-24 22:06:25.194209
CDEV_d90a8cfeb7114b959db228d248227ae9,CUST_5220248f64464c318268a0e9903bf244,DEV_5da6347328b54be59724914e77990594,2026-01-23 22:06:25.194209,2026-05-25 22:06:25.194209
CDEV_57852aee10b94df68ef38a4fe54256a5,CUST_1e96252467cb4eaaa54dd91eb38addbe,DEV_9768dfaa01df4c2fab7eec44e39d87df,2025-11-13 22:06:25.194209,2026-05-25 22:06:25.194209
CDEV_784dc1a711264372979522e0fa12a195,CUST_22db0d96dd66499199c4d94fb2aea01c,DEV_dff9fac2f13f441e82060c8fa347d224,2026-02-23 22:06:25.194209,2026-06-01 22:06:25.194209
CDEV_908c2ae24f9e43cda8d14cc16427dee3,CUST_2fabef830c804c9eb08316f354dff470,DEV_d5e2dcd8deb54593a3b9ae0125d43c88,2025-08-17 22:06:25.194209,2026-05-16 22:06:25.194209
CDEV_440c6da0f5cc416c81a81cb7a10b93b8,CUST_7fc7bdcf4ec147bda7058ce1eaeca3f2,DEV_91031f79009641aab17875d97094bfa6,2026-03-21 22:06:25.194209,2026-05-26 22:06:25.194209
CDEV_5c00cfb5335c4a40a2cfa0a2305566b2,CUST_920d5be299fd44f488462f3d2290bcc9,DEV_ae202c06ff724d2dbf94ffb36f6654d1,2026-04-04 22:06:25.194209,2026-06-04 22:06:25.194209
CDEV_d865b3425fde442da271fb494eb49509,CUST_47ef87b25c8c47418536a781951df32c,DEV_67efd64705774f3a9cd6a801e749d28a,2026-02-23 22:06:25.194209,2026-06-06 22:06:25.194209
CDEV_93f9d80dbea54caba8f916016c930547,CUST_43e15ddc4db74bfd97c7f5c4efc0d43e,DEV_f0a6112552064d8c8c967f2f2e1e8c51,2026-01-08 22:06:25.194209,2026-05-29 22:06:25.194209
CDEV_923cad621fb94d57ac233e99251047c0,CUST_908c6ef106744e2db07ac4233b098476,DEV_62d89c051ab342368945dd5023115513,2026-03-18 22:06:25.194209,2026-06-05 22:06:25.194209
CDEV_1f8a2b3b19894ede927c1a50d1699b90,CUST_54cdc579409f4f918ee8cf05c355a5de,DEV_b160883c97d44cd18a690a6d9b52595e,2026-04-03 22:06:25.194209,2026-06-01 22:06:25.194209
CDEV_6d60bd138db8452fbbcd70dbc5071fe9,CUST_c1faebcc42484c2da99d29c75ac91a94,DEV_5a479c405d9847e68a25a2520529954c,2026-01-24 22:06:25.194209,2026-06-07 22:06:25.194209
CDEV_d59e1ed0c67d40d99203ba7dde8ec8ca,CUST_52ef344758484b64a73e69980a5aab09,DEV_7f6944414a34422a9a5efb3d89faf83d,2026-03-17 22:06:25.194209,2026-06-08 22:06:25.194209
CDEV_1d68aa905cd848678a020602ba1a0cc0,CUST_41069c3460214539be954f72df235d06,DEV_6fb4d435298542d0bdba837f0c115129,2025-09-09 22:06:25.194209,2026-05-29 22:06:25.194209
CDEV_6ef60a685e3d4aa1aff4e5031b48a4a0,CUST_a1d5897092644627bdc410424d5f0ba7,DEV_799159803eaf4bb796f698e46468461a,2026-02-03 22:06:25.194209,2026-05-28 22:06:25.194209
CDEV_e88d90073f1d4c77aa14fd767dd30319,CUST_8b5f9d55df184af897539047740065ed,DEV_f6c848fa598c4e66a54eed5cbae42932,2026-04-18 22:06:25.194209,2026-06-03 22:06:25.194209
CDEV_45635bcd64f041528ccfc004b01a620c,CUST_a9a2705215c84ddc82ccdada959d13ab,DEV_47dc36f074f8455cb41e016f5f6ed8df,2025-12-28 22:06:25.194209,2026-05-27 22:06:25.194209
CDEV_37d5827e7bbf49ec9880490a7835c553,CUST_1a951f68f84c4dd8b09debd6f148fec4,DEV_76426bc5bf10489db657afc0727b8e37,2025-12-19 22:06:25.194209,2026-05-23 22:06:25.194209
CDEV_b641ddd3e2c14630bf0529420b9c9507,CUST_01e3abffabc14c9da427d8a1bfb212a3,DEV_b87334bd832f48e7a59589088d436f5e,2025-12-14 22:06:25.194209,2026-05-17 22:06:25.194209
CDEV_dcdf2a35590647518a50017b7136fce5,CUST_14e795ec5bf84e6782192b8c40ae2106,DEV_ea4b6f41a3484b3c8bbf58bd8f35c78b,2026-03-18 22:06:25.194209,2026-06-03 22:06:25.194209
CDEV_764c9416c7e24fe5a845075ecf97a143,CUST_05b29136c6284525bb97ed6fbb29de98,DEV_4d41193716df4568b03c4c7c834b30e0,2026-01-22 22:06:25.194209,2026-06-04 22:06:25.194209
CDEV_0126801adf64486ea111c9757ccd42a5,CUST_365fb79b0b7d4f2681fae3a96106c28e,DEV_7325c6954c3c476a8b2c7e6630649d34,2026-03-07 22:06:25.194209,2026-06-03 22:06:25.194209
CDEV_f218e67910a141568f71d1c15ceaee3e,CUST_d9780d68ffa04829aabf273f834e964b,DEV_e5793abe14a14ae1baa5a548ef6809ef,2026-01-14 22:06:25.194209,2026-05-12 22:06:25.194209
