behavior_id,customer_id,device_id,behavior_risk_score,current_city
BH000057,C00447,D01024,63.6,Katni
BH000058,C00889,D00171,21.64,Korba
BH000059,C00449,D01435,36.61,Nashik
BH000060,C00599,D00417,40.83,Katihar
BH000061,C01170,D01282,26.75,Farrukhabad
BH000062,C01450,D01248,43.54,Delhi
BH000063,C00588,D00867,27.02,Jehanabad
BH000064,C01743,D01088,96.56,Kottayam
BH000065,C01710,D00583,64.91,Navi Mumbai
BH000066,C00906,D00086,50.67,Nellore
BH000067,C00274,D01323,1.59,Rewa
BH000068,C00147,D01274,46.0,Phusro
BH000069,C00002,D00937,61.28,Ghaziabad
BH000070,C00621,D00764,45.76,Nandyal
BH000071,C00168,D00577,42.39,Gwalior
BH000072,C01271,D00205,25.19,Satna
BH000073,C01421,D00236,33.74,Hospet
BH000074,C00749,D00046,73.16,Jalgaon
BH000075,C01471,D01474,20.84,Tiruppur
BH000076,C01560,D00696,64.78,Hubli–Dharwad
BH000077,C01028,D01201,35.75,Bardhaman
BH000078,C01255,D01425,10.02,Nashik
BH000079,C01495,D00603,14.22,Karimnagar
BH000080,C00380,D01440,67.79,Vijayanagaram
BH000081,C00446,D00086,84.15,Nadiad
BH000082,C01715,D00669,53.41,Anantapuram
BH000083,C01470,D01258,74.76,Chandigarh
BH000084,C00827,D00645,28.85,Anantapuram
BH000085,C00548,D01417,39.99,Tumkur
BH000086,C00787,D00635,51.84,Nashik
BH000087,C00328,D01007,43.74,Vellore
BH000088,C01165,D00258,76.73,Rourkela
BH000089,C00048,D00411,30.8,Mehsana
BH000090,C01041,D00211,73.42,Uluberia
BH000091,C01263,D00874,82.39,Dehradun
BH000092,C01988,D00858,65.42,Raebareli
BH000093,C00828,D00016,63.5,Bihar Sharif
BH000094,C00159,D01175,37.75,Karawal Nagar
BH000095,C00074,D00314,43.89,Rajpur Sonarpur
BH000096,C01971,D01189,5.07,Srikakulam
BH000097,C01681,D00011,80.75,Maheshtala
BH000098,C01938,D00199,56.11,Vellore
BH000099,C01260,D00878,30.79,Solapur
BH000100,C00923,D00778,71.53,Ulhasnagar
BH000101,C00051,D00377,41.05,Allahabad
BH000102,C01360,D00929,74.57,Pudukkottai
BH000103,C01074,D00751,66.43,Hajipur
BH000104,C01468,D01261,20.32,Chittoor
BH000105,C01872,D00949,69.21,Mumbai
BH000106,C01980,D00908,78.38,Unnao
BH000107,C00682,D01065,12.29,Chapra
BH000108,C01062,D00056,22.42,Bangalore
BH000109,C01035,D00683,71.38,New Delhi
BH000110,C01123,D01362,13.99,Erode
BH000111,C01256,D00603,21.25,Kurnool
BH000112,C00838,D00006,97.44,Serampore
BH000113,C01367,D00903,67.31,Karaikudi
BH000114,C00781,D00966,33.86,Sikar
BH000115,C01434,D00173,94.06,Hapur
BH000116,C01743,D01332,66.75,Bulandshahr
BH000117,C00941,D00084,89.74,Berhampur
BH000118,C01784,D00359,14.26,Pondicherry
BH000119,C00705,D00109,90.02,Bareilly
BH000120,C00680,D01388,18.93,Panipat
BH000121,C01160,D00833,30.22,Tumkur
BH000122,C00043,D01223,5.1,Amritsar
BH000123,C00040,D00172,1.02,Haldia
BH000124,C01595,D00190,7.15,Barasat
BH000125,C00965,D00590,60.36,Aizawl
BH000126,C00014,D01227,84.11,Chennai
BH000127,C01750,D01262,46.2,Yamunanagar
BH000128,C01884,D00460,33.98,Allahabad
BH000129,C00102,D01422,77.93,Aurangabad
BH000130,C01803,D00637,53.68,Sambhal
BH000131,C01634,D00631,83.55,Sambhal
BH000132,C00984,D00302,16.51,Shimla
BH000133,C00480,D01340,17.34,Dewas
BH000134,C01490,D01110,20.79,Anantapuram
BH000135,C01506,D00704,72.32,Anantapuram
BH000136,C00908,D00008,36.27,Haridwar
BH000137,C00991,D01004,6.42,Chapra
BH000138,C01975,D00884,14.04,Hindupur
BH000139,C00005,D01015,46.26,Asansol
BH000140,C01684,D01247,43.84,Srinagar
BH000141,C01124,D01481,94.14,Rewa
BH000142,C00943,D00107,66.82,Faridabad
BH000143,C01255,D00075,82.0,Guntakal
BH000144,C01184,D00755,84.48,Kota
BH000145,C00080,D00088,93.35,Ballia
BH000146,C00269,D00506,4.8,Pali
BH000147,C00525,D01284,35.44,Mehsana
BH000148,C00162,D01424,98.06,Erode
BH000149,C00291,D00662,31.8,Bijapur
BH000150,C00511,D01045,15.72,Nangloi Jat
BH000151,C00996,D00847,25.37,Ajmer
BH000152,C00305,D01462,78.03,Giridih
BH000153,C01691,D00943,2.95,Karimnagar
BH000154,C00790,D00394,79.6,Mango
BH000155,C00412,D01281,17.09,Deoghar
BH000156,C00157,D00682,90.78,Bellary
BH000157,C00154,D00539,97.34,Proddatur
BH000158,C01773,D01475,56.8,Malegaon
BH000159,C01831,D00661,42.77,New Delhi
BH000160,C00867,D01132,52.74,Udupi
BH000161,C00999,D00873,3.47,Buxar
BH000162,C01998,D01422,30.29,Tirunelveli
BH000163,C00935,D00162,50.19,Motihari
BH000164,C01687,D01499,79.6,Meerut
BH000165,C00834,D01477,89.8,Belgaum
BH000166,C00579,D00876,26.57,Maheshtala
BH000167,C01119,D01299,24.09,Sambalpur
BH000168,C01434,D00173,9.51,Arrah
BH000169,C01484,D01359,57.94,Srikakulam
BH000170,C01838,D00286,2.16,Jaunpur
BH000171,C00863,D00034,79.53,Sirsa
BH000172,C01091,D01353,31.22,Loni
BH000173,C01394,D00958,75.02,Noida
BH000174,C00939,D01415,18.64,Begusarai
BH000175,C00811,D00306,56.46,Kalyan-Dombivli
BH000176,C01022,D01413,28.38,Siliguri
BH000177,C01263,D00874,87.18,Serampore
BH000178,C00815,D01320,23.96,Jodhpur
BH000179,C01896,D00133,44.91,Asansol
BH000180,C00486,D00337,4.06,Kakinada
BH000181,C00489,D01017,63.93,Anantapuram
BH000182,C00307,D00693,16.68,Kirari Suleman Nagar
BH000183,C01244,D00223,97.53,Malegaon
BH000184,C00861,D00156,14.09,Berhampore
BH000185,C01260,D00892,85.23,Tiruchirappalli
BH000186,C00132,D00781,45.13,Ulhasnagar
BH000187,C01214,D00290,21.93,Mehsana
BH000188,C00776,D00207,51.62,Kolhapur
BH000189,C01553,D00877,2.98,Bhalswa Jahangir Pur
BH000190,C00727,D00548,56.46,Morbi
BH000191,C00430,D00296,18.24,Moradabad
BH000192,C00730,D00086,20.94,Kottayam
BH000193,C00829,D00514,15.5,Patna
BH000194,C00799,D00582,89.45,Malda
BH000195,C01978,D00637,58.68,Kharagpur
BH000196,C00602,D00196,98.52,Amroha
BH000197,C00048,D00947,75.98,Medininagar
BH000198,C00336,D00686,58.18,Thoothukudi
BH000199,C00031,D01424,30.05,Guna
BH000200,C00665,D00558,17.37,Bilaspur
BH000201,C00894,D00177,99.87,Sasaram
BH000202,C00553,D00642,47.06,Thiruvananthapuram
BH000203,C00671,D01248,32.65,Kochi
BH000204,C00186,D00793,24.56,Kakinada
BH000205,C01206,D01380,83.66,Katihar
BH000206,C01034,D00966,67.7,Korba
BH000207,C00222,D00291,57.79,Mau
BH000208,C01805,D00139,23.61,Rewa
BH000209,C00970,D00519,79.87,Ambarnath
BH000210,C01131,D01239,81.03,Nadiad
BH000211,C00643,D00099,93.81,Vadodara
BH000212,C00298,D01256,64.16,Gudivada
BH000213,C01708,D00307,11.67,Karimnagar
BH000214,C01805,D00139,90.24,Bidar
BH000215,C00396,D00587,91.05,Orai
BH000216,C00714,D00123,11.43,Gudivada
BH000217,C00386,D00359,1.67,Gudivada
BH000218,C00761,D00679,87.1,Raiganj
BH000219,C01054,D01412,8.42,Nagercoil
BH000220,C00414,D01107,79.48,Pallavaram
BH000221,C01222,D00830,82.72,Jodhpur
BH000222,C01888,D00373,17.63,Jehanabad
BH000223,C00410,D01394,32.59,Amroha
BH000224,C01291,D00037,21.71,Bijapur
BH000225,C00496,D00539,19.25,Katihar
BH000226,C00346,D00612,41.23,Dehri
BH000227,C01215,D00185,39.43,Hindupur
BH000228,C00384,D00077,31.51,Bilaspur
BH000229,C01747,D01437,63.94,Ramgarh
BH000230,C01772,D01214,13.88,Hazaribagh
BH000231,C01503,D01402,81.14,Mangalore
BH000232,C01375,D01008,42.89,Tiruppur
BH000233,C00513,D00545,90.82,Bhind
BH000234,C00731,D00621,38.48,Jhansi
BH000235,C01037,D00157,44.66,Bhusawal
BH000236,C01612,D01047,49.39,Chandrapur
BH000237,C01916,D00835,12.56,Chennai
BH000238,C00627,D01465,83.09,Singrauli
BH000239,C01145,D01228,96.21,Durgapur
BH000240,C01907,D00310,73.23,Jorhat
BH000241,C01354,D00396,69.82,Karaikudi
BH000242,C00241,D00977,81.12,Erode
BH000243,C01344,D01109,32.24,Tiruchirappalli
BH000244,C01294,D01464,1.44,Nizamabad
BH000245,C01432,D00748,39.08,Bhalswa Jahangir Pur
BH000246,C00118,D00744,78.65,Alappuzha
BH000247,C01411,D00383,56.4,Malda
BH000248,C00026,D00457,8.96,Mau
BH000249,C01148,D01304,1.17,Muzaffarpur
BH000250,C00879,D00592,86.19,Ujjain
BH000251,C01553,D00877,33.68,Ichalkaranji
BH000252,C01441,D00917,25.39,Saharsa
BH000253,C00623,D01231,34.22,Mira-Bhayandar
BH000254,C00346,D00612,98.97,Lucknow
BH000255,C00674,D01455,35.66,Bokaro
BH000256,C01350,D00801,66.35,Jehanabad
BH000257,C00327,D00428,30.87,Unnao
BH000258,C00899,D00213,87.69,Mangalore
BH000259,C01041,D01395,29.16,Moradabad
BH000260,C01021,D00041,95.62,Tumkur
BH000261,C00204,D00577,22.28,Tenali
BH000262,C00101,D00885,60.27,Dewas
BH000263,C00054,D00504,69.83,Kurnool
BH000264,C01331,D00832,8.54,Karawal Nagar
BH000265,C01260,D00878,79.58,Pondicherry
BH000266,C00126,D01151,83.79,Shivpuri
BH000267,C00059,D01267,46.98,Howrah
BH000268,C00060,D01483,56.53,Surendranagar Dudhrej
BH000269,C00782,D00067,94.32,Begusarai
BH000270,C01146,D00006,9.36,Berhampore
BH000271,C00136,D00917,70.0,Imphal
BH000272,C01358,D00601,0.89,Tumkur
BH000273,C01614,D01495,91.01,Madanapalle
BH000274,C01140,D00360,89.51,Phusro
BH000275,C01436,D01289,38.84,Tezpur
BH000276,C01295,D00523,30.12,Siwan
BH000277,C00908,D00008,81.09,Karaikudi
BH000278,C01964,D01327,80.53,Erode
BH000279,C01233,D00230,50.55,Kozhikode
BH000280,C00107,D00843,20.89,Ballia
BH000281,C00560,D01410,22.17,Visakhapatnam
BH000282,C01220,D01293,50.13,Noida
BH000283,C01568,D00629,40.58,Chandrapur
BH000284,C00899,D00886,44.01,Vadodara
BH000285,C00471,D01200,9.03,Kalyan-Dombivli
BH000286,C01935,D01174,59.02,Shivpuri
BH000287,C00879,D00592,51.52,Uluberia
BH000288,C00909,D01362,27.59,Pali
BH000289,C00854,D00470,95.18,Tadepalligudem
BH000290,C01301,D01390,36.8,Haridwar
BH000291,C01628,D01312,9.68,Bilaspur
BH000292,C00312,D00184,32.07,Gulbarga
BH000293,C01570,D01326,12.44,Aurangabad
BH000294,C01023,D01164,25.06,Jamnagar
BH000295,C01798,D01199,56.05,Guwahati
BH000296,C00152,D01330,15.48,Ballia
BH000297,C00069,D01321,67.29,Vellore
BH000298,C01675,D01202,64.8,Jalgaon
BH000299,C00069,D01171,80.73,Bhind
BH000300,C01910,D01277,30.96,Pondicherry
BH000301,C01081,D01402,83.01,Nangloi Jat
BH000302,C00441,D01430,40.0,Gaya
BH000303,C01430,D01017,37.99,Ichalkaranji
BH000304,C00218,D00088,89.82,Hapur
BH000305,C00735,D01164,89.15,Sambalpur
BH000306,C00263,D00196,17.94,South Dumdum
BH000307,C00800,D00806,25.97,Silchar
BH000308,C00727,D00295,26.11,Panipat
BH000309,C00852,D00921,95.4,Warangal
BH000310,C00267,D00396,51.41,Ulhasnagar
BH000311,C01507,D01179,14.11,Narasaraopet
BH000312,C00752,D00829,35.38,Giridih
BH000313,C00315,D00466,91.54,Jalna
BH000314,C01258,D00044,4.46,Jalna
BH000315,C01649,D00960,55.92,Saharsa
BH000316,C01471,D01474,96.52,Raurkela Industrial Township
BH000317,C01642,D00370,71.4,Gandhidham
BH000318,C01131,D01473,19.31,Hapur
BH000319,C01095,D00439,10.09,Nashik
BH000320,C01357,D01328,13.43,Moradabad
BH000321,C00931,D00206,18.65,Buxar
BH000322,C00473,D00926,48.13,Jabalpur
BH000323,C01174,D01083,5.1,Parbhani
BH000324,C01274,D01043,22.39,Howrah
BH000325,C00286,D01217,78.81,Sri Ganganagar
BH000326,C01130,D01327,25.17,Kharagpur
BH000327,C00091,D01351,97.26,Junagadh
BH000328,C00424,D01346,46.43,Ludhiana
BH000329,C01919,D00510,73.98,Kirari Suleman Nagar
BH000330,C00796,D00533,17.25,Mumbai
BH000331,C01139,D00157,56.32,Karimnagar
BH000332,C01646,D00332,29.0,Sangli-Miraj & Kupwad
BH000333,C00093,D01319,24.04,Asansol
BH000334,C01917,D00974,71.16,Farrukhabad
BH000335,C00963,D00279,75.57,Thanjavur
BH000336,C00785,D00732,60.14,Karawal Nagar
BH000337,C00488,D01153,82.25,Jammu
BH000338,C00710,D00722,68.35,Gurgaon
BH000339,C01642,D00239,49.46,Karnal
BH000340,C01391,D00001,85.0,Faridabad
BH000341,C01004,D01410,4.97,Khora 
BH000342,C01972,D00601,15.39,Panihati
BH000343,C01489,D00344,16.95,Jamnagar
BH000344,C01156,D00750,44.85,Nizamabad
BH000345,C01096,D00402,89.37,Nizamabad
BH000346,C01250,D00323,13.51,Kolkata
BH000347,C00531,D01488,19.38,Rampur
BH000348,C01222,D00830,76.86,Kadapa
BH000349,C00762,D00333,88.46,Bikaner
BH000350,C00698,D00997,8.38,Raiganj
BH000351,C00050,D00598,23.36,Guna
BH000352,C00005,D01015,34.99,Jalandhar
BH000353,C01571,D00269,84.95,Thane
BH000354,C00471,D01200,31.49,Orai
BH000355,C01810,D01342,0.97,Sambalpur
BH000356,C01581,D01468,78.28,Thane
BH000357,C00428,D00319,69.11,Guntakal
BH000358,C01741,D00845,50.07,Tiruchirappalli
BH000359,C00694,D00287,51.11,Guna
BH000360,C01891,D01120,14.21,Dhule
BH000361,C00857,D00084,67.04,Asansol
BH000362,C00378,D00481,95.0,Haridwar
BH000363,C01418,D00697,77.08,Saharsa
BH000364,C01518,D00999,82.5,Bilaspur
BH000365,C00033,D01168,30.08,Davanagere
BH000366,C00318,D01429,18.41,Orai
BH000367,C01339,D00202,79.68,Sangli-Miraj & Kupwad
BH000368,C00188,D01451,44.92,Jamnagar
BH000369,C01464,D00904,3.09,Tiruppur
BH000370,C00182,D00409,36.72,Tadepalligudem
BH000371,C01627,D01347,88.35,Purnia
BH000372,C00722,D01053,53.05,Hospet
BH000373,C00351,D01047,63.19,Chittoor
BH000374,C00964,D01210,98.16,Mirzapur
BH000375,C01738,D01227,58.07,Ichalkaranji
BH000376,C00987,D01394,10.87,Aurangabad
BH000377,C00103,D00791,55.77,Panihati
BH000378,C01761,D00091,41.59,Bhagalpur
BH000379,C01837,D00541,60.04,Khandwa
BH000380,C00894,D00130,80.12,Nashik
BH000381,C01273,D00107,12.7,Machilipatnam
BH000382,C00801,D01362,22.39,Raiganj
BH000383,C00723,D01123,12.3,Rajpur Sonarpur
BH000384,C01587,D01442,44.17,Panihati
BH000385,C01891,D00786,25.69,Karnal
BH000386,C01330,D01125,14.99,Nandyal
BH000387,C00095,D00964,76.14,Dindigul
BH000388,C01784,D00359,69.77,Rourkela
BH000389,C01511,D00758,72.4,Hosur
BH000390,C01531,D00930,99.41,Ambala
BH000391,C00329,D00754,3.94,Tenali
BH000392,C01518,D01393,1.15,Bahraich
BH000393,C00913,D01218,54.45,Hindupur
BH000394,C01979,D00746,50.98,Kollam
BH000395,C01721,D00440,34.1,Alwar
BH000396,C01249,D00350,98.67,Nandyal
BH000397,C00937,D00638,42.57,Mango
BH000398,C00394,D01145,59.5,Suryapet
BH000399,C01087,D00546,11.53,Malda
BH000400,C01682,D00963,85.85,Dehri
BH000401,C00382,D00442,5.21,Khammam
BH000402,C00830,D00191,4.05,Tadipatri
BH000403,C00964,D01210,41.82,Giridih
BH000404,C00680,D01388,26.27,Naihati
BH000405,C00434,D00198,15.62,Haridwar
BH000406,C00972,D01375,66.09,Raiganj
BH000407,C01409,D00949,40.47,Tirunelveli
BH000408,C00302,D00140,47.92,Mirzapur
BH000409,C01512,D01456,11.86,Ramagundam
BH000410,C01076,D01409,68.55,Panipat
BH000411,C00590,D00229,20.53,Thiruvananthapuram
BH000412,C01979,D00868,27.94,Muzaffarnagar
BH000413,C01567,D00088,41.05,Hubli–Dharwad
BH000414,C01429,D01434,96.77,Sagar
BH000415,C01359,D01243,42.36,Suryapet
BH000416,C00873,D00266,4.68,Pali
BH000417,C01841,D00183,98.69,New Delhi
BH000418,C00070,D01405,62.15,Rajkot
BH000419,C01225,D00172,74.08,Sambalpur
BH000420,C01457,D01328,95.67,Saharanpur
BH000421,C01773,D01475,8.81,Alwar
BH000422,C01859,D00897,75.01,Jalgaon
BH000423,C00559,D01256,7.86,Ongole
BH000424,C01988,D00858,90.48,Hubli–Dharwad
BH000425,C01041,D01395,3.61,Thanjavur
BH000426,C00812,D00682,58.96,Ajmer
BH000427,C01514,D01323,52.94,Madanapalle
BH000428,C00125,D01091,1.24,Kadapa
BH000429,C01220,D01293,64.2,Danapur
BH000430,C01671,D00137,88.98,Ichalkaranji
BH000431,C00762,D00333,83.25,Panihati
BH000432,C00449,D01435,74.06,Yamunanagar
BH000433,C01500,D00399,96.21,Bathinda
BH000434,C00472,D01430,40.17,Dharmavaram
BH000435,C01181,D00630,41.45,Srikakulam
BH000436,C01101,D01435,33.99,Gaya
BH000437,C01488,D01379,12.42,Kota
BH000438,C01663,D01479,60.27,Bhilwara
BH000439,C01349,D01368,60.18,Kurnool
BH000440,C01494,D00288,6.17,Karnal
BH000441,C00330,D00436,76.15,Bhatpara
BH000442,C01617,D00248,43.49,Nashik
BH000443,C01449,D00881,53.41,Madhyamgram
BH000444,C01924,D00738,86.01,Bhimavaram
BH000445,C00988,D01359,42.32,Chandigarh
BH000446,C00593,D00473,25.03,Raipur
BH000447,C01872,D00949,51.01,Hubli–Dharwad
BH000448,C00879,D00592,24.52,Agartala
BH000449,C00246,D01401,69.53,Ghaziabad
BH000450,C01946,D01432,23.5,Panihati
BH000451,C00353,D00444,47.02,Pallavaram
BH000452,C00604,D00496,22.29,Bongaigaon
BH000453,C01307,D01025,63.86,Jhansi
BH000454,C00154,D00920,65.01,Imphal
BH000455,C01960,D01492,18.53,Hosur
BH000456,C01573,D00427,37.94,Chandigarh
BH000457,C00633,D00737,41.18,Bhalswa Jahangir Pur
BH000458,C01334,D00545,99.88,Kollam
BH000459,C00620,D01243,31.74,Guna
BH000460,C01588,D00429,40.17,Visakhapatnam
BH000461,C00535,D00495,4.48,Medininagar
BH000462,C01776,D01042,13.86,Gorakhpur
BH000463,C01434,D00295,4.59,Karawal Nagar
BH000464,C00551,D01289,95.35,Erode
BH000465,C01519,D00460,62.92,Kanpur
BH000466,C01588,D00429,62.55,Dewas
BH000467,C01854,D00145,88.08,Gurgaon
BH000468,C01909,D00871,65.73,Sasaram
BH000469,C01943,D00772,67.21,Solapur
BH000470,C00863,D00034,39.64,Tiruvottiyur
BH000471,C01159,D00081,90.91,Machilipatnam
BH000472,C01396,D00771,31.72,Tinsukia
BH000473,C00336,D00401,89.17,Sagar
BH000474,C00687,D00151,98.79,Pimpri-Chinchwad
BH000475,C01158,D01495,77.05,Sambalpur
BH000476,C00432,D00496,74.27,Phagwara
BH000477,C00010,D00493,60.97,Pali
BH000478,C00555,D00714,34.15,Berhampore
BH000479,C01478,D00079,14.83,Tadipatri
BH000480,C00571,D00700,99.88,Moradabad
BH000481,C01672,D00431,59.04,Udupi
BH000482,C00535,D00495,33.64,Hyderabad
BH000483,C00864,D01311,48.06,Bharatpur
BH000484,C01669,D00168,77.87,Mangalore
BH000485,C01246,D01086,9.93,Satna
BH000486,C00271,D00989,95.94,Anantapuram
BH000487,C01304,D01187,92.84,Bhimavaram
BH000488,C00519,D00795,54.46,Rajahmundry
BH000489,C01054,D00568,43.01,Coimbatore
BH000490,C00468,D00949,7.27,Ozhukarai
BH000491,C00203,D00015,87.77,Gurgaon
BH000492,C01411,D00383,51.63,Jalgaon
BH000493,C01305,D00301,61.15,Coimbatore
BH000494,C00146,D01014,95.23,Kochi
BH000495,C01495,D01253,84.24,Muzaffarnagar
BH000496,C00964,D00843,19.87,Bhavnagar
BH000497,C00326,D00140,24.37,Gopalpur
BH000498,C00065,D00794,76.94,Bareilly
BH000499,C00563,D00419,16.24,Shimoga
BH000500,C00240,D00663,97.99,Haldia
BH000501,C01618,D00360,41.33,Katihar
BH000502,C01512,D01456,9.87,Tirunelveli
BH000503,C01382,D00416,47.19,Gwalior
BH000504,C00775,D00772,20.46,Nizamabad
BH000505,C00407,D01234,53.18,Aizawl
BH000506,C01323,D01332,17.47,Navi Mumbai
BH000507,C00428,D01319,1.1,Vadodara
BH000508,C00841,D01349,10.87,Kirari Suleman Nagar
BH000509,C00500,D01169,84.44,Jaunpur
BH000510,C01518,D00999,90.32,Guntakal
BH000511,C01602,D00966,51.55,Jodhpur
BH000512,C00970,D00263,79.39,Amravati
BH000513,C00754,D00528,70.49,Bhalswa Jahangir Pur
BH000514,C01131,D01239,60.74,Phagwara
BH000515,C00216,D00642,30.28,Dhanbad
BH000516,C01978,D00637,81.92,Durg
BH000517,C00752,D01484,58.39,Bilaspur
BH000518,C01832,D00432,78.41,Ranchi
BH000519,C00879,D00592,7.3,Vasai-Virar
BH000520,C00949,D00542,13.07,Nadiad
BH000521,C01554,D00665,38.25,Thiruvananthapuram
BH000522,C01436,D01289,2.33,Ballia
BH000523,C00376,D00030,22.72,Jamalpur
BH000524,C01954,D01480,15.58,Bihar Sharif
BH000525,C01977,D00537,18.83,Nadiad
BH000526,C01654,D00202,30.96,Alappuzha
BH000527,C00396,D00097,50.33,Hosur
BH000528,C00737,D00335,1.27,Gandhinagar
BH000529,C00631,D00927,32.43,Gaya
BH000530,C01572,D00238,65.72,Hubli–Dharwad
BH000531,C00933,D00652,21.57,Agartala
BH000532,C01901,D00564,9.6,Haldia
BH000533,C00818,D00070,72.4,Kamarhati
BH000534,C01679,D01339,69.67,Bikaner
BH000535,C00442,D00615,31.17,Mango
BH000536,C00871,D00880,47.41,Sirsa
BH000537,C01502,D00337,36.51,Rohtak
BH000538,C00511,D01045,12.05,Warangal
BH000539,C00451,D01203,27.11,Bahraich
BH000540,C00343,D00794,71.56,Karnal
BH000541,C01829,D01170,46.98,Ballia
BH000542,C01950,D00697,24.91,North Dumdum
BH000543,C01595,D01279,39.37,Proddatur
BH000544,C00477,D00158,4.01,Ambala
BH000545,C00202,D00707,1.45,Bikaner
BH000546,C01732,D00320,14.02,Ramgarh
BH000547,C00105,D00320,9.61,Thoothukudi
BH000548,C01473,D01090,36.17,Kumbakonam
BH000549,C00396,D00746,70.97,Tumkur
BH000550,C00703,D01311,25.91,Hazaribagh
BH000551,C01460,D00173,87.35,Avadi
BH000552,C01924,D00738,86.73,Junagadh
BH000553,C00032,D01099,83.59,Kollam
BH000554,C01887,D01314,38.75,Anantapur
BH000555,C01313,D01147,77.73,Agra
BH000556,C00912,D00275,36.26,Bhopal
BH000557,C01079,D00768,74.77,Hindupur
BH000558,C01320,D01151,99.03,Rajkot
BH000559,C01882,D00363,10.56,Nangloi Jat
BH000560,C01584,D00600,16.92,Rourkela
BH000561,C01643,D00006,59.9,Muzaffarnagar
BH000562,C00092,D00837,19.92,Solapur
BH000563,C01716,D00264,59.11,Thiruvananthapuram
BH000564,C00812,D00579,95.02,Rourkela
BH000565,C00624,D00345,56.19,Unnao
BH000566,C00768,D00997,0.21,Bhimavaram
BH000567,C00230,D00034,42.35,Raichur
BH000568,C01812,D00140,10.66,Mysore
BH000569,C01864,D00387,40.86,Haldia
BH000570,C00276,D00606,87.49,Morbi
BH000571,C00345,D01168,76.17,Bijapur
BH000572,C00633,D00781,6.71,Haridwar
BH000573,C01205,D01250,4.72,Buxar
BH000574,C00515,D00984,10.72,Mau
BH000575,C00696,D00034,52.32,Bidar
BH000576,C01811,D01114,6.29,Hubli–Dharwad
BH000577,C00242,D00482,0.46,Etawah
BH000578,C01390,D01235,34.03,Shahjahanpur
BH000579,C01044,D00760,38.54,Raipur
BH000580,C01060,D00875,72.3,Jalna
BH000581,C01138,D01106,6.77,Kishanganj
BH000582,C01569,D01310,91.73,Motihari
BH000583,C00760,D00819,92.75,Nagercoil
BH000584,C01548,D00270,82.06,Gorakhpur
BH000585,C00118,D00744,83.62,Thoothukudi
BH000586,C01835,D01251,71.59,Kurnool
BH000587,C00877,D01494,95.89,Narasaraopet
BH000588,C01592,D01243,85.0,Sultan Pur Majra
BH000589,C01368,D00333,35.21,Karnal
BH000590,C01087,D00546,88.76,Visakhapatnam
BH000591,C00494,D01142,99.89,Rampur
BH000592,C01167,D00251,96.09,Pondicherry
BH000593,C01530,D00181,75.6,Dibrugarh
BH000594,C01700,D00406,15.61,Bhimavaram
BH000595,C01762,D00122,44.47,Thane
