transaction_id,customer_id,device_id,receiver_account,transaction_amount,transaction_timestamp,fraud_flag
T0000142,C01730,D00435,B002256,43.51,2026-03-08 00:02:18,1
T0000143,C00725,D01463,B000945,103.15,2026-02-21 05:59:38,0
T0000144,C01699,D00703,B002115,53.69,2026-04-16 16:29:36,0
T0000145,C01388,D00022,B001246,50.29,2025-11-27 18:09:40,0
T0000146,C00025,D00920,B002372,5.64,2025-08-07 14:38:55,0
T0000147,C00569,D01469,B000129,141.07,2026-03-19 20:37:37,0
T0000148,C00878,D00741,B002862,104.78,2025-08-24 14:32:00,0
T0000149,C00583,D00252,B000026,7.93,2025-07-25 07:50:19,0
T0000150,C01864,D00387,B002679,48.99,2026-02-11 14:02:20,0
T0000151,C01261,D01421,B002235,358.33,2026-05-30 09:58:48,0
T0000152,C01557,D00284,B002810,41.08,2026-03-11 20:17:08,0
T0000153,C00301,D01469,B000290,23.48,2025-08-04 20:15:21,1
T0000154,C00835,D00856,B002366,100.84,2026-01-16 20:45:40,1
T0000155,C00040,D00172,B002243,636.61,2026-04-04 21:02:08,1
T0000156,C01120,D00944,B001956,41.57,2026-01-12 08:56:09,0
T0000157,C01594,D01284,B002052,167.27,2026-01-28 08:07:25,0
T0000158,C01394,D00651,B000893,215.08,2026-01-26 18:24:24,0
T0000159,C01168,D01083,B002863,40.7,2026-02-14 13:31:15,0
T0000160,C00768,D00483,B002115,195.41,2026-02-18 20:55:11,0
T0000161,C00773,D00689,B000033,68.78,2025-10-15 04:39:52,0
T0000162,C01297,D01174,B000299,150.08,2025-10-09 19:04:31,0
T0000163,C00778,D00308,B001603,150.58,2025-12-12 14:03:04,0
T0000164,C00217,D00468,B000753,115.11,2026-03-21 17:07:03,0
T0000165,C01286,D01322,B002346,14.19,2025-08-12 06:54:51,0
T0000166,C00307,D00732,B001261,270.55,2025-10-21 18:24:13,0
T0000167,C00196,D00388,B001599,58.02,2025-07-08 09:14:27,0
T0000168,C01318,D01315,B000191,30.96,2025-11-20 08:17:34,0
T0000169,C00012,D00762,B000996,6.24,2025-08-13 17:59:45,1
T0000170,C01816,D00135,B002115,134.07,2026-04-22 11:52:42,0
T0000171,C01628,D00155,B000027,169.78,2025-08-28 08:08:26,0
T0000172,C01390,D00161,B001870,2.51,2025-09-21 04:12:37,0
T0000173,C01795,D00901,B002317,107.64,2026-01-08 17:02:44,0
T0000174,C00180,D00217,B002432,38.52,2025-06-10 09:11:31,0
T0000175,C00639,D00324,B000946,155.42,2026-03-10 14:22:10,0
T0000176,C00493,D00572,B000734,28.74,2025-09-24 04:41:11,0
T0000177,C01812,D01153,B001516,176.13,2025-07-23 02:16:49,0
T0000178,C00383,D01389,B001898,73.34,2026-03-16 02:18:12,0
T0000179,C01424,D00469,B002913,414.05,2025-11-26 21:47:18,0
T0000180,C01641,D01252,B000925,22.19,2026-05-10 13:19:36,0
T0000181,C01128,D00985,B001768,62.57,2025-07-14 22:38:30,0
T0000182,C00345,D01168,B002491,18.07,2026-04-11 20:04:31,0
T0000183,C00351,D01047,B002149,387.93,2025-06-30 08:05:23,0
T0000184,C01070,D01356,B002812,314.75,2025-09-02 00:03:41,0
T0000185,C00194,D00540,B000460,44.75,2025-11-10 00:04:00,0
T0000186,C00434,D00049,B002254,161.81,2025-11-07 21:49:58,0
T0000187,C01496,D01308,B001900,254.92,2025-08-06 17:11:49,0
T0000188,C00964,D01210,B000386,121.52,2026-04-23 05:53:44,0
T0000189,C01059,D00470,B001392,113.14,2025-09-22 13:31:16,0
T0000190,C00981,D00847,B002412,41.53,2025-11-18 22:57:12,0
T0000191,C00317,D00108,B001965,14.66,2026-02-17 05:04:11,0
T0000192,C01646,D00332,B001274,341.27,2025-08-10 13:32:33,0
T0000193,C01347,D00084,B000566,346.02,2026-04-23 14:03:09,0
T0000194,C01545,D01426,B000222,150.4,2026-03-04 10:08:40,0
T0000195,C00438,D00138,B002562,62.11,2026-02-01 12:46:44,0
T0000196,C00469,D01428,B000637,64.44,2026-05-23 09:06:51,1
T0000197,C00182,D00409,B001142,194.17,2026-01-06 16:51:03,0
T0000198,C01498,D01400,B002150,341.11,2025-11-17 16:15:45,0
T0000199,C00136,D00373,B001475,327.17,2025-12-12 12:01:11,0
T0000200,C01456,D01417,B002758,227.03,2025-07-19 04:06:35,0
T0000201,C01285,D00095,B002598,154.1,2025-06-14 02:41:28,0
T0000202,C00104,D00353,B002851,13.18,2025-10-30 07:49:59,0
T0000203,C01746,D01294,B001798,26.44,2025-12-21 18:04:21,0
T0000204,C01742,D00260,B000423,343.23,2025-11-22 16:15:17,0
T0000205,C01471,D01474,B000312,139.87,2025-11-05 06:48:14,0
T0000206,C01031,D00967,B000193,1.39,2025-06-28 07:03:33,0
T0000207,C00811,D00259,B000114,16.05,2026-05-18 10:37:10,0
T0000208,C01625,D00844,B001803,163.37,2025-07-14 09:23:42,0
T0000209,C00729,D00565,B000394,0.76,2026-05-11 22:38:31,0
T0000210,C00460,D01237,B002801,26.3,2026-04-12 09:56:19,1
T0000211,C00332,D01286,B002809,119.35,2026-03-30 19:56:06,0
T0000212,C00152,D01330,B002491,176.6,2025-07-25 15:52:39,1
T0000213,C01936,D00086,B002175,158.32,2025-08-04 17:33:07,0
T0000214,C01934,D00260,B002217,38.09,2025-10-13 16:04:08,0
T0000215,C00137,D01008,B000618,186.81,2025-09-12 04:21:05,0
T0000216,C01642,D00239,B001720,40.62,2026-01-23 22:39:11,0
T0000217,C01027,D00871,B002283,59.05,2025-08-09 00:46:24,0
T0000218,C01985,D00757,B001611,205.85,2025-09-08 16:23:06,0
T0000219,C01543,D00936,B002869,157.32,2026-03-09 15:59:05,0
T0000220,C00314,D00237,B001613,283.79,2026-04-21 01:46:33,0
T0000221,C00124,D00851,B001044,160.77,2025-12-15 00:29:39,0
T0000222,C00075,D00459,B001604,126.01,2026-05-13 20:41:40,0
T0000223,C01403,D00194,B000773,14.75,2025-11-22 05:06:39,0
T0000224,C01163,D01266,B001239,68.76,2025-12-31 17:00:34,0
T0000225,C00772,D01251,B000531,46.22,2026-01-22 14:21:30,0
T0000226,C00790,D00394,B000482,41.96,2026-04-19 23:47:38,0
T0000227,C01984,D00060,B001684,541.85,2026-04-05 05:33:19,0
T0000228,C01884,D00460,B002682,74.91,2026-02-04 16:33:46,0
T0000229,C00657,D01235,B000416,333.91,2025-12-20 23:52:54,0
T0000230,C01742,D00260,B002020,149.6,2025-06-24 19:21:22,0
T0000231,C01217,D00956,B002551,237.57,2026-02-12 10:01:17,0
T0000232,C00303,D00311,B002914,104.77,2026-02-02 08:51:52,0
T0000233,C01231,D01201,B000824,129.02,2025-11-29 21:30:02,0
T0000234,C01649,D00960,B002950,101.74,2025-10-25 16:10:22,0
T0000235,C00577,D01047,B000765,32.58,2025-08-31 23:17:30,0
T0000236,C01366,D00554,B000967,192.26,2025-10-05 14:05:13,0
T0000237,C00534,D00833,B000143,49.44,2025-08-07 10:53:40,0
T0000238,C00494,D01142,B001944,3.69,2026-05-24 00:43:07,0
T0000239,C01084,D00315,B001532,155.55,2026-01-16 21:43:04,0
T0000240,C00547,D00962,B002981,29.24,2025-08-04 13:51:15,0
T0000241,C01413,D01309,B001858,423.16,2026-03-02 08:09:39,0
T0000242,C01459,D01134,B001099,461.63,2025-11-15 13:55:01,0
T0000243,C01931,D00058,B001477,369.53,2025-11-22 09:43:20,0
T0000244,C00895,D00701,B001110,69.34,2026-04-13 17:07:52,0
T0000245,C01908,D01180,B002060,2.34,2026-02-15 22:17:53,0
T0000246,C01653,D00058,B001149,395.33,2025-12-23 20:10:11,0
T0000247,C00363,D01269,B000091,83.84,2025-09-17 17:54:44,0
T0000248,C01861,D01107,B002533,510.13,2025-09-06 23:05:04,0
T0000249,C00628,D00473,B000760,497.06,2026-01-22 09:51:49,0
T0000250,C01221,D00406,B001521,287.61,2026-02-26 01:15:21,0
T0000251,C00814,D00892,B000745,52.32,2025-09-25 10:25:33,0
T0000252,C01890,D01311,B001591,72.94,2026-02-27 06:02:53,0
T0000253,C00754,D00528,B001577,285.71,2025-08-25 21:19:36,0
T0000254,C01667,D00036,B000553,57.17,2026-05-27 18:43:23,0
T0000255,C01333,D00890,B000645,27.86,2025-10-26 23:52:37,0
T0000256,C01673,D01169,B001298,122.06,2025-11-30 06:01:43,0
T0000257,C00438,D00138,B001691,412.69,2025-07-01 18:46:06,0
T0000258,C01578,D00582,B002789,178.62,2026-01-29 22:27:58,0
T0000259,C00062,D00213,B002175,126.62,2026-04-06 08:25:58,0
T0000260,C01884,D01133,B000493,15.33,2026-02-25 11:23:22,1
T0000261,C01495,D00603,B002367,143.18,2026-06-03 10:56:30,0
T0000262,C00321,D00282,B002695,691.59,2025-07-02 15:15:52,0
T0000263,C01836,D00138,B002071,22.64,2025-07-16 07:36:40,0
T0000264,C00532,D00461,B002665,109.57,2026-01-17 14:56:25,0
T0000265,C01021,D00007,B000795,314.79,2026-06-02 21:33:09,0
T0000266,C00336,D00401,B002772,202.51,2026-02-19 02:09:03,1
T0000267,C01084,D00315,B000605,179.11,2026-01-17 16:55:37,0
T0000268,C00911,D00646,B002365,181.84,2025-10-06 15:41:30,0
T0000269,C01397,D00447,B000799,66.82,2025-06-11 04:06:11,0
T0000270,C00229,D00445,B002645,52.13,2026-04-04 11:09:15,0
T0000271,C01895,D00640,B001800,248.61,2026-02-17 22:58:39,0
T0000272,C00129,D01360,B001506,249.2,2025-11-17 20:15:22,0
T0000273,C01064,D01367,B000410,302.69,2026-03-29 06:05:03,0
T0000274,C01398,D00153,B000270,366.69,2025-12-13 12:35:11,0
T0000275,C00655,D00344,B000799,107.41,2025-12-19 03:36:15,0
T0000276,C00055,D01141,B002350,104.43,2026-05-05 00:12:30,0
T0000277,C00253,D00429,B002168,240.14,2025-09-01 08:40:41,0
T0000278,C01422,D00363,B000674,157.46,2025-12-26 19:16:18,0
T0000279,C00407,D01234,B002550,181.58,2025-07-27 02:17:05,0
T0000280,C01453,D01240,B001601,238.29,2025-06-24 17:42:30,0
T0000281,C01477,D01182,B000764,331.1,2026-04-19 10:42:03,0
T0000282,C01293,D00593,B001409,61.87,2025-09-18 19:31:08,0
T0000283,C00765,D00316,B002701,70.64,2025-06-30 04:54:19,0
T0000284,C01863,D01366,B000618,14.8,2026-03-11 03:50:37,0
T0000285,C01579,D01075,B002523,129.51,2025-06-09 07:33:06,0
T0000286,C01070,D00126,B001944,5.49,2025-07-10 11:31:27,0
T0000287,C01416,D01064,B000910,93.99,2025-09-30 18:39:04,0
T0000288,C00462,D01132,B001749,117.34,2025-10-19 12:23:49,0
T0000289,C00717,D00685,B000376,50.64,2026-01-16 19:39:38,0
T0000290,C01129,D00900,B001526,134.04,2026-05-27 05:00:59,0
T0000291,C01020,D00375,B000649,4.65,2025-08-22 00:07:31,0
T0000292,C00410,D01394,B002512,5.71,2026-05-21 21:16:21,0
T0000293,C00320,D00477,B001828,259.4,2025-07-30 14:20:04,0
T0000294,C01687,D01499,B002287,66.99,2025-11-16 21:57:16,0
T0000295,C01295,D00523,B002020,20.38,2026-06-07 17:58:03,0
T0000296,C01725,D00930,B001074,110.8,2025-11-25 16:50:36,0
T0000297,C00529,D00657,B001329,220.45,2025-07-26 03:36:29,0
T0000298,C00538,D00064,B000888,36.47,2025-06-14 05:10:36,0
T0000299,C00313,D00919,B002917,146.28,2025-12-14 20:54:58,0
T0000300,C01300,D01315,B001197,13.38,2026-04-25 14:40:34,0
T0000301,C00316,D01321,B002746,7.96,2025-07-09 13:13:28,0
T0000302,C01160,D00109,B002724,113.69,2026-04-21 14:44:04,0
T0000303,C01293,D00133,B001449,116.69,2026-01-31 08:58:59,0
T0000304,C00773,D00689,B002532,152.18,2026-04-16 05:18:56,0
T0000305,C00692,D00442,B000202,194.24,2025-06-19 08:44:57,0
T0000306,C00497,D00822,B001962,558.53,2025-11-20 05:39:25,0
T0000307,C00502,D00914,B000470,108.94,2026-04-10 20:20:08,0
T0000308,C00557,D00843,B002015,58.5,2026-02-09 08:33:15,0
T0000309,C01696,D00086,B000553,237.85,2026-01-24 12:04:41,0
T0000310,C01755,D01387,B002676,47.38,2026-02-22 00:03:09,0
T0000311,C00305,D01462,B000294,86.7,2025-08-16 10:05:30,0
T0000312,C00790,D00394,B000235,12.26,2026-02-28 02:34:53,0
T0000313,C00588,D00420,B002339,3.85,2025-07-20 22:44:11,0
T0000314,C00970,D00263,B000260,493.11,2026-01-29 20:53:34,0
T0000315,C00567,D00691,B002199,271.17,2025-08-28 23:10:19,0
T0000316,C00149,D00394,B002703,178.6,2025-09-12 02:50:55,1
T0000317,C00178,D00320,B001097,78.88,2025-08-06 07:37:52,1
T0000318,C01160,D00833,B001113,28.55,2026-01-07 14:22:59,1
T0000319,C01912,D00152,B001540,25.52,2026-03-30 14:21:13,0
T0000320,C00434,D00049,B002242,43.2,2025-08-09 18:00:46,0
T0000321,C01649,D00960,B002512,119.52,2025-07-19 04:53:25,0
T0000322,C00038,D00229,B000649,188.08,2026-05-12 14:32:09,0
T0000323,C00146,D01014,B000673,161.91,2026-05-17 00:48:17,0
T0000324,C00307,D00693,B002062,49.26,2025-10-13 08:43:47,0
T0000325,C01540,D01428,B002541,464.72,2025-08-05 12:52:56,0
T0000326,C01090,D00323,B002320,200.85,2026-04-11 07:02:21,0
T0000327,C00972,D01375,B001971,121.23,2025-11-29 03:10:03,0
T0000328,C00991,D00498,B001819,141.9,2025-08-01 17:14:14,0
T0000329,C00380,D01440,B001595,81.61,2026-01-22 12:42:12,0
T0000330,C00058,D00840,B002849,42.7,2025-12-25 15:21:28,0
T0000331,C01087,D00546,B001722,66.0,2025-07-12 07:39:37,0
T0000332,C01722,D01222,B002585,212.73,2025-10-28 01:54:05,0
T0000333,C01844,D00532,B000832,2.17,2025-08-25 08:07:36,0
T0000334,C00188,D01451,B000772,18.51,2025-07-17 08:28:39,1
T0000335,C01050,D01253,B000511,7.06,2026-03-12 06:20:40,0
T0000336,C00325,D01464,B001442,6.24,2026-02-27 20:23:19,0
T0000337,C01587,D00344,B001549,290.13,2025-10-08 14:08:08,0
T0000338,C00580,D00222,B001164,182.44,2025-07-04 12:29:47,0
T0000339,C01457,D01328,B001623,96.42,2025-07-20 16:47:54,0
T0000340,C00951,D00168,B002232,15.44,2026-05-28 17:31:19,0
T0000341,C00892,D01117,B002345,101.48,2025-11-26 08:32:46,0
T0000342,C00922,D00281,B000365,96.22,2025-10-22 02:37:00,0
T0000343,C00413,D01227,B001748,28.53,2025-11-05 11:24:51,0
T0000344,C00070,D01405,B000136,85.33,2025-11-20 15:19:29,1
T0000345,C00501,D01362,B000904,76.25,2025-11-06 21:07:22,0
T0000346,C00078,D00754,B002315,143.51,2025-08-07 10:15:58,0
T0000347,C00382,D00442,B000451,151.22,2026-01-03 13:01:36,0
T0000348,C01159,D01281,B002332,6.95,2025-11-28 21:06:39,0
T0000349,C00457,D00503,B002846,70.41,2026-05-17 12:07:50,0
T0000350,C00955,D00347,B001944,147.47,2025-11-25 11:43:52,0
T0000351,C00331,D01099,B002763,104.92,2025-08-26 12:56:24,0
T0000352,C00614,D00788,B001287,291.2,2025-11-01 01:56:36,0
T0000353,C01877,D01462,B001429,161.25,2025-09-13 18:12:43,0
T0000354,C00848,D00835,B001354,26.68,2025-10-24 10:34:48,0
T0000355,C01792,D00684,B001260,10.98,2025-07-11 01:17:46,0
T0000356,C01609,D01170,B001251,154.26,2025-08-21 21:32:35,0
T0000357,C00811,D00259,B000994,4.03,2025-12-22 13:19:18,0
T0000358,C01935,D01174,B001847,132.2,2025-12-10 17:26:21,0
T0000359,C01178,D01389,B001081,422.59,2025-09-10 00:37:39,1
T0000360,C01555,D00922,B002866,128.52,2026-01-13 22:27:59,0
T0000361,C00300,D00081,B000062,73.7,2025-06-15 11:12:53,0
T0000362,C00263,D00304,B002964,154.62,2025-11-29 23:00:46,0
T0000363,C01179,D00350,B000379,91.94,2025-09-23 12:14:47,0
T0000364,C00017,D00635,B000251,118.32,2026-04-20 02:27:53,0
T0000365,C00236,D01483,B001962,425.72,2026-05-07 05:23:19,0
T0000366,C01842,D00325,B002582,73.19,2025-09-28 09:12:24,0
T0000367,C00846,D00595,B002399,487.36,2026-05-01 06:27:23,0
T0000368,C01593,D01322,B002512,353.64,2025-07-09 10:58:25,1
T0000369,C00570,D00941,B001563,32.68,2025-08-12 11:55:57,0
T0000370,C00304,D01071,B000113,10.78,2026-03-12 09:34:23,0
T0000371,C01510,D01246,B000471,15.93,2025-11-21 07:18:22,0
T0000372,C01770,D01489,B001612,2.76,2025-12-05 02:23:20,0
T0000373,C01083,D00434,B002386,14.88,2025-10-21 04:15:25,0
T0000374,C01388,D00951,B002275,172.33,2026-04-20 19:23:03,0
T0000375,C01989,D01435,B002497,11.08,2025-08-10 15:49:57,0
T0000376,C00141,D01279,B002264,57.62,2026-04-23 07:18:47,0
T0000377,C00532,D00461,B000907,279.53,2025-08-11 16:37:43,0
T0000378,C00457,D00503,B001029,3.53,2025-11-25 16:31:48,0
T0000379,C00376,D00030,B000646,252.68,2026-04-13 09:00:27,0
T0000380,C01518,D00999,B002118,49.66,2025-08-28 19:19:19,0
T0000381,C00937,D01127,B001666,18.86,2025-08-12 14:26:14,0
T0000382,C00221,D00952,B002717,178.97,2025-08-07 15:04:40,0
T0000383,C01187,D00947,B002840,148.71,2026-01-18 07:54:09,0
T0000384,C01348,D00003,B002213,314.91,2025-08-05 11:36:46,0
T0000385,C00067,D01155,B000577,199.24,2026-04-16 08:18:48,0
T0000386,C00575,D00522,B000206,244.05,2025-10-21 21:10:20,0
