behavior_id,customer_id,device_id,device_fingerprint,ip_address,current_country,current_city,previous_country,previous_city,location_change_flag,login_timestamp,logout_timestamp,session_duration_minutes,transactions_last_1h,transactions_last_24h,avg_session_duration,typing_speed_score,mouse_movement_score,device_risk_score,behavior_risk_score,account_takeover_suspected,created_at
BEH000010,CUST10448,DEV01162,885fcfceddcf410b,218.163.123.82,China,North Richardview,India,Jeromeville,True,2026-05-25 02:49:00,2026-05-25 03:07:00,28,8,4,15.4,29.59,6.72,90.0,95.0,True,2026-05-25 02:49:00
BEH000011,CUST10401,DEV00670,9a2aedb7ecfb4c8f,39.245.228.183,China,West Lindaview,India,Martinburgh,True,2026-05-05 11:26:00,2026-05-05 11:47:00,36,12,2,15.4,11.23,9.97,90.0,95.0,True,2026-05-05 11:26:00
BEH000012,CUST11544,DEV00098,50c0e93b9e544115,88.55.114.185,China,Dunnchester,India,Bensonside,True,2026-05-07 00:11:00,2026-05-07 00:33:00,10,13,1,15.4,21.78,6.2,90.0,95.0,True,2026-05-07 00:11:00
BEH000013,CUST10812,DEV00629,78d42a1f358f4ccb,4.94.49.187,China,Briannaburgh,India,Ambermouth,True,2026-06-02 21:22:00,2026-06-02 21:41:00,27,15,6,15.4,31.43,15.05,90.0,95.0,True,2026-06-02 21:22:00
BEH000014,CUST10399,DEV00560,3420507dd2b94f31,17.143.127.119,China,Catherinetown,India,Sarahside,True,2026-05-04 21:49:00,2026-05-04 22:02:00,30,10,6,15.4,19.59,15.59,90.0,95.0,True,2026-05-04 21:49:00
BEH000015,CUST10001,DEV00586,d52ee38116e3416d,167.120.57.35,China,South Jeffrey,India,South Colleen,True,2026-04-24 02:32:00,2026-04-24 02:51:00,21,9,3,15.4,25.49,13.44,90.0,95.0,True,2026-04-24 02:32:00
BEH000016,CUST10128,DEV00008,cab27d852db94ad4,54.131.58.148,China,Davidview,India,Port Amandastad,True,2026-06-07 20:14:00,2026-06-07 20:46:00,23,9,2,15.4,24.12,11.37,90.0,95.0,True,2026-06-07 20:14:00
BEH000017,CUST10211,DEV00011,4e00b3d4208b4a3a,111.224.246.248,China,Lake Kelly,India,South Daniel,True,2026-05-22 09:52:00,2026-05-22 10:13:00,12,11,1,15.4,14.99,6.52,90.0,95.0,True,2026-05-22 09:52:00
BEH000018,CUST10732,DEV01125,6881b8f55dc24f35,45.73.126.36,China,Lake Katherineland,India,Ericksonbury,True,2026-05-08 13:23:00,2026-05-08 13:52:00,10,10,1,15.4,15.4,13.89,90.0,95.0,True,2026-05-08 13:23:00
BEH000019,CUST11061,DEV01325,b9fab3112e7b4e9a,130.11.121.136,China,East Stephanie,India,Mccallport,True,2026-06-01 23:06:00,2026-06-01 23:38:00,22,6,4,15.4,16.45,22.07,90.0,95.0,True,2026-06-01 23:06:00
BEH000020,CUST10567,DEV00085,132b749df76b4482,15.66.213.7,China,South Stephanieview,India,East Michaelmouth,True,2026-05-28 03:21:00,2026-05-28 03:36:00,32,12,6,15.4,24.72,16.87,90.0,95.0,True,2026-05-28 03:21:00
BEH000021,CUST10869,DEV01357,c3f732ed16144217,69.153.235.107,China,Wellsland,India,Miguelshire,True,2026-05-07 20:24:00,2026-05-07 21:00:00,38,10,5,15.4,33.46,7.68,90.0,95.0,True,2026-05-07 20:24:00
BEH000022,CUST11612,DEV00186,ebe53d04a666437e,24.103.19.197,China,Torresport,India,Woodwardfurt,True,2026-05-10 14:20:00,2026-05-10 14:33:00,27,5,5,15.4,18.82,6.7,90.0,95.0,True,2026-05-10 14:20:00
BEH000023,CUST11116,DEV00037,e097117e8c474407,58.149.84.182,China,Amyport,India,Justinchester,True,2026-05-25 17:02:00,2026-05-25 17:09:00,16,10,3,15.4,24.42,25.56,90.0,95.0,True,2026-05-25 17:02:00
BEH000024,CUST10055,DEV00101,b34f108c986d401c,68.111.105.65,China,Loriton,India,Natalieshire,True,2026-06-03 03:58:00,2026-06-03 04:24:00,27,9,4,15.4,30.59,24.92,90.0,95.0,True,2026-06-03 03:58:00
BEH000025,CUST10883,DEV00791,61894d8b1ea649b3,9.33.5.14,China,Pamelaburgh,India,West Stevenberg,True,2026-06-06 15:16:00,2026-06-06 15:43:00,24,10,3,15.4,28.2,26.38,90.0,95.0,True,2026-06-06 15:16:00
BEH000026,CUST11790,DEV00558,959b743095a74640,5.110.160.204,China,Lake Joanne,India,New James,True,2026-05-20 22:49:00,2026-05-20 22:59:00,21,9,1,15.4,32.66,5.49,90.0,95.0,True,2026-05-20 22:49:00
BEH000027,CUST11929,DEV00225,314e5e25b77b49aa,129.108.102.29,China,Perezview,India,Moniquetown,True,2026-05-29 12:25:00,2026-05-29 12:38:00,30,9,3,15.4,13.0,18.52,90.0,95.0,True,2026-05-29 12:25:00
BEH000028,CUST11104,DEV01482,e639a51adaae47cd,170.214.63.235,China,Elizabethshire,India,South Jessica,True,2026-06-07 15:09:00,2026-06-07 15:47:00,40,13,2,15.4,24.21,18.09,90.0,95.0,True,2026-06-07 15:09:00
BEH000029,CUST11223,DEV01494,13e6e972d4a343d2,198.127.161.252,China,Port Kyle,India,Lake Nicoleshire,True,2026-04-24 07:47:00,2026-04-24 08:06:00,15,14,2,15.4,20.19,6.32,90.0,95.0,True,2026-04-24 07:47:00
BEH000030,CUST10674,DEV00276,099b91c7bbb94f10,125.105.249.9,China,North Shane,India,Michaelbury,True,2026-05-08 14:34:00,2026-05-08 14:57:00,14,11,6,15.4,26.79,29.32,90.0,95.0,True,2026-05-08 14:34:00
BEH000031,CUST11534,DEV00626,8efefcc1d5c040d9,206.135.3.194,China,North Chelsea,India,Williamsmouth,True,2026-05-20 09:55:00,2026-05-20 10:21:00,27,13,3,15.4,33.59,19.11,90.0,95.0,True,2026-05-20 09:55:00
BEH000032,CUST11072,DEV00434,1fd9adc15bce4f55,137.92.96.167,China,Taylorshire,India,Campbellhaven,True,2026-05-05 17:46:00,2026-05-05 18:02:00,9,6,2,15.4,11.3,8.22,90.0,95.0,True,2026-05-05 17:46:00
BEH000033,CUST11272,DEV00180,10462de11a9f4f33,82.39.70.150,China,Ramostown,India,Morganmouth,True,2026-05-22 07:57:00,2026-05-22 08:38:00,36,8,5,15.4,23.07,22.58,90.0,95.0,True,2026-05-22 07:57:00
BEH000034,CUST10905,DEV01224,049e3f0aba9543ea,222.160.183.201,China,Rebeccamouth,India,North Sarah,True,2026-05-14 20:07:00,2026-05-14 20:51:00,42,14,2,15.4,32.64,8.2,90.0,95.0,True,2026-05-14 20:07:00
BEH000035,CUST11626,DEV01124,d8ff9f9ba3404d7b,161.123.249.190,China,Hoganchester,India,Jameshaven,True,2026-05-06 02:37:00,2026-05-06 03:16:00,9,14,5,15.4,32.19,7.13,90.0,95.0,True,2026-05-06 02:37:00
BEH000036,CUST10145,DEV00005,839c5adf40564c7e,215.66.55.254,China,West Ianmouth,India,Hopkinsfurt,True,2026-06-07 13:00:00,2026-06-07 13:43:00,13,11,4,15.4,34.03,24.96,90.0,95.0,True,2026-06-07 13:00:00
BEH000037,CUST11400,DEV00143,008f3ca275cc4c36,10.6.150.255,China,North Angela,India,Youngport,True,2026-05-28 01:14:00,2026-05-28 01:41:00,12,5,6,15.4,12.97,15.6,90.0,95.0,True,2026-05-28 01:14:00
BEH000038,CUST10296,DEV00016,4242b649b6424b14,83.2.73.51,China,East Donaldside,India,Waltonmouth,True,2026-05-18 02:49:00,2026-05-18 03:34:00,22,5,1,15.4,29.64,19.52,90.0,95.0,True,2026-05-18 02:49:00
BEH000039,CUST11167,DEV01302,71bad03160dd4358,219.207.235.116,China,Lake Sarahmouth,India,South Max,True,2026-04-30 07:45:00,2026-04-30 08:04:00,35,14,5,15.4,23.46,11.34,90.0,95.0,True,2026-04-30 07:45:00
BEH000040,CUST11460,DEV00116,eb49585525f24d7c,126.168.11.162,China,North Jeffreyshire,India,Brianchester,True,2026-05-29 04:28:00,2026-05-29 04:49:00,36,5,1,15.4,17.92,5.61,90.0,95.0,True,2026-05-29 04:28:00
BEH000041,CUST11171,DEV00413,8bcaf9eddced4702,146.71.20.23,China,Cunninghamhaven,India,Acostafurt,True,2026-05-24 02:02:00,2026-05-24 02:15:00,11,12,3,15.4,11.1,28.77,90.0,95.0,True,2026-05-24 02:02:00
BEH000042,CUST11332,DEV00572,80c323e09cf545a3,38.4.98.109,China,Lake Bradleyland,India,South Joannfurt,True,2026-06-03 18:54:00,2026-06-03 19:29:00,24,14,1,15.4,18.17,29.81,90.0,95.0,True,2026-06-03 18:54:00
BEH000043,CUST10510,DEV00777,85a63a6b33554e76,23.186.195.105,China,Johnsonfurt,India,Anthonyview,True,2026-05-31 12:13:00,2026-05-31 12:49:00,33,15,2,15.4,18.37,14.26,90.0,95.0,True,2026-05-31 12:13:00
BEH000044,CUST11653,DEV00417,52cb3fdfa5fd4159,140.49.111.158,China,Christychester,India,Davisstad,True,2026-04-29 08:09:00,2026-04-29 08:27:00,37,14,3,15.4,29.82,7.57,90.0,95.0,True,2026-04-29 08:09:00
BEH000045,CUST11045,DEV01275,0100d084c8694bf0,115.224.76.253,China,Cindystad,India,East Paul,True,2026-06-07 08:02:00,2026-06-07 08:39:00,20,11,4,15.4,24.62,24.88,90.0,95.0,True,2026-06-07 08:02:00
BEH000046,CUST11077,DEV00044,3c6b18c865fc4d75,19.40.1.120,China,Toddfurt,India,North Nicholas,True,2026-04-28 21:04:00,2026-04-28 21:47:00,17,14,2,15.4,28.29,11.04,90.0,95.0,True,2026-04-28 21:04:00
BEH000047,CUST11787,DEV01286,4f7d01421a144607,111.201.137.102,China,Vegafurt,India,Jacksonside,True,2026-05-01 04:19:00,2026-05-01 04:53:00,21,7,6,15.4,21.47,23.56,90.0,95.0,True,2026-05-01 04:19:00
BEH000048,CUST11346,DEV00773,024058e77248434a,17.220.115.128,China,Lake Jenniferstad,India,Nicholasville,True,2026-04-30 12:02:00,2026-04-30 12:13:00,39,14,6,15.4,34.05,8.23,90.0,95.0,True,2026-04-30 12:02:00
BEH000049,CUST10650,DEV00967,71c8e4ee202d4f3a,97.15.90.153,China,Lisashire,India,North Laurenhaven,True,2026-05-06 07:09:00,2026-05-06 07:47:00,13,12,1,15.4,34.02,22.16,90.0,95.0,True,2026-05-06 07:09:00
BEH000050,CUST10809,DEV00395,91e07cb07a9f43b5,89.182.112.223,China,Reesefort,India,Martinezbury,True,2026-04-27 04:54:00,2026-04-27 05:22:00,9,6,5,15.4,15.2,20.94,90.0,95.0,True,2026-04-27 04:54:00
BEH000051,CUST10611,DEV00440,0a3e007abd8e4d28,223.106.188.40,China,Lake Justin,India,Port Chad,True,2026-05-06 02:54:00,2026-05-06 03:36:00,25,15,3,15.4,22.38,5.01,90.0,95.0,True,2026-05-06 02:54:00
BEH000052,CUST10023,DEV00417,92e0cb1864a04fad,26.224.45.105,China,West Jesseview,India,Port Maryville,True,2026-04-28 10:52:00,2026-04-28 11:19:00,35,9,4,15.4,23.66,8.04,90.0,95.0,True,2026-04-28 10:52:00
BEH000053,CUST11064,DEV00483,1b5828aa2e174e05,32.95.192.180,China,New Stacy,India,Chadfurt,True,2026-05-04 11:50:00,2026-05-04 12:07:00,24,5,3,15.4,34.32,26.71,90.0,95.0,True,2026-05-04 11:50:00
BEH000054,CUST11319,DEV01230,793848bca0eb44f6,218.49.91.218,China,Kyleton,India,Port Crystalland,True,2026-06-08 08:26:00,2026-06-08 09:00:00,41,8,4,15.4,21.98,19.5,90.0,95.0,True,2026-06-08 08:26:00
BEH000055,CUST10745,DEV01458,622f5e04f33e4466,80.151.59.108,China,Emilyview,India,North Robertton,True,2026-05-18 02:48:00,2026-05-18 03:03:00,37,9,1,15.4,19.71,24.48,90.0,95.0,True,2026-05-18 02:48:00
BEH000056,CUST10768,DEV00543,05ad99a7ff1e4644,133.205.120.2,China,Loganchester,India,Jonesville,True,2026-04-24 19:11:00,2026-04-24 19:49:00,7,10,2,15.4,21.68,21.26,90.0,95.0,True,2026-04-24 19:11:00
BEH000057,CUST11585,DEV00477,d0ddb3bf7bd94187,120.222.235.184,China,West Gina,India,South Lauren,True,2026-06-05 07:54:00,2026-06-05 08:34:00,38,10,5,15.4,16.41,12.68,90.0,95.0,True,2026-06-05 07:54:00
BEH000058,CUST10563,DEV00208,9cdbefa5abd342b3,93.236.48.5,China,North Leah,India,Joshuachester,True,2026-04-30 04:29:00,2026-04-30 05:00:00,8,8,5,15.4,32.46,7.07,90.0,95.0,True,2026-04-30 04:29:00
BEH000059,CUST10670,DEV00254,77088fc008ed4d05,10.19.206.199,China,Brendaport,India,East Shannon,True,2026-05-15 08:29:00,2026-05-15 08:37:00,39,11,1,15.4,24.76,11.91,90.0,95.0,True,2026-05-15 08:29:00
BEH000060,CUST11688,DEV01217,d90a5fcd0e414f6a,124.143.19.107,China,Grayfurt,India,Lindafort,True,2026-05-26 09:32:00,2026-05-26 09:57:00,7,14,1,15.4,11.23,8.86,90.0,95.0,True,2026-05-26 09:32:00
BEH000061,CUST11391,DEV00555,639e505583e24923,148.181.205.159,China,East Matthew,India,Lake Tarafort,True,2026-06-07 02:06:00,2026-06-07 02:33:00,34,9,4,15.4,16.1,29.45,90.0,95.0,True,2026-06-07 02:06:00
BEH000062,CUST11854,DEV01039,ece663878fe042e7,169.13.46.7,China,Carpentertown,India,New Jameshaven,True,2026-05-03 19:29:00,2026-05-03 20:11:00,14,10,1,15.4,15.16,20.17,90.0,95.0,True,2026-05-03 19:29:00
BEH000063,CUST10785,DEV00702,ae9698e088274003,43.105.252.223,China,Davisville,India,Stephanieburgh,True,2026-05-30 13:22:00,2026-05-30 13:28:00,45,7,5,15.4,25.59,5.26,90.0,95.0,True,2026-05-30 13:22:00
BEH000064,CUST11762,DEV00393,16c4d647303a4731,112.234.103.231,China,New Ryan,India,Lake Patrick,True,2026-05-21 03:24:00,2026-05-21 03:50:00,18,14,2,15.4,31.15,13.21,90.0,95.0,True,2026-05-21 03:24:00
BEH000065,CUST11181,DEV01163,faaf77ddc9c941ff,36.9.130.197,China,East Joshuafurt,India,Lake Christopher,True,2026-04-25 01:59:00,2026-04-25 02:24:00,14,9,4,15.4,14.87,16.07,90.0,95.0,True,2026-04-25 01:59:00
BEH000066,CUST10685,DEV01257,78844455e10444bf,165.138.104.136,China,Julieland,India,Laneborough,True,2026-04-23 22:59:00,2026-04-23 23:42:00,41,9,5,15.4,16.32,23.21,90.0,95.0,True,2026-04-23 22:59:00
BEH000067,CUST11744,DEV00404,842c79e4b07b4b88,49.9.1.129,China,South Christopherport,India,Waynemouth,True,2026-04-28 23:46:00,2026-04-28 23:59:00,11,10,5,15.4,23.98,8.2,90.0,95.0,True,2026-04-28 23:46:00
BEH000068,CUST10769,DEV00726,f89ad2e9e221454c,68.116.2.239,China,Oconnellfurt,India,Rachaelstad,True,2026-05-18 00:50:00,2026-05-18 01:02:00,37,5,6,15.4,13.59,19.2,90.0,95.0,True,2026-05-18 00:50:00
BEH000069,CUST10340,DEV00979,e7e159beb0a64bb3,94.131.46.161,China,East Nicholasport,India,Port Michaelfort,True,2026-06-05 04:15:00,2026-06-05 04:31:00,44,9,4,15.4,11.9,11.79,90.0,95.0,True,2026-06-05 04:15:00
BEH000070,CUST11776,DEV00242,7e9fe088cfb7459b,150.254.162.17,China,Jacktown,India,Karenmouth,True,2026-05-25 08:43:00,2026-05-25 09:02:00,35,5,5,15.4,23.99,11.15,90.0,95.0,True,2026-05-25 08:43:00
BEH000071,CUST11966,DEV01189,2cdb439321414f54,17.127.224.235,China,Cherrymouth,India,South Mariah,True,2026-05-18 11:19:00,2026-05-18 11:57:00,22,12,6,15.4,19.76,10.24,90.0,95.0,True,2026-05-18 11:19:00
BEH000072,CUST11042,DEV01177,512e2be0a6af484f,20.242.64.107,China,North Juliehaven,India,Port Stevenland,True,2026-04-28 10:22:00,2026-04-28 10:45:00,5,8,5,15.4,25.55,22.91,90.0,95.0,True,2026-04-28 10:22:00
BEH000073,CUST11291,DEV00530,d28cb390bcc844f8,35.196.129.20,China,West Timothytown,India,South Thomasfurt,True,2026-06-05 13:30:00,2026-06-05 13:43:00,39,14,3,15.4,14.45,16.32,90.0,95.0,True,2026-06-05 13:30:00
BEH000074,CUST10769,DEV00726,9b75b3ce208c4aa2,146.158.190.234,China,West Richard,India,Smithfort,True,2026-06-04 16:13:00,2026-06-04 16:51:00,44,14,2,15.4,23.88,15.79,90.0,95.0,True,2026-06-04 16:13:00
BEH000075,CUST11340,DEV00701,f7c717b582814a0f,112.94.147.99,China,Gardnerland,India,Lake Michael,True,2026-04-24 15:17:00,2026-04-24 16:01:00,8,10,5,15.4,23.18,20.94,90.0,95.0,True,2026-04-24 15:17:00
BEH000076,CUST11516,DEV00523,046a2401d5a54c00,92.10.2.3,China,Lake Carltown,India,West Timothyport,True,2026-06-02 04:38:00,2026-06-02 05:21:00,9,11,4,15.4,26.09,23.55,90.0,95.0,True,2026-06-02 04:38:00
BEH000077,CUST11814,DEV00447,083c384d5432413c,162.181.106.23,China,East Davidfort,India,Thomasberg,True,2026-05-11 01:12:00,2026-05-11 01:29:00,27,12,6,15.4,27.6,9.15,90.0,95.0,True,2026-05-11 01:12:00
BEH000078,CUST10746,DEV01439,33645b814c894dbb,60.219.215.50,China,West Kimberlystad,India,Torresborough,True,2026-05-27 05:45:00,2026-05-27 06:08:00,16,15,6,15.4,29.93,12.09,90.0,95.0,True,2026-05-27 05:45:00
BEH000079,CUST11294,DEV01363,6d5bf12973614ca1,173.36.3.17,China,Courtneychester,India,West Tanya,True,2026-05-28 17:22:00,2026-05-28 17:39:00,14,12,2,15.4,28.3,24.35,90.0,95.0,True,2026-05-28 17:22:00
BEH000080,CUST10192,DEV00012,4aeca810199d4620,103.211.221.105,China,Blakefurt,India,Edwardsfurt,True,2026-05-08 05:35:00,2026-05-08 06:04:00,25,7,3,15.4,21.51,5.04,90.0,95.0,True,2026-05-08 05:35:00
BEH000081,CUST11328,DEV01300,269bc625e92f4bdc,71.54.85.51,China,Dawsontown,India,Phillipsburgh,True,2026-05-27 19:04:00,2026-05-27 19:32:00,16,11,2,15.4,33.8,11.26,90.0,95.0,True,2026-05-27 19:04:00
BEH000082,CUST10457,DEV01251,50f6d4c170214cdd,191.43.145.54,China,New Gailfort,India,Robertfort,True,2026-05-06 01:00:00,2026-05-06 01:13:00,17,5,1,15.4,26.23,6.94,90.0,95.0,True,2026-05-06 01:00:00
BEH000083,CUST11667,DEV00582,6d7a8c17b82c4a1b,56.53.76.236,China,West Martin,India,Port Kevinbury,True,2026-05-25 07:59:00,2026-05-25 08:32:00,40,6,5,15.4,14.15,16.76,90.0,95.0,True,2026-05-25 07:59:00
BEH000084,CUST11370,DEV00384,851c1ddbd3734f8b,76.39.239.75,China,Richardview,India,East Savannahview,True,2026-04-24 09:40:00,2026-04-24 10:08:00,14,11,1,15.4,33.46,24.21,90.0,95.0,True,2026-04-24 09:40:00
BEH000085,CUST11707,DEV00836,48c9c3ed1f6648fd,37.168.18.96,China,Forbesfurt,India,North Julianberg,True,2026-04-25 22:59:00,2026-04-25 23:10:00,26,5,1,15.4,27.38,9.22,90.0,95.0,True,2026-04-25 22:59:00
BEH000086,CUST11556,DEV00334,da792f3c721c4ceb,74.191.41.221,China,Mcmahonside,India,Lake Micheal,True,2026-04-26 08:40:00,2026-04-26 08:51:00,13,7,5,15.4,32.73,28.79,90.0,95.0,True,2026-04-26 08:40:00
BEH000087,CUST10177,DEV00017,4edd031a1f2b4559,17.19.78.194,China,Lake Jessica,India,West Kaylaville,True,2026-05-20 19:35:00,2026-05-20 20:12:00,22,7,3,15.4,29.16,16.3,90.0,95.0,True,2026-05-20 19:35:00
BEH000088,CUST11505,DEV00899,b80ae78d09de4812,32.112.226.27,China,Fergusonborough,India,Lake Carla,True,2026-05-23 12:19:00,2026-05-23 12:51:00,29,14,3,15.4,17.31,7.62,90.0,95.0,True,2026-05-23 12:19:00
BEH000089,CUST11540,DEV01159,733a9885487248a6,68.16.213.43,China,North James,India,New Antonio,True,2026-05-28 19:47:00,2026-05-28 20:14:00,11,9,2,15.4,24.03,17.05,90.0,95.0,True,2026-05-28 19:47:00
BEH000090,CUST11090,DEV00881,086d8a1560ac4b0c,68.131.171.197,China,South Roberto,India,West Stevenberg,True,2026-05-13 07:53:00,2026-05-13 08:21:00,8,9,1,15.4,34.0,9.66,90.0,95.0,True,2026-05-13 07:53:00
BEH000091,CUST10376,DEV00894,fee9c38bb50243b0,59.217.189.174,China,New Kayla,India,Farrellshire,True,2026-04-30 03:45:00,2026-04-30 04:04:00,21,8,1,15.4,13.91,15.25,90.0,95.0,True,2026-04-30 03:45:00
BEH000092,CUST10432,DEV00282,7e027f6386234f04,216.137.81.55,China,South Hannahstad,India,Lake Anthonymouth,True,2026-05-25 05:54:00,2026-05-25 06:10:00,15,11,6,15.4,16.82,8.21,90.0,95.0,True,2026-05-25 05:54:00
BEH000093,CUST11003,DEV00185,0ce7ae3037d84047,26.113.122.230,China,Tommyside,India,Jamesmouth,True,2026-05-24 19:28:00,2026-05-24 20:00:00,11,14,5,15.4,12.83,23.11,90.0,95.0,True,2026-05-24 19:28:00
BEH000094,CUST11678,DEV00290,b3ab4aae13b240f2,176.54.17.156,China,East Georgeburgh,India,New Katherinemouth,True,2026-05-15 21:35:00,2026-05-15 21:55:00,35,7,6,15.4,32.9,7.37,90.0,95.0,True,2026-05-15 21:35:00
BEH000095,CUST10404,DEV00489,741eb516864740b9,69.9.141.51,China,West Caitlin,India,Adkinshaven,True,2026-05-02 06:01:00,2026-05-02 06:22:00,11,8,5,15.4,27.23,21.51,90.0,95.0,True,2026-05-02 06:01:00
BEH000096,CUST10729,DEV00982,80d1be63c9ce4cad,46.242.157.166,China,Deniseview,India,Port Amyville,True,2026-05-31 11:53:00,2026-05-31 12:13:00,19,15,5,15.4,19.66,9.77,90.0,95.0,True,2026-05-31 11:53:00
BEH000097,CUST10046,DEV00805,a1f399ff52764241,207.197.47.192,China,Lake Susan,India,North Frankchester,True,2026-06-04 21:37:00,2026-06-04 22:12:00,44,12,1,15.4,15.98,6.85,90.0,95.0,True,2026-06-04 21:37:00
BEH000098,CUST10252,DEV00012,0e141ad5d9344116,157.64.86.136,China,Nelsonland,India,Mcintyrestad,True,2026-05-28 04:39:00,2026-05-28 05:10:00,28,5,1,15.4,22.48,13.81,90.0,95.0,True,2026-05-28 04:39:00
BEH000099,CUST10479,DEV00225,9f17ad85a4904e6a,223.177.206.53,China,New Susan,India,West Jamesshire,True,2026-05-02 02:34:00,2026-05-02 03:00:00,8,14,2,15.4,31.11,7.69,90.0,95.0,True,2026-05-02 02:34:00
BEH000100,CUST11955,DEV01314,c578cedbb7974990,9.51.42.201,China,Dorseyville,India,West Patricia,True,2026-05-26 17:01:00,2026-05-26 17:37:00,9,10,6,15.4,19.04,14.3,90.0,95.0,True,2026-05-26 17:01:00
BEH000101,CUST11005,DEV00697,6e8f877a8b4f4d6c,98.229.135.242,China,New Raymond,India,North Susantown,True,2026-05-04 16:56:00,2026-05-04 17:16:00,6,6,3,15.4,17.49,9.39,90.0,95.0,True,2026-05-04 16:56:00
BEH000102,CUST11633,DEV00455,e2332b7e3fc443fa,31.66.174.180,China,Thomasmouth,India,East Emilymouth,True,2026-05-05 01:43:00,2026-05-05 02:12:00,7,6,4,15.4,18.71,27.15,90.0,95.0,True,2026-05-05 01:43:00
BEH000103,CUST11396,DEV01233,ac9cf804aa7642e9,60.100.104.232,China,Michaelberg,India,Stewartchester,True,2026-05-02 09:32:00,2026-05-02 09:52:00,9,15,5,15.4,30.77,8.26,90.0,95.0,True,2026-05-02 09:32:00
BEH000104,CUST11764,DEV01248,b98a8d244d744da2,156.167.133.44,China,North Wendyfort,India,New Wayne,True,2026-05-22 01:49:00,2026-05-22 01:56:00,26,15,5,15.4,33.01,17.1,90.0,95.0,True,2026-05-22 01:49:00
BEH000105,CUST11259,DEV01429,c2654db00cc54793,94.4.187.231,China,Port Charlesland,India,West Tammychester,True,2026-05-22 23:39:00,2026-05-23 00:21:00,29,6,5,15.4,13.26,29.48,90.0,95.0,True,2026-05-22 23:39:00
BEH000106,CUST11958,DEV01404,e851ff1f3c6240fd,200.122.83.25,China,South Michael,India,Perezborough,True,2026-05-15 09:21:00,2026-05-15 10:01:00,43,14,2,15.4,10.17,16.91,90.0,95.0,True,2026-05-15 09:21:00
BEH000107,CUST10121,DEV00001,d70d707f487e461a,104.115.222.88,China,West Jamesside,India,Randallburgh,True,2026-05-02 19:04:00,2026-05-02 19:21:00,20,10,2,15.4,17.15,13.43,90.0,95.0,True,2026-05-02 19:04:00
BEH000108,CUST11024,DEV00349,02d93526d38e4274,185.232.176.219,China,South Peter,India,North Marilyn,True,2026-06-07 16:09:00,2026-06-07 16:14:00,41,12,2,15.4,15.82,27.32,90.0,95.0,True,2026-06-07 16:09:00
