case_id,fraud_type,case_title,modus_operandi,fraud_pattern,investigation_summary,entities_involved,risk_indicators,resolution,regulatory_reference,created_at
CASE00036,Mule,Fraud Case 36,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-36,2026-06-08 20:07:51.071977
CASE00037,Mule,Fraud Case 37,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-37,2026-06-08 20:07:51.071977
CASE00038,Mule,Fraud Case 38,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-38,2026-06-08 20:07:51.071977
CASE00039,Mule,Fraud Case 39,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-39,2026-06-08 20:07:51.071977
CASE00040,ATO,Fraud Case 40,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-40,2026-06-08 20:07:51.071977
CASE00041,Mule,Fraud Case 41,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-41,2026-06-08 20:07:51.071977
CASE00042,AML,Fraud Case 42,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-42,2026-06-08 20:07:51.071977
CASE00043,Mule,Fraud Case 43,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-43,2026-06-08 20:07:51.071977
CASE00044,Card,Fraud Case 44,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-44,2026-06-08 20:07:51.071977
CASE00045,Card,Fraud Case 45,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-45,2026-06-08 20:07:51.071977
CASE00046,AML,Fraud Case 46,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-46,2026-06-08 20:07:51.071977
CASE00047,Mule,Fraud Case 47,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-47,2026-06-08 20:07:51.071977
CASE00048,Mule,Fraud Case 48,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-48,2026-06-08 20:07:51.071977
CASE00049,Card,Fraud Case 49,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-49,2026-06-08 20:07:51.071977
CASE00050,AML,Fraud Case 50,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-50,2026-06-08 20:07:51.071977
CASE00051,AML,Fraud Case 51,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-51,2026-06-08 20:07:51.071977
CASE00052,Mule,Fraud Case 52,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-52,2026-06-08 20:07:51.071977
CASE00053,ATO,Fraud Case 53,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-53,2026-06-08 20:07:51.071977
CASE00054,AML,Fraud Case 54,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-54,2026-06-08 20:07:51.071977
CASE00055,Mule,Fraud Case 55,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-55,2026-06-08 20:07:51.071977
CASE00056,ATO,Fraud Case 56,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-56,2026-06-08 20:07:51.071977
CASE00057,Mule,Fraud Case 57,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-57,2026-06-08 20:07:51.071977
CASE00058,Mule,Fraud Case 58,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-58,2026-06-08 20:07:51.071977
CASE00059,Card,Fraud Case 59,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-59,2026-06-08 20:07:51.071977
CASE00060,ATO,Fraud Case 60,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-60,2026-06-08 20:07:51.071977
CASE00061,AML,Fraud Case 61,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-61,2026-06-08 20:07:51.071977
CASE00062,Mule,Fraud Case 62,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-62,2026-06-08 20:07:51.071977
CASE00063,Mule,Fraud Case 63,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-63,2026-06-08 20:07:51.071977
CASE00064,Mule,Fraud Case 64,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-64,2026-06-08 20:07:51.071977
CASE00065,ATO,Fraud Case 65,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-65,2026-06-08 20:07:51.071977
CASE00066,AML,Fraud Case 66,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-66,2026-06-08 20:07:51.071977
CASE00067,AML,Fraud Case 67,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-67,2026-06-08 20:07:51.071977
CASE00068,AML,Fraud Case 68,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-68,2026-06-08 20:07:51.071977
CASE00069,Mule,Fraud Case 69,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-69,2026-06-08 20:07:51.071977
CASE00070,AML,Fraud Case 70,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-70,2026-06-08 20:07:51.071977
CASE00071,ATO,Fraud Case 71,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-71,2026-06-08 20:07:51.071977
CASE00072,ATO,Fraud Case 72,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-72,2026-06-08 20:07:51.071977
CASE00073,AML,Fraud Case 73,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-73,2026-06-08 20:07:51.071977
CASE00074,Mule,Fraud Case 74,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-74,2026-06-08 20:07:51.071977
CASE00075,Card,Fraud Case 75,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-75,2026-06-08 20:07:51.071977
CASE00076,Card,Fraud Case 76,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-76,2026-06-08 20:07:51.071977
CASE00077,Card,Fraud Case 77,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-77,2026-06-08 20:07:51.071977
CASE00078,AML,Fraud Case 78,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-78,2026-06-08 20:07:51.071977
CASE00079,Mule,Fraud Case 79,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-79,2026-06-08 20:07:51.071977
CASE00080,AML,Fraud Case 80,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-80,2026-06-08 20:07:51.071977
CASE00081,Card,Fraud Case 81,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-81,2026-06-08 20:07:51.071977
CASE00082,Card,Fraud Case 82,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-82,2026-06-08 20:07:51.071977
CASE00083,Mule,Fraud Case 83,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-83,2026-06-08 20:07:51.071977
CASE00084,Card,Fraud Case 84,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-84,2026-06-08 20:07:51.071977
CASE00085,ATO,Fraud Case 85,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-85,2026-06-08 20:07:51.071977
CASE00086,Card,Fraud Case 86,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-86,2026-06-08 20:07:51.071977
CASE00087,ATO,Fraud Case 87,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-87,2026-06-08 20:07:51.071977
CASE00088,AML,Fraud Case 88,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-88,2026-06-08 20:07:51.071977
CASE00089,Card,Fraud Case 89,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-89,2026-06-08 20:07:51.071977
CASE00090,Mule,Fraud Case 90,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-90,2026-06-08 20:07:51.071977
CASE00091,Mule,Fraud Case 91,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-91,2026-06-08 20:07:51.071977
CASE00092,Mule,Fraud Case 92,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-92,2026-06-08 20:07:51.071977
CASE00093,AML,Fraud Case 93,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-93,2026-06-08 20:07:51.071977
CASE00094,Mule,Fraud Case 94,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-94,2026-06-08 20:07:51.071977
CASE00095,Card,Fraud Case 95,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-95,2026-06-08 20:07:51.071977
CASE00096,ATO,Fraud Case 96,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-96,2026-06-08 20:07:51.071977
CASE00097,AML,Fraud Case 97,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-97,2026-06-08 20:07:51.071977
CASE00098,Card,Fraud Case 98,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-98,2026-06-08 20:07:51.071977
CASE00099,Card,Fraud Case 99,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-99,2026-06-08 20:07:51.071977
CASE00100,ATO,Fraud Case 100,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-100,2026-06-08 20:07:51.071977
CASE00101,Mule,Fraud Case 101,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-101,2026-06-08 20:07:51.071977
CASE00102,AML,Fraud Case 102,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-102,2026-06-08 20:07:51.071977
CASE00103,ATO,Fraud Case 103,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-103,2026-06-08 20:07:51.071977
CASE00104,ATO,Fraud Case 104,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-104,2026-06-08 20:07:51.071977
CASE00105,Mule,Fraud Case 105,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-105,2026-06-08 20:07:51.071977
CASE00106,Mule,Fraud Case 106,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-106,2026-06-08 20:07:51.071977
CASE00107,ATO,Fraud Case 107,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-107,2026-06-08 20:07:51.071977
CASE00108,Mule,Fraud Case 108,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-108,2026-06-08 20:07:51.071977
CASE00109,Mule,Fraud Case 109,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-109,2026-06-08 20:07:51.071977
CASE00110,Card,Fraud Case 110,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-110,2026-06-08 20:07:51.071977
CASE00111,Card,Fraud Case 111,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-111,2026-06-08 20:07:51.071977
CASE00112,ATO,Fraud Case 112,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-112,2026-06-08 20:07:51.071977
CASE00113,Mule,Fraud Case 113,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-113,2026-06-08 20:07:51.071977
CASE00114,ATO,Fraud Case 114,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-114,2026-06-08 20:07:51.071977
CASE00115,ATO,Fraud Case 115,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-115,2026-06-08 20:07:51.071977
CASE00116,Card,Fraud Case 116,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-116,2026-06-08 20:07:51.071977
CASE00117,Mule,Fraud Case 117,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-117,2026-06-08 20:07:51.071977
CASE00118,AML,Fraud Case 118,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-118,2026-06-08 20:07:51.071977
CASE00119,ATO,Fraud Case 119,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-119,2026-06-08 20:07:51.071977
CASE00120,Mule,Fraud Case 120,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-120,2026-06-08 20:07:51.071977
CASE00121,Mule,Fraud Case 121,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-121,2026-06-08 20:07:51.071977
CASE00122,Card,Fraud Case 122,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-122,2026-06-08 20:07:51.071977
CASE00123,AML,Fraud Case 123,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-123,2026-06-08 20:07:51.071977
CASE00124,ATO,Fraud Case 124,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-124,2026-06-08 20:07:51.071977
CASE00125,AML,Fraud Case 125,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-125,2026-06-08 20:07:51.071977
CASE00126,AML,Fraud Case 126,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-126,2026-06-08 20:07:51.071977
CASE00127,AML,Fraud Case 127,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-127,2026-06-08 20:07:51.071977
CASE00128,Card,Fraud Case 128,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-128,2026-06-08 20:07:51.071977
CASE00129,Card,Fraud Case 129,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-129,2026-06-08 20:07:51.071977
CASE00130,Card,Fraud Case 130,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-130,2026-06-08 20:07:51.071977
CASE00131,Mule,Fraud Case 131,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-131,2026-06-08 20:07:51.071977
CASE00132,ATO,Fraud Case 132,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-132,2026-06-08 20:07:51.071977
CASE00133,Mule,Fraud Case 133,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-133,2026-06-08 20:07:51.071977
CASE00134,Mule,Fraud Case 134,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-134,2026-06-08 20:07:51.071977
CASE00135,AML,Fraud Case 135,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-135,2026-06-08 20:07:51.071977
CASE00136,Mule,Fraud Case 136,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-136,2026-06-08 20:07:51.071977
CASE00137,AML,Fraud Case 137,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-137,2026-06-08 20:07:51.071977
CASE00138,ATO,Fraud Case 138,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-138,2026-06-08 20:07:51.071977
CASE00139,ATO,Fraud Case 139,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-139,2026-06-08 20:07:51.071977
CASE00140,Mule,Fraud Case 140,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-140,2026-06-08 20:07:51.071977
CASE00141,AML,Fraud Case 141,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-141,2026-06-08 20:07:51.071977
CASE00142,Card,Fraud Case 142,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-142,2026-06-08 20:07:51.071977
CASE00143,ATO,Fraud Case 143,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-143,2026-06-08 20:07:51.071977
CASE00144,AML,Fraud Case 144,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-144,2026-06-08 20:07:51.071977
CASE00145,Mule,Fraud Case 145,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-145,2026-06-08 20:07:51.071977
CASE00146,ATO,Fraud Case 146,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-146,2026-06-08 20:07:51.071977
CASE00147,ATO,Fraud Case 147,Synthetic fraud pattern,Shared devices and beneficiaries,Generated case,"Customers, Devices","Velocity, sanctions",Blocked,AML-147,2026-06-08 20:07:51.071977
