audit_id,transaction_id,customer_id,fraud_probability,overall_risk_score,risk_category,decision
AUDT0000125,T0000125,C01933,26.78,26.78,LOW,ALLOW
AUDT0000126,T0000126,C01166,38.39,38.39,LOW,ALLOW
AUDT0000127,T0000127,C01761,27.17,27.17,LOW,ALLOW
AUDT0000128,T0000128,C01163,30.25,30.25,LOW,ALLOW
AUDT0000129,T0000129,C00010,11.34,11.34,LOW,ALLOW
AUDT0000130,T0000130,C01365,79.7,79.7,HIGH,BLOCK
AUDT0000131,T0000131,C01301,37.26,37.26,LOW,ALLOW
AUDT0000132,T0000132,C00290,75.11,75.11,HIGH,BLOCK
AUDT0000133,T0000133,C01109,2.5,2.5,LOW,ALLOW
AUDT0000134,T0000134,C01839,29.42,29.42,LOW,ALLOW
AUDT0000135,T0000135,C00360,11.89,11.89,LOW,ALLOW
AUDT0000136,T0000136,C01060,13.31,13.31,LOW,ALLOW
AUDT0000137,T0000137,C01952,16.05,16.05,LOW,ALLOW
AUDT0000138,T0000138,C00943,34.68,34.68,LOW,ALLOW
AUDT0000139,T0000139,C01500,6.35,6.35,LOW,ALLOW
AUDT0000140,T0000140,C00843,14.26,14.26,LOW,ALLOW
AUDT0000141,T0000141,C01392,7.09,7.09,LOW,ALLOW
AUDT0000142,T0000142,C01973,11.78,11.78,LOW,ALLOW
AUDT0000143,T0000143,C01366,38.59,38.59,LOW,ALLOW
AUDT0000144,T0000144,C00623,4.67,4.67,LOW,ALLOW
AUDT0000145,T0000145,C01429,12.44,12.44,LOW,ALLOW
AUDT0000146,T0000146,C01793,12.36,12.36,LOW,ALLOW
AUDT0000147,T0000147,C00323,34.55,34.55,LOW,ALLOW
AUDT0000148,T0000148,C00320,39.81,39.81,LOW,ALLOW
AUDT0000149,T0000149,C00120,34.25,34.25,LOW,ALLOW
AUDT0000150,T0000150,C00933,24.89,24.89,LOW,ALLOW
AUDT0000151,T0000151,C01755,4.57,4.57,LOW,ALLOW
AUDT0000152,T0000152,C00745,18.98,18.98,LOW,ALLOW
AUDT0000153,T0000153,C01515,15.26,15.26,LOW,ALLOW
AUDT0000154,T0000154,C00339,28.52,28.52,LOW,ALLOW
AUDT0000155,T0000155,C01668,32.9,32.9,LOW,ALLOW
AUDT0000156,T0000156,C00444,87.78,87.78,HIGH,BLOCK
AUDT0000157,T0000157,C00110,25.04,25.04,LOW,ALLOW
AUDT0000158,T0000158,C01360,21.34,21.34,LOW,ALLOW
AUDT0000159,T0000159,C01797,2.15,2.15,LOW,ALLOW
AUDT0000160,T0000160,C00671,5.86,5.86,LOW,ALLOW
AUDT0000161,T0000161,C00901,16.81,16.81,LOW,ALLOW
AUDT0000162,T0000162,C00891,16.85,16.85,LOW,ALLOW
AUDT0000163,T0000163,C01012,2.59,2.59,LOW,ALLOW
AUDT0000164,T0000164,C00268,10.42,10.42,LOW,ALLOW
AUDT0000165,T0000165,C01758,34.19,34.19,LOW,ALLOW
AUDT0000166,T0000166,C00119,17.21,17.21,LOW,ALLOW
AUDT0000167,T0000167,C01248,22.04,22.04,LOW,ALLOW
AUDT0000168,T0000168,C00045,32.06,32.06,LOW,ALLOW
AUDT0000169,T0000169,C01276,96.07,96.07,HIGH,BLOCK
AUDT0000170,T0000170,C00503,20.55,20.55,LOW,ALLOW
AUDT0000171,T0000171,C00470,16.49,16.49,LOW,ALLOW
AUDT0000172,T0000172,C00447,35.49,35.49,LOW,ALLOW
AUDT0000173,T0000173,C01332,39.67,39.67,LOW,ALLOW
AUDT0000174,T0000174,C02000,5.88,5.88,LOW,ALLOW
AUDT0000175,T0000175,C00730,15.79,15.79,LOW,ALLOW
AUDT0000176,T0000176,C01202,21.59,21.59,LOW,ALLOW
AUDT0000177,T0000177,C01003,11.51,11.51,LOW,ALLOW
AUDT0000178,T0000178,C01543,26.22,26.22,LOW,ALLOW
AUDT0000179,T0000179,C01585,10.79,10.79,LOW,ALLOW
AUDT0000180,T0000180,C01935,17.79,17.79,LOW,ALLOW
AUDT0000181,T0000181,C00958,35.31,35.31,LOW,ALLOW
AUDT0000182,T0000182,C00649,5.71,5.71,LOW,ALLOW
AUDT0000183,T0000183,C00724,5.65,5.65,LOW,ALLOW
AUDT0000184,T0000184,C01652,15.18,15.18,LOW,ALLOW
AUDT0000185,T0000185,C01788,14.13,14.13,LOW,ALLOW
AUDT0000186,T0000186,C01246,19.68,19.68,LOW,ALLOW
AUDT0000187,T0000187,C01708,19.83,19.83,LOW,ALLOW
AUDT0000188,T0000188,C00382,3.3,3.3,LOW,ALLOW
AUDT0000189,T0000189,C00832,24.56,24.56,LOW,ALLOW
AUDT0000190,T0000190,C00100,26.7,26.7,LOW,ALLOW
AUDT0000191,T0000191,C01280,34.36,34.36,LOW,ALLOW
AUDT0000192,T0000192,C00684,16.25,16.25,LOW,ALLOW
AUDT0000193,T0000193,C01922,22.35,22.35,LOW,ALLOW
AUDT0000194,T0000194,C01192,14.8,14.8,LOW,ALLOW
AUDT0000195,T0000195,C01018,4.56,4.56,LOW,ALLOW
AUDT0000196,T0000196,C00259,1.46,1.46,LOW,ALLOW
AUDT0000197,T0000197,C00247,25.45,25.45,LOW,ALLOW
AUDT0000198,T0000198,C01763,13.06,13.06,LOW,ALLOW
AUDT0000199,T0000199,C00126,37.03,37.03,LOW,ALLOW
AUDT0000200,T0000200,C01988,31.31,31.31,LOW,ALLOW
AUDT0000201,T0000201,C01340,33.86,33.86,LOW,ALLOW
AUDT0000202,T0000202,C01619,38.57,38.57,LOW,ALLOW
AUDT0000203,T0000203,C00932,31.69,31.69,LOW,ALLOW
AUDT0000204,T0000204,C01925,20.7,20.7,LOW,ALLOW
AUDT0000205,T0000205,C00741,7.53,7.53,LOW,ALLOW
AUDT0000206,T0000206,C00305,78.82,78.82,HIGH,BLOCK
AUDT0000207,T0000207,C01189,21.05,21.05,LOW,ALLOW
AUDT0000208,T0000208,C01734,22.85,22.85,LOW,ALLOW
AUDT0000209,T0000209,C01840,11.36,11.36,LOW,ALLOW
AUDT0000210,T0000210,C01713,30.59,30.59,LOW,ALLOW
AUDT0000211,T0000211,C00838,35.38,35.38,LOW,ALLOW
AUDT0000212,T0000212,C01544,82.65,82.65,HIGH,BLOCK
AUDT0000213,T0000213,C01702,8.27,8.27,LOW,ALLOW
AUDT0000214,T0000214,C01494,13.67,13.67,LOW,ALLOW
AUDT0000215,T0000215,C00618,34.27,34.27,LOW,ALLOW
AUDT0000216,T0000216,C00776,21.02,21.02,LOW,ALLOW
AUDT0000217,T0000217,C00868,34.97,34.97,LOW,ALLOW
AUDT0000218,T0000218,C01210,30.25,30.25,LOW,ALLOW
AUDT0000219,T0000219,C01848,20.15,20.15,LOW,ALLOW
AUDT0000220,T0000220,C00079,1.4,1.4,LOW,ALLOW
AUDT0000221,T0000221,C01501,5.18,5.18,LOW,ALLOW
AUDT0000222,T0000222,C00428,9.63,9.63,LOW,ALLOW
AUDT0000223,T0000223,C00211,9.69,9.69,LOW,ALLOW
AUDT0000224,T0000224,C00911,14.6,14.6,LOW,ALLOW
AUDT0000225,T0000225,C00489,1.51,1.51,LOW,ALLOW
AUDT0000226,T0000226,C00258,22.67,22.67,LOW,ALLOW
AUDT0000227,T0000227,C01719,24.41,24.41,LOW,ALLOW
AUDT0000228,T0000228,C00453,8.27,8.27,LOW,ALLOW
AUDT0000229,T0000229,C00536,29.98,29.98,LOW,ALLOW
AUDT0000230,T0000230,C00522,17.83,17.83,LOW,ALLOW
AUDT0000231,T0000231,C00696,8.39,8.39,LOW,ALLOW
AUDT0000232,T0000232,C00288,20.27,20.27,LOW,ALLOW
AUDT0000233,T0000233,C01368,81.55,81.55,HIGH,BLOCK
AUDT0000234,T0000234,C00026,25.32,25.32,LOW,ALLOW
AUDT0000235,T0000235,C00385,22.71,22.71,LOW,ALLOW
AUDT0000236,T0000236,C01133,38.11,38.11,LOW,ALLOW
AUDT0000237,T0000237,C01626,2.75,2.75,LOW,ALLOW
AUDT0000238,T0000238,C00492,24.22,24.22,LOW,ALLOW
AUDT0000239,T0000239,C01548,5.17,5.17,LOW,ALLOW
AUDT0000240,T0000240,C01276,1.49,1.49,LOW,ALLOW
AUDT0000241,T0000241,C01423,37.33,37.33,LOW,ALLOW
AUDT0000242,T0000242,C01318,9.87,9.87,LOW,ALLOW
AUDT0000243,T0000243,C01426,32.76,32.76,LOW,ALLOW
AUDT0000244,T0000244,C01748,28.71,28.71,LOW,ALLOW
AUDT0000245,T0000245,C01032,14.74,14.74,LOW,ALLOW
AUDT0000246,T0000246,C01667,27.33,27.33,LOW,ALLOW
AUDT0000247,T0000247,C00168,34.22,34.22,LOW,ALLOW
AUDT0000248,T0000248,C00353,15.03,15.03,LOW,ALLOW
AUDT0000249,T0000249,C00730,18.74,18.74,LOW,ALLOW
AUDT0000250,T0000250,C01894,8.69,8.69,LOW,ALLOW
AUDT0000251,T0000251,C01012,38.46,38.46,LOW,ALLOW
AUDT0000252,T0000252,C00989,19.3,19.3,LOW,ALLOW
AUDT0000253,T0000253,C00714,26.64,26.64,LOW,ALLOW
AUDT0000254,T0000254,C00847,25.81,25.81,LOW,ALLOW
AUDT0000255,T0000255,C01231,18.36,18.36,LOW,ALLOW
AUDT0000256,T0000256,C01090,8.54,8.54,LOW,ALLOW
AUDT0000257,T0000257,C01685,8.39,8.39,LOW,ALLOW
AUDT0000258,T0000258,C00917,6.39,6.39,LOW,ALLOW
AUDT0000259,T0000259,C00172,7.41,7.41,LOW,ALLOW
AUDT0000260,T0000260,C01585,36.63,36.63,LOW,ALLOW
AUDT0000261,T0000261,C01728,13.88,13.88,LOW,ALLOW
AUDT0000262,T0000262,C00762,26.22,26.22,LOW,ALLOW
AUDT0000263,T0000263,C01220,31.92,31.92,LOW,ALLOW
AUDT0000264,T0000264,C01336,18.71,18.71,LOW,ALLOW
AUDT0000265,T0000265,C01558,17.27,17.27,LOW,ALLOW
AUDT0000266,T0000266,C00864,17.39,17.39,LOW,ALLOW
AUDT0000267,T0000267,C01074,31.5,31.5,LOW,ALLOW
AUDT0000268,T0000268,C00937,2.52,2.52,LOW,ALLOW
AUDT0000269,T0000269,C00515,1.72,1.72,LOW,ALLOW
AUDT0000270,T0000270,C01021,4.82,4.82,LOW,ALLOW
AUDT0000271,T0000271,C00234,31.95,31.95,LOW,ALLOW
AUDT0000272,T0000272,C00550,88.48,88.48,HIGH,BLOCK
AUDT0000273,T0000273,C01194,33.2,33.2,LOW,ALLOW
AUDT0000274,T0000274,C01095,21.31,21.31,LOW,ALLOW
AUDT0000275,T0000275,C00592,11.87,11.87,LOW,ALLOW
AUDT0000276,T0000276,C00636,26.02,26.02,LOW,ALLOW
AUDT0000277,T0000277,C01073,13.99,13.99,LOW,ALLOW
AUDT0000278,T0000278,C01862,23.99,23.99,LOW,ALLOW
AUDT0000279,T0000279,C01523,19.13,19.13,LOW,ALLOW
AUDT0000280,T0000280,C01140,29.15,29.15,LOW,ALLOW
AUDT0000281,T0000281,C01903,13.26,13.26,LOW,ALLOW
AUDT0000282,T0000282,C01821,6.21,6.21,LOW,ALLOW
AUDT0000283,T0000283,C01167,31.34,31.34,LOW,ALLOW
AUDT0000284,T0000284,C00206,80.37,80.37,HIGH,BLOCK
AUDT0000285,T0000285,C00896,19.31,19.31,LOW,ALLOW
AUDT0000286,T0000286,C00265,4.32,4.32,LOW,ALLOW
AUDT0000287,T0000287,C01992,85.41,85.41,HIGH,BLOCK
AUDT0000288,T0000288,C00555,2.31,2.31,LOW,ALLOW
AUDT0000289,T0000289,C01165,12.5,12.5,LOW,ALLOW
AUDT0000290,T0000290,C01942,22.46,22.46,LOW,ALLOW
AUDT0000291,T0000291,C01948,22.88,22.88,LOW,ALLOW
AUDT0000292,T0000292,C00577,22.75,22.75,LOW,ALLOW
AUDT0000293,T0000293,C00419,13.15,13.15,LOW,ALLOW
AUDT0000294,T0000294,C00463,4.23,4.23,LOW,ALLOW
AUDT0000295,T0000295,C00782,19.92,19.92,LOW,ALLOW
AUDT0000296,T0000296,C00972,22.16,22.16,LOW,ALLOW
AUDT0000297,T0000297,C00332,13.82,13.82,LOW,ALLOW
AUDT0000298,T0000298,C01032,27.83,27.83,LOW,ALLOW
AUDT0000299,T0000299,C00844,19.98,19.98,LOW,ALLOW
AUDT0000300,T0000300,C00502,39.75,39.75,LOW,ALLOW
AUDT0000301,T0000301,C00091,16.27,16.27,LOW,ALLOW
AUDT0000302,T0000302,C01881,8.11,8.11,LOW,ALLOW
AUDT0000303,T0000303,C00473,7.52,7.52,LOW,ALLOW
AUDT0000304,T0000304,C01637,32.12,32.12,LOW,ALLOW
AUDT0000305,T0000305,C01910,9.57,9.57,LOW,ALLOW
AUDT0000306,T0000306,C00775,38.41,38.41,LOW,ALLOW
AUDT0000307,T0000307,C01516,4.18,4.18,LOW,ALLOW
AUDT0000308,T0000308,C01801,29.8,29.8,LOW,ALLOW
AUDT0000309,T0000309,C00409,23.62,23.62,LOW,ALLOW
AUDT0000310,T0000310,C00163,7.12,7.12,LOW,ALLOW
AUDT0000311,T0000311,C00044,31.01,31.01,LOW,ALLOW
AUDT0000312,T0000312,C00301,37.46,37.46,LOW,ALLOW
AUDT0000313,T0000313,C00774,28.75,28.75,LOW,ALLOW
AUDT0000314,T0000314,C01543,30.94,30.94,LOW,ALLOW
AUDT0000315,T0000315,C00233,4.37,4.37,LOW,ALLOW
AUDT0000316,T0000316,C01812,30.45,30.45,LOW,ALLOW
AUDT0000317,T0000317,C00375,16.46,16.46,LOW,ALLOW
AUDT0000318,T0000318,C01125,5.87,5.87,LOW,ALLOW
AUDT0000319,T0000319,C01153,39.27,39.27,LOW,ALLOW
AUDT0000320,T0000320,C00358,18.68,18.68,LOW,ALLOW
AUDT0000321,T0000321,C01663,9.02,9.02,LOW,ALLOW
AUDT0000322,T0000322,C00711,27.34,27.34,LOW,ALLOW
AUDT0000323,T0000323,C01706,12.74,12.74,LOW,ALLOW
AUDT0000324,T0000324,C00140,23.52,23.52,LOW,ALLOW
AUDT0000325,T0000325,C01810,82.16,82.16,HIGH,BLOCK
AUDT0000326,T0000326,C01821,16.75,16.75,LOW,ALLOW
AUDT0000327,T0000327,C00608,21.22,21.22,LOW,ALLOW
AUDT0000328,T0000328,C00319,2.04,2.04,LOW,ALLOW
AUDT0000329,T0000329,C00640,11.58,11.58,LOW,ALLOW
AUDT0000330,T0000330,C00460,13.8,13.8,LOW,ALLOW
AUDT0000331,T0000331,C01404,39.58,39.58,LOW,ALLOW
AUDT0000332,T0000332,C01880,11.32,11.32,LOW,ALLOW
AUDT0000333,T0000333,C00144,17.44,17.44,LOW,ALLOW
AUDT0000334,T0000334,C00848,20.77,20.77,LOW,ALLOW
AUDT0000335,T0000335,C00179,18.28,18.28,LOW,ALLOW
AUDT0000336,T0000336,C01322,37.92,37.92,LOW,ALLOW
AUDT0000337,T0000337,C00591,9.33,9.33,LOW,ALLOW
AUDT0000338,T0000338,C00131,33.9,33.9,LOW,ALLOW
AUDT0000339,T0000339,C01462,96.9,96.9,HIGH,BLOCK
AUDT0000340,T0000340,C01393,26.22,26.22,LOW,ALLOW
AUDT0000341,T0000341,C00985,5.76,5.76,LOW,ALLOW
AUDT0000342,T0000342,C01833,22.64,22.64,LOW,ALLOW
AUDT0000343,T0000343,C00901,33.32,33.32,LOW,ALLOW
AUDT0000344,T0000344,C00633,35.11,35.11,LOW,ALLOW
AUDT0000345,T0000345,C00629,1.3,1.3,LOW,ALLOW
AUDT0000346,T0000346,C00284,34.74,34.74,LOW,ALLOW
AUDT0000347,T0000347,C01027,17.39,17.39,LOW,ALLOW
AUDT0000348,T0000348,C00319,9.37,9.37,LOW,ALLOW
AUDT0000349,T0000349,C00168,1.49,1.49,LOW,ALLOW
AUDT0000350,T0000350,C01224,13.31,13.31,LOW,ALLOW
AUDT0000351,T0000351,C00911,29.81,29.81,LOW,ALLOW
AUDT0000352,T0000352,C00058,33.47,33.47,LOW,ALLOW
AUDT0000353,T0000353,C00296,16.3,16.3,LOW,ALLOW
AUDT0000354,T0000354,C00218,34.0,34.0,LOW,ALLOW
AUDT0000355,T0000355,C00601,39.61,39.61,LOW,ALLOW
AUDT0000356,T0000356,C01613,29.56,29.56,LOW,ALLOW
AUDT0000357,T0000357,C01413,1.5,1.5,LOW,ALLOW
AUDT0000358,T0000358,C00383,25.53,25.53,LOW,ALLOW
AUDT0000359,T0000359,C00618,12.81,12.81,LOW,ALLOW
AUDT0000360,T0000360,C01119,7.06,7.06,LOW,ALLOW
AUDT0000361,T0000361,C00130,28.97,28.97,LOW,ALLOW
AUDT0000362,T0000362,C00705,8.94,8.94,LOW,ALLOW
AUDT0000363,T0000363,C00981,14.41,14.41,LOW,ALLOW
AUDT0000364,T0000364,C01818,34.19,34.19,LOW,ALLOW
AUDT0000365,T0000365,C00635,1.74,1.74,LOW,ALLOW
AUDT0000366,T0000366,C00050,31.66,31.66,LOW,ALLOW
AUDT0000367,T0000367,C01202,12.6,12.6,LOW,ALLOW
AUDT0000368,T0000368,C01873,36.77,36.77,LOW,ALLOW
AUDT0000369,T0000369,C00432,28.07,28.07,LOW,ALLOW
AUDT0000370,T0000370,C00679,39.05,39.05,LOW,ALLOW
AUDT0000371,T0000371,C01070,1.59,1.59,LOW,ALLOW
AUDT0000372,T0000372,C00659,36.86,36.86,LOW,ALLOW
AUDT0000373,T0000373,C00442,94.39,94.39,HIGH,BLOCK
AUDT0000374,T0000374,C01691,13.52,13.52,LOW,ALLOW
AUDT0000375,T0000375,C00895,10.58,10.58,LOW,ALLOW
AUDT0000376,T0000376,C00970,31.04,31.04,LOW,ALLOW
AUDT0000377,T0000377,C00806,38.92,38.92,LOW,ALLOW
AUDT0000378,T0000378,C00700,28.88,28.88,LOW,ALLOW
AUDT0000379,T0000379,C01465,1.74,1.74,LOW,ALLOW
AUDT0000380,T0000380,C01689,39.91,39.91,LOW,ALLOW
AUDT0000381,T0000381,C00862,36.49,36.49,LOW,ALLOW
AUDT0000382,T0000382,C00116,7.08,7.08,LOW,ALLOW
AUDT0000383,T0000383,C01365,3.79,3.79,LOW,ALLOW
AUDT0000384,T0000384,C00167,18.28,18.28,LOW,ALLOW
AUDT0000385,T0000385,C00703,35.38,35.38,LOW,ALLOW
AUDT0000386,T0000386,C00739,26.34,26.34,LOW,ALLOW
AUDT0000387,T0000387,C01254,9.73,9.73,LOW,ALLOW
AUDT0000388,T0000388,C01585,30.87,30.87,LOW,ALLOW
AUDT0000389,T0000389,C00361,13.45,13.45,LOW,ALLOW
AUDT0000390,T0000390,C01762,6.32,6.32,LOW,ALLOW
AUDT0000391,T0000391,C00122,36.74,36.74,LOW,ALLOW
AUDT0000392,T0000392,C00767,35.15,35.15,LOW,ALLOW
AUDT0000393,T0000393,C01384,70.34,70.34,HIGH,BLOCK
AUDT0000394,T0000394,C01958,36.49,36.49,LOW,ALLOW
AUDT0000395,T0000395,C00758,15.58,15.58,LOW,ALLOW
AUDT0000396,T0000396,C00235,28.58,28.58,LOW,ALLOW
AUDT0000397,T0000397,C01903,15.94,15.94,LOW,ALLOW
