behavior_id,customer_id,device_id,current_city,behavior_risk_score
BH000061,C00171,D00663,Pune,99.82
BH000062,C01829,D00693,Indore,66.69
BH000063,C00374,D00623,Surendranagar Dudhrej,90.11
BH000064,C01608,D01186,Kamarhati,87.19
BH000065,C00122,D01499,Chapra,15.79
BH000066,C00856,D01088,Raiganj,7.89
BH000067,C00228,D00811,Imphal,21.46
BH000068,C01474,D00936,Hajipur,90.65
BH000069,C00711,D00106,Katihar,68.64
BH000070,C01205,D01127,Khandwa,44.02
BH000071,C01824,D00880,Bhilai,3.2
BH000072,C00579,D00928,Sri Ganganagar,95.59
BH000073,C01009,D00775,Jalgaon,76.5
BH000074,C01443,D00218,Bally,84.45
BH000075,C00950,D01177,Serampore,55.07
BH000076,C01907,D00670,Hazaribagh,70.83
BH000077,C01209,D00432,Mau,36.62
BH000078,C00058,D01288,Udupi,66.64
BH000079,C01699,D00332,Sikar,4.81
BH000080,C00805,D00347,Sri Ganganagar,95.74
BH000081,C01274,D00547,Panchkula,96.98
BH000082,C01583,D00268,Silchar,1.22
BH000083,C01414,D01425,Begusarai,0.3
BH000084,C00714,D00597,Pondicherry,93.77
BH000085,C01799,D00173,Raichur,42.84
BH000086,C01038,D00104,Mathura,6.44
BH000087,C01112,D00630,Darbhanga,62.69
BH000088,C01864,D00992,Phusro,95.54
BH000089,C01340,D00949,Satara,88.05
BH000090,C01263,D00735,Chandigarh,95.98
BH000091,C00736,D00669,Faridabad,76.0
BH000092,C00499,D00768,Mathura,68.6
BH000093,C00698,D00759,Erode,4.57
BH000094,C00795,D01311,Hapur,3.33
BH000095,C00835,D01142,Solapur,56.94
BH000096,C01183,D00925,Rampur,64.41
BH000097,C00815,D00554,Jalna,94.29
BH000098,C01862,D00561,Kanpur,7.37
BH000099,C00793,D01120,Shimla,47.75
BH000100,C00091,D00780,Dharmavaram,99.61
BH000101,C01026,D00439,Jalna,69.44
BH000102,C00257,D00410,Miryalaguda,88.98
BH000103,C00447,D00387,Bally,57.03
BH000104,C00592,D00367,Bharatpur,58.11
BH000105,C01973,D00778,Rajahmundry,86.19
BH000106,C00043,D00134,Nagaon,39.26
BH000107,C00939,D00036,Davanagere,75.88
BH000108,C01734,D00637,Anantapuram,33.42
BH000109,C00017,D00745,Gopalpur,16.07
BH000110,C00713,D00067,Katni,7.29
BH000111,C00436,D01193,Tinsukia,31.31
BH000112,C00267,D00686,Gorakhpur,18.36
BH000113,C00217,D01217,Rewa,53.72
BH000114,C00377,D01007,Dibrugarh,6.11
BH000115,C00383,D01005,Kurnool,94.7
BH000116,C01439,D00827,Pali,21.88
BH000117,C00454,D00979,Mangalore,33.1
BH000118,C00196,D00948,Dewas,1.52
BH000119,C01613,D00963,Nizamabad,57.13
BH000120,C01318,D00957,Udupi,83.89
BH000121,C00096,D01449,Nagaon,24.43
BH000122,C01305,D01138,Jaipur,51.04
BH000123,C00498,D01298,Kanpur,15.15
BH000124,C01850,D00510,Purnia,8.84
BH000125,C00805,D00184,Varanasi,21.99
BH000126,C00279,D00740,Kalyan-Dombivli,28.16
BH000127,C01390,D01049,Meerut,95.77
BH000128,C01892,D01138,Pimpri-Chinchwad,33.41
BH000129,C01795,D00387,Saharsa,32.33
BH000130,C01159,D00834,Anand,8.77
BH000131,C01216,D00435,Anantapuram,31.17
BH000132,C00810,D00592,Karimnagar,23.09
BH000133,C01727,D00896,Panipat,41.91
BH000134,C01647,D00588,Raichur,79.73
BH000135,C01812,D00091,Kishanganj,45.76
BH000136,C00725,D01255,Rewa,7.77
BH000137,C00947,D01162,Barasat,88.99
BH000138,C01424,D00944,Ghaziabad,0.11
BH000139,C00912,D00847,Maheshtala,9.08
BH000140,C00706,D01216,Kolhapur,22.56
BH000141,C01540,D01170,Amritsar,18.09
BH000142,C00884,D00213,Guntur,95.74
BH000143,C00203,D00656,Navi Mumbai,6.75
BH000144,C01858,D01263,Bathinda,52.23
BH000145,C01864,D00134,Haldia,72.28
BH000146,C01406,D01019,Ujjain,56.55
BH000147,C00889,D00560,Tirunelveli,77.28
BH000148,C01031,D00111,Nagercoil,21.14
BH000149,C00761,D00998,Bokaro,55.02
BH000150,C00168,D00892,Sambalpur,56.9
BH000151,C00950,D01177,Rampur,97.28
BH000152,C00343,D01038,Narasaraopet,38.17
BH000153,C01059,D00985,Udupi,70.88
BH000154,C01537,D00744,Shimoga,91.72
BH000155,C00981,D01253,Nagpur,6.72
BH000156,C00769,D00006,Kanpur,94.26
BH000157,C01042,D00535,Barasat,47.96
BH000158,C00354,D00765,Nagpur,33.17
BH000159,C01807,D01206,Ahmedabad,86.62
BH000160,C01347,D00397,Baranagar,99.54
BH000161,C00283,D00635,Kadapa,72.24
BH000162,C00977,D00024,Karnal,0.12
BH000163,C00364,D00429,Bhusawal,61.5
BH000164,C01100,D01139,Bidar,62.53
BH000165,C01718,D01082,Varanasi,13.53
BH000166,C01937,D00796,Kota,5.92
BH000167,C00182,D00037,Jalna,27.87
BH000168,C00571,D01200,Ujjain,73.11
BH000169,C01894,D00510,Moradabad,6.6
BH000170,C01995,D01269,Baranagar,57.73
BH000171,C01456,D00097,Rajpur Sonarpur,70.11
BH000172,C01379,D01095,Giridih,73.57
BH000173,C01505,D00664,Pimpri-Chinchwad,12.76
BH000174,C01299,D00577,Khandwa,97.87
BH000175,C00568,D00714,Firozabad,21.9
BH000176,C00269,D01333,Bidhannagar,71.69
BH000177,C01020,D01212,Eluru,85.05
BH000178,C00261,D00436,Indore,87.58
BH000179,C00500,D01469,Shahjahanpur,71.79
BH000180,C00085,D00539,Hosur,50.33
BH000181,C00856,D01088,Jodhpur,88.63
BH000182,C00834,D00465,Ongole,39.59
BH000183,C00006,D00296,Mira-Bhayandar,98.44
BH000184,C00118,D00395,Kavali,71.52
BH000185,C01219,D00110,Hospet,93.49
BH000186,C00902,D01313,Kadapa,45.96
BH000187,C00815,D00554,Khammam,61.11
BH000188,C00460,D00657,Tiruchirappalli,76.79
BH000189,C01401,D01258,Bally,65.18
BH000190,C01226,D00523,Ambarnath,41.57
BH000191,C01810,D01190,Ajmer,46.97
BH000192,C00775,D00891,Bhubaneswar,4.09
BH000193,C01936,D00515,Bongaigaon,58.2
BH000194,C01958,D00519,Avadi,11.93
BH000195,C01609,D00979,Naihati,26.37
BH000196,C01725,D01244,Motihari,6.69
BH000197,C00793,D01120,Kakinada,16.22
BH000198,C01163,D00686,Ozhukarai,80.15
BH000199,C00416,D01436,Gwalior,41.98
BH000200,C00029,D00105,Pimpri-Chinchwad,36.69
BH000201,C01142,D01078,Bokaro,96.88
BH000202,C00856,D01088,North Dumdum,46.05
BH000203,C01543,D01047,Chittoor,38.32
BH000204,C01435,D00383,Jehanabad,92.99
BH000205,C00173,D00482,Ambarnath,36.21
BH000206,C00124,D00163,Junagadh,58.12
BH000207,C01595,D00732,Begusarai,30.05
BH000208,C00075,D01299,Miryalaguda,96.53
BH000209,C00802,D00880,Bilaspur,68.49
BH000210,C01239,D01167,Thane,71.73
BH000211,C01163,D00483,Raichur,34.38
BH000212,C00620,D00770,Uluberia,60.45
BH000213,C00343,D01281,Madurai,18.98
BH000214,C01734,D00637,Nellore,38.53
BH000215,C00889,D00560,Chandigarh,8.85
BH000216,C01984,D00025,Ranchi,25.57
BH000217,C01610,D01048,Sambalpur,66.55
BH000218,C01884,D01257,Jalgaon,94.08
BH000219,C01137,D01380,Giridih,26.66
BH000220,C00310,D01142,Patiala,67.92
BH000221,C01742,D01114,Adoni,53.38
BH000222,C01010,D00768,Muzaffarpur,73.99
BH000223,C01906,D01019,Jamnagar,14.75
BH000224,C00492,D01408,Srikakulam,90.74
BH000225,C01457,D01069,Tiruvottiyur,65.8
BH000226,C01170,D01272,Bulandshahr,38.03
BH000227,C00452,D00300,Loni,55.97
BH000228,C01649,D01435,Dharmavaram,88.74
BH000229,C01475,D01084,Warangal,94.72
BH000230,C01995,D01235,Sikar,88.9
BH000231,C01366,D00370,Bhiwani,36.47
BH000232,C00484,D00467,Kochi,24.55
BH000233,C01945,D00837,Hazaribagh,94.94
BH000234,C00072,D01279,Meerut,7.75
BH000235,C01447,D00665,Lucknow,84.83
BH000236,C01084,D00846,Dhanbad,40.57
BH000237,C00766,D00856,South Dumdum,36.98
BH000238,C00957,D00628,Junagadh,91.61
BH000239,C01155,D01482,Adoni,49.94
BH000240,C01631,D00406,Proddatur,40.14
BH000241,C01459,D00177,Salem,72.17
BH000242,C01931,D00791,Meerut,94.7
BH000243,C00739,D00076,Kurnool,43.66
BH000244,C01156,D00172,Kadapa,99.11
BH000245,C00555,D00774,Suryapet,38.67
BH000246,C01492,D00650,Kishanganj,96.23
BH000247,C00131,D00845,Bongaigaon,20.86
BH000248,C00575,D00185,Jalna,7.91
BH000249,C00703,D01251,Durg,36.99
BH000250,C01097,D00125,Phagwara,57.27
BH000251,C01896,D00672,Bhimavaram,91.71
BH000252,C00628,D00900,Thane,81.48
BH000253,C00380,D00970,Kalyan-Dombivli,59.59
BH000254,C00662,D00621,Nagpur,57.57
BH000255,C00814,D00491,Madurai,84.42
BH000256,C00373,D00615,Bilaspur,85.34
BH000257,C00491,D01410,Srikakulam,45.32
BH000258,C00566,D01484,Dhule,23.96
BH000259,C01592,D00898,Raipur,58.85
BH000260,C00244,D00919,Hapur,18.16
BH000261,C00251,D00477,Shivpuri,5.26
BH000262,C01368,D01381,Bhilai,65.07
BH000263,C01196,D01066,Raurkela Industrial Township,24.78
BH000264,C01838,D00983,Noida,94.1
BH000265,C01673,D00260,Patiala,30.1
BH000266,C00649,D01274,Warangal,21.35
BH000267,C01659,D01126,Katni,45.28
BH000268,C00846,D00970,Agartala,65.78
BH000269,C00938,D00898,Indore,10.42
BH000270,C01859,D00879,Amritsar,3.0
BH000271,C01323,D00231,Burhanpur,49.57
BH000272,C01088,D01182,Machilipatnam,91.98
BH000273,C00291,D01367,Agra,7.94
BH000274,C01495,D00170,Nellore,9.24
BH000275,C01910,D00746,Mumbai,31.83
BH000276,C00429,D00282,Bardhaman,81.56
BH000277,C01348,D01173,Ramgarh,73.91
BH000278,C00361,D01015,Tirunelveli,88.92
BH000279,C01036,D01104,Tumkur,25.98
BH000280,C01729,D00132,Uluberia,4.86
BH000281,C01019,D01066,Nagaon,64.28
BH000282,C00336,D01111,Munger,93.38
BH000283,C01386,D00888,Orai,69.15
BH000284,C00842,D00646,Sonipat,87.53
BH000285,C01681,D01262,Mahbubnagar,22.26
BH000286,C00911,D01426,Bhiwani,45.3
BH000287,C01183,D00925,Sikar,40.03
BH000288,C00664,D01227,Pondicherry,18.83
BH000289,C00959,D01201,Kanpur,11.15
BH000290,C01866,D01103,Eluru,64.57
BH000291,C00096,D01449,Udaipur,81.53
BH000292,C01667,D00982,Tiruppur,93.24
BH000293,C00129,D00467,Purnia,92.76
BH000294,C00753,D00935,Tumkur,64.91
BH000295,C01349,D00697,Warangal,3.64
BH000296,C01886,D01392,Dhule,48.38
BH000297,C01398,D00402,Ambarnath,72.95
BH000298,C00135,D00516,Nellore,18.63
BH000299,C00949,D00517,Tenali,11.99
BH000300,C00055,D00851,Jamalpur,22.67
BH000301,C01175,D00223,Mysore,79.18
BH000302,C01576,D00902,Raipur,76.31
BH000303,C01084,D00846,Kurnool,49.44
BH000304,C00337,D00738,Yamunanagar,19.85
BH000305,C00406,D00679,Vijayanagaram,62.24
BH000306,C00719,D00205,Adoni,51.81
BH000307,C00801,D01344,Katihar,90.65
BH000308,C00055,D00851,Nagaon,57.56
BH000309,C01293,D01193,Munger,78.41
BH000310,C00705,D01225,Karawal Nagar,71.91
BH000311,C01980,D00792,Rohtak,35.22
BH000312,C01830,D00328,Ratlam,90.95
BH000313,C00304,D00291,Muzaffarnagar,15.08
BH000314,C01420,D00344,Satara,22.68
BH000315,C01262,D00832,Bhiwandi,89.36
BH000316,C01236,D00301,North Dumdum,17.43
BH000317,C00589,D00138,Udaipur,85.29
BH000318,C01416,D00800,Mira-Bhayandar,78.19
BH000319,C00462,D01488,Loni,22.66
BH000320,C00875,D00141,Kulti,50.73
BH000321,C01991,D00536,Anand,46.95
BH000322,C00188,D00679,Jalgaon,55.12
BH000323,C00941,D00788,Shimla,51.15
BH000324,C00797,D01094,Aizawl,78.79
BH000325,C00248,D00108,Patna,80.69
BH000326,C01700,D00088,Haridwar,38.11
BH000327,C00203,D00656,Aurangabad,49.14
BH000328,C00320,D00416,Hosur,9.98
BH000329,C01321,D01235,Ahmedabad,22.23
BH000330,C01972,D00393,Faridabad,70.61
BH000331,C01974,D00150,Kavali,66.62
BH000332,C01725,D01244,Guwahati,92.3
BH000333,C01561,D00485,Anand,53.41
BH000334,C00529,D00451,Unnao,47.85
BH000335,C00665,D00856,Bidar,75.38
BH000336,C00269,D01333,Guna,20.98
BH000337,C01987,D00903,Bharatpur,98.22
BH000338,C00313,D00314,Farrukhabad,95.23
BH000339,C01884,D01257,Haldia,63.47
BH000340,C01545,D00210,Baranagar,29.2
BH000341,C00316,D00954,Ichalkaranji,56.02
BH000342,C01373,D00830,Nadiad,71.74
BH000343,C01362,D01062,Hajipur,17.86
BH000344,C01963,D00158,Serampore,40.5
BH000345,C00773,D01035,Berhampore,82.11
BH000346,C01266,D00775,Noida,21.11
BH000347,C01344,D01309,Bongaigaon,90.02
BH000348,C00497,D00422,Sri Ganganagar,86.45
BH000349,C00502,D00700,Jamalpur,85.51
BH000350,C00235,D01071,Narasaraopet,27.16
BH000351,C01401,D01258,Pali,27.58
BH000352,C01696,D00845,Hajipur,0.63
BH000353,C01371,D00687,Gurgaon,22.91
BH000354,C01145,D00290,Kharagpur,77.22
BH000355,C01338,D00816,Nellore,14.85
BH000356,C01820,D00864,Mumbai,7.17
BH000357,C01587,D01123,Chapra,17.45
BH000358,C01354,D00837,Miryalaguda,50.87
BH000359,C00588,D01235,Hazaribagh,22.92
BH000360,C01697,D00921,Visakhapatnam,65.69
BH000361,C00791,D00881,Tumkur,31.38
BH000362,C00567,D00896,Jaipur,4.5
BH000363,C00653,D00075,Siwan,56.87
BH000364,C01637,D00933,Agartala,93.68
BH000365,C01352,D00236,Gulbarga,36.83
BH000366,C00877,D00219,Shimoga,7.2
BH000367,C01160,D00379,Raipur,34.22
BH000368,C00878,D00961,North Dumdum,1.69
BH000369,C01912,D00923,Kumbakonam,9.13
BH000370,C01477,D00969,Warangal,59.24
BH000371,C00434,D01142,Rajpur Sonarpur,32.1
BH000372,C01121,D00727,Erode,35.78
BH000373,C00379,D00720,Munger,47.72
BH000374,C00002,D00793,Dehradun,1.82
BH000375,C00346,D01175,Cuttack,97.64
BH000376,C01366,D00370,Mysore,7.11
BH000377,C01776,D01118,Thiruvananthapuram,9.61
BH000378,C01493,D00365,Sangli-Miraj & Kupwad,8.98
BH000379,C00630,D01460,Pondicherry,94.08
BH000380,C01171,D00438,Karawal Nagar,75.19
BH000381,C00881,D01329,Kadapa,46.28
BH000382,C01161,D00055,Ramgarh,40.6
BH000383,C01160,D00379,Akola,47.46
BH000384,C00152,D00952,Ajmer,42.64
BH000385,C01830,D00328,Thrissur,23.13
BH000386,C01635,D01099,Machilipatnam,13.19
BH000387,C01336,D00485,Saharanpur,67.5
BH000388,C00058,D00962,Ajmer,95.91
BH000389,C01425,D00288,Hospet,64.87
BH000390,C00861,D00282,Cuttack,23.72
BH000391,C01306,D01008,Guntur,94.07
BH000392,C01403,D01014,Guna,90.01
BH000393,C01431,D00399,Cuttack,20.3
BH000394,C01235,D01187,Suryapet,63.0
BH000395,C00783,D00921,Raebareli,30.88
BH000396,C00064,D00977,Burhanpur,18.17
BH000397,C00256,D01464,Jamnagar,4.57
BH000398,C00248,D00108,Akola,6.93
BH000399,C01725,D01244,Uluberia,77.46
BH000400,C00996,D00353,Latur,27.23
BH000401,C00580,D00893,Bhavnagar,79.95
BH000402,C00582,D00342,Tumkur,0.69
BH000403,C00103,D00498,Dhanbad,14.03
BH000404,C01983,D00471,Sultan Pur Majra,46.43
BH000405,C00628,D00900,Nashik,54.48
BH000406,C01562,D00745,Aizawl,49.64
BH000407,C00610,D01084,Alappuzha,59.31
BH000408,C01892,D01138,Gulbarga,88.48
BH000409,C00183,D00855,Pimpri-Chinchwad,81.62
BH000410,C00790,D00814,Kochi,42.66
BH000411,C00070,D00758,Gulbarga,85.79
BH000412,C00068,D01008,Ahmedabad,40.67
BH000413,C00723,D00548,Kamarhati,69.9
BH000414,C00964,D00094,Ratlam,3.76
BH000415,C01514,D01306,Baranagar,97.51
BH000416,C01158,D00946,Morena,61.65
BH000417,C01972,D00393,Guntur,44.14
BH000418,C00226,D00769,Bidhannagar,13.74
BH000419,C01426,D00603,Bharatpur,22.27
BH000420,C00422,D01421,Chandrapur,69.47
BH000421,C01216,D00435,Tadipatri,71.9
BH000422,C00368,D01394,Ulhasnagar,34.98
BH000423,C00331,D01488,Khora ,46.27
BH000424,C01382,D00034,Patiala,42.66
BH000425,C00481,D01263,South Dumdum,85.33
BH000426,C01258,D01360,Jalna,91.62
BH000427,C01272,D00690,Bally,84.05
BH000428,C01564,D00656,Chandrapur,61.17
BH000429,C00715,D01405,Bhubaneswar,41.39
BH000430,C00891,D00488,Tiruvottiyur,29.85
BH000431,C00677,D01368,Suryapet,87.47
BH000432,C01930,D00637,Kurnool,74.53
BH000433,C00630,D00953,Rewa,78.56
BH000434,C01622,D00840,Bulandshahr,61.2
BH000435,C00811,D01111,Nangloi Jat,75.3
BH000436,C00497,D00422,Saharsa,27.58
BH000437,C00924,D00888,Agra,22.64
BH000438,C01805,D01302,Pallavaram,87.71
BH000439,C00541,D00792,Tiruchirappalli,52.58
BH000440,C01385,D01357,Srinagar,69.96
BH000441,C00351,D00009,Sasaram,22.45
BH000442,C01216,D00435,Ambarnath,50.05
BH000443,C00263,D01286,Guwahati,72.35
BH000444,C00448,D00981,Indore,66.9
BH000445,C01092,D00493,Cuttack,9.98
BH000446,C00323,D00918,Bhusawal,96.73
BH000447,C01832,D01112,Bhimavaram,44.55
BH000448,C00126,D01111,Katihar,11.51
BH000449,C00981,D01253,Chapra,47.89
BH000450,C00618,D00151,Howrah,19.27
BH000451,C01291,D00929,Dibrugarh,37.05
BH000452,C00968,D01158,Jabalpur,13.19
BH000453,C01593,D01401,Bihar Sharif,3.73
BH000454,C00021,D00392,Kirari Suleman Nagar,30.18
BH000455,C01161,D00055,Surat,84.83
BH000456,C00782,D00473,Davanagere,14.84
BH000457,C01252,D01065,Dehri,56.66
BH000458,C01686,D01209,Chandigarh,14.14
BH000459,C01510,D01075,Bhiwandi,10.66
BH000460,C01595,D01054,Shimla,20.4
BH000461,C01770,D01056,Kota,33.33
BH000462,C00806,D01376,Bhusawal,52.88
BH000463,C01219,D00110,Durg,19.03
BH000464,C01193,D00239,Dharmavaram,62.8
BH000465,C01720,D00520,Mysore,96.38
BH000466,C01138,D00077,Sultan Pur Majra,97.09
BH000467,C00162,D00968,Bhusawal,94.44
BH000468,C00535,D00496,Raurkela Industrial Township,55.26
BH000469,C00388,D00005,Kishanganj,69.58
BH000470,C00813,D00249,North Dumdum,22.13
BH000471,C00149,D00088,Latur,93.45
BH000472,C01128,D00631,Agartala,4.81
BH000473,C00420,D00751,Nellore,89.02
BH000474,C00391,D01237,Gangtok,15.76
BH000475,C01374,D00150,Shahjahanpur,3.35
BH000476,C00510,D00876,Rajpur Sonarpur,31.0
BH000477,C00600,D00961,Amritsar,26.51
BH000478,C00426,D00138,Chandigarh,1.87
BH000479,C00476,D01398,Giridih,45.08
BH000480,C01187,D00603,Secunderabad,50.44
BH000481,C01420,D00344,Hapur,78.14
BH000482,C01107,D00318,Rajkot,3.27
BH000483,C01621,D01407,Siliguri,71.08
BH000484,C01838,D00983,Gulbarga,56.91
BH000485,C00575,D00185,Kharagpur,75.33
BH000486,C01965,D00316,Indore,15.3
BH000487,C01649,D01435,Raichur,64.66
BH000488,C01992,D01089,Guwahati,43.82
BH000489,C00586,D00867,Akola,46.58
BH000490,C00386,D00973,Meerut,30.21
BH000491,C01724,D01375,Dibrugarh,5.84
BH000492,C00468,D00887,Sultan Pur Majra,94.72
BH000493,C00335,D00599,Mehsana,81.51
BH000494,C01249,D01315,Hospet,42.21
BH000495,C00693,D00333,Bhopal,44.85
BH000496,C00690,D00744,Hindupur,87.21
BH000497,C01889,D00233,Sri Ganganagar,19.9
BH000498,C00274,D00794,Siliguri,62.36
BH000499,C00479,D00187,Amroha,13.63
BH000500,C00276,D01168,Nanded,40.13
BH000501,C00221,D01202,Mumbai,20.44
BH000502,C00021,D00392,Satna,2.2
BH000503,C00405,D00082,Panvel,40.83
BH000504,C00904,D00272,Pune,73.41
BH000505,C00252,D00282,Barasat,78.33
BH000506,C00748,D00620,Dibrugarh,43.75
BH000507,C00875,D00141,Bareilly,77.59
BH000508,C01249,D01315,Haldia,75.09
BH000509,C00646,D00448,Tinsukia,89.86
BH000510,C00117,D00163,Nagaon,27.8
BH000511,C00759,D00016,Silchar,5.61
BH000512,C01929,D00980,Morbi,91.02
BH000513,C01505,D00664,Durg,81.61
BH000514,C00350,D00086,Sambalpur,2.9
BH000515,C00555,D00345,Kota,91.79
BH000516,C01623,D00286,Alwar,4.67
BH000517,C01107,D00318,Chandrapur,45.85
BH000518,C01939,D00986,Bardhaman,80.95
BH000519,C01633,D01172,Aligarh,9.09
BH000520,C01470,D00033,Loni,95.76
BH000521,C01356,D00047,Allahabad,29.27
BH000522,C01805,D01302,Nagaon,5.85
BH000523,C01668,D00124,Gurgaon,41.36
BH000524,C01703,D01214,Loni,66.06
BH000525,C01120,D00799,Jhansi,72.96
BH000526,C01963,D00158,Hyderabad,83.17
BH000527,C00976,D00075,Pondicherry,32.11
BH000528,C00534,D00833,Sasaram,10.59
BH000529,C01612,D01181,Rampur,93.57
BH000530,C00375,D01208,Bulandshahr,5.0
BH000531,C00737,D00493,Saharsa,53.68
BH000532,C01886,D00370,Kolkata,15.41
BH000533,C01388,D00267,Ranchi,62.89
BH000534,C00696,D00886,Singrauli,17.99
BH000535,C00649,D00711,Hazaribagh,80.27
BH000536,C01198,D01245,Ballia,38.53
BH000537,C01553,D00060,Pune,28.17
BH000538,C00522,D01279,Dehradun,94.72
BH000539,C00995,D01367,Jhansi,62.72
BH000540,C00925,D00325,Bhilwara,79.44
BH000541,C00205,D01323,Madhyamgram,8.45
BH000542,C00097,D00272,Sangli-Miraj & Kupwad,53.09
BH000543,C01979,D00674,Raebareli,23.57
BH000544,C00710,D00190,Bardhaman,80.73
BH000545,C01522,D00259,Shimoga,66.96
BH000546,C01825,D00545,Danapur,45.44
BH000547,C00102,D00048,Nagercoil,29.13
BH000548,C00074,D00228,Kavali,59.83
BH000549,C00722,D00801,Gandhinagar,58.78
BH000550,C01269,D01151,Vasai-Virar,69.44
BH000551,C00365,D00049,Kottayam,31.83
BH000552,C01815,D01133,Khandwa,49.4
BH000553,C00354,D01499,Rampur,14.21
BH000554,C01009,D00016,Jamshedpur,74.84
BH000555,C00512,D00896,Sangli-Miraj & Kupwad,55.76
BH000556,C00373,D00615,Tiruvottiyur,2.15
BH000557,C01756,D00210,Morena,14.97
BH000558,C00232,D01462,Moradabad,17.61
BH000559,C01391,D01326,Howrah,68.51
BH000560,C00534,D00833,Sonipat,85.0
BH000561,C00394,D00444,Motihari,74.0
BH000562,C00004,D01294,Alappuzha,53.96
BH000563,C00401,D01098,Agartala,97.62
BH000564,C00603,D00572,Burhanpur,44.28
BH000565,C01854,D01435,Medininagar,30.47
BH000566,C01722,D01187,Udaipur,50.86
BH000567,C01189,D00044,Ongole,1.17
BH000568,C00952,D00007,Pondicherry,80.44
BH000569,C00022,D01268,Anand,61.38
BH000570,C00774,D00791,Chandrapur,68.44
BH000571,C00147,D01119,Muzaffarpur,18.95
BH000572,C01397,D00917,Aurangabad,49.68
BH000573,C01278,D00337,Ujjain,90.38
BH000574,C00814,D00491,Baranagar,63.47
BH000575,C00429,D00499,Rajpur Sonarpur,94.76
BH000576,C01225,D01464,Madhyamgram,31.65
BH000577,C00478,D00962,Nangloi Jat,18.5
BH000578,C01887,D00740,Gulbarga,47.42
BH000579,C01628,D01265,Allahabad,16.0
BH000580,C00735,D00482,Medininagar,15.36
BH000581,C00857,D00154,Nagpur,88.58
BH000582,C00716,D01172,Fatehpur,8.37
BH000583,C01658,D00391,Ghaziabad,2.78
BH000584,C00756,D00273,Ajmer,72.51
BH000585,C00323,D00918,Satna,59.25
BH000586,C00240,D00143,Tiruvottiyur,32.26
BH000587,C01771,D00352,Tumkur,21.84
BH000588,C00311,D01440,Patiala,31.58
BH000589,C01362,D00301,Salem,23.26
BH000590,C00501,D00941,Panihati,66.84
BH000591,C01664,D00289,Sambalpur,64.58
BH000592,C00353,D00240,Nizamabad,72.27
BH000593,C01361,D01017,Kota,4.27
BH000594,C00773,D01035,Ratlam,33.52
BH000595,C00531,D00187,Bhilwara,51.44
BH000596,C01324,D01052,Silchar,9.71
BH000597,C00420,D01017,Kollam,22.3
