entity_id,entity_name,sanction_source,risk_level
S0112,Prasad-Sura,PEP,Medium
S0113,Gera Ltd,Internal,High
S0114,"Murthy, Varkey and Mani",UN,High
S0115,Dhar-Suri,EU,Medium
S0116,Ahluwalia Inc,PEP,High
S0117,Sarma-Sodhi,Internal,High
S0118,Nath Inc,OFAC,Medium
S0119,"Bumb, Morar and Nayak",Internal,Medium
S0120,Morar-Shukla,Internal,Medium
S0121,Dugal-Mahal,OFAC,Medium
S0122,"Sagar, Kaur and Aggarwal",EU,High
S0123,Bhattacharyya LLC,PEP,Medium
S0124,"Prakash, Narula and Dixit",EU,High
S0125,"Chaudhuri, Anne and Ghose",PEP,Medium
S0126,Hari and Sons,PEP,High
S0127,Tank Group,OFAC,Medium
S0128,Deep Inc,Internal,Medium
S0129,Sarna Ltd,OFAC,High
S0130,Sanghvi LLC,OFAC,High
S0131,"Swaminathan, Agrawal and Bail",PEP,Medium
S0132,"Dey, Krish and Srivastava",PEP,High
S0133,Wali-Buch,EU,High
S0134,"Nagi, Sagar and Joshi",EU,Medium
S0135,"Agate, Chopra and Kannan",EU,High
S0136,Sani Ltd,OFAC,High
S0137,"Ghose, Bali and Arya",PEP,High
S0138,Sundaram-Sant,UN,Medium
S0139,Chanda Ltd,Internal,High
S0140,Pradhan-Minhas,PEP,High
S0141,Seshadri-Chhabra,UN,High
S0142,Oak Group,OFAC,High
S0143,"Ramanathan, Sarkar and Handa",EU,Medium
S0144,"Balay, Bhargava and Patla",EU,High
S0145,"Ben, Ram and Chaudhari",OFAC,Medium
S0146,Seth and Sons,PEP,High
S0147,"Din, Uppal and Murty",Internal,High
S0148,"Sami, Choudhry and Kakar",UN,High
S0149,Raghavan Inc,UN,High
S0150,Edwin Group,PEP,High
S0151,"Narain, Mital and Vora",EU,High
S0152,Kulkarni-Kar,EU,Medium
S0153,Johal-Wable,UN,High
S0154,Kurian Ltd,OFAC,Medium
S0155,Bail Ltd,UN,High
S0156,"Nagy, Kulkarni and Jani",Internal,High
S0157,Ramesh-Kaur,Internal,Medium
S0158,Dora-Vala,PEP,Medium
S0159,Baria Group,UN,Medium
S0160,Sengupta LLC,OFAC,High
S0161,Purohit Inc,EU,Medium
S0162,Dada LLC,EU,High
S0163,Rau-Sood,PEP,Medium
S0164,Chaudhary-Mukhopadhyay,PEP,Medium
S0165,Dass LLC,EU,Medium
S0166,"Baral, Patil and Peri",EU,Medium
S0167,"Chanda, Parmer and Gupta",PEP,Medium
S0168,"Chowdhury, Muni and Mani",UN,Medium
S0169,"Chad, Talwar and Garg",EU,Medium
S0170,Hans and Sons,PEP,Medium
S0171,"Ahluwalia, Wali and Dutt",UN,Medium
S0172,Bose-Mutti,UN,High
S0173,"Nazareth, Nanda and Doshi",UN,Medium
S0174,Sabharwal-Zachariah,OFAC,High
S0175,Wali and Sons,UN,Medium
S0176,Chokshi-Pai,Internal,High
S0177,Shetty Ltd,PEP,High
S0178,"Pant, Sha and Pai",Internal,Medium
S0179,Bal-Shenoy,PEP,Medium
S0180,"Shankar, Mangat and Krish",Internal,High
S0181,"Narain, Peri and Chana",Internal,High
S0182,Pau and Sons,EU,High
S0183,"Saxena, Lal and Mishra",EU,High
S0184,Doctor Group,EU,High
S0185,Dixit Ltd,UN,High
S0186,Nazareth Inc,Internal,High
S0187,Majumdar LLC,OFAC,Medium
S0188,"Dutt, Venkataraman and Mishra",EU,Medium
S0189,"Nigam, Bir and Mukherjee",Internal,Medium
S0190,"Tak, Boase and Shenoy",OFAC,High
S0191,"Kashyap, Bala and Bose",Internal,High
S0192,Krishnan and Sons,OFAC,Medium
S0193,Kaul-Sharma,EU,Medium
S0194,"Chakrabarti, Salvi and Saini",PEP,High
S0195,Nath Inc,Internal,Medium
S0196,"Barad, Sandal and Garde",PEP,High
S0197,Koshy-Sha,PEP,High
S0198,Rajagopal-Mall,OFAC,Medium
S0199,"Gola, Modi and Kant",OFAC,High
S0200,Bava Group,Internal,Medium
S0201,Bhakta-Naik,EU,High
S0202,"Palla, Dave and Narain",UN,Medium
S0203,Balan-Wagle,EU,Medium
S0204,Raju-Bhardwaj,EU,High
S0205,Nanda PLC,OFAC,High
S0206,Parikh LLC,PEP,Medium
S0207,"Grewal, Koshy and Pradhan",PEP,Medium
S0208,Deep-Wadhwa,PEP,High
S0209,Comar-Koshy,Internal,High
S0210,Ahuja-Choudhury,EU,Medium
S0211,Bal-Thakkar,Internal,High
S0212,Bhargava Ltd,UN,High
S0213,"Suresh, Ganesan and Suri",OFAC,Medium
S0214,Khare-Arya,EU,Medium
S0215,"Sur, Dani and Pillay",OFAC,Medium
S0216,Khanna and Sons,Internal,High
S0217,"Om, Konda and Parekh",UN,Medium
S0218,"Subramanian, Date and Rana",UN,Medium
S0219,"Sridhar, Sarin and Malhotra",UN,Medium
S0220,Tank-Ravi,PEP,Medium
S0221,Arora PLC,EU,Medium
S0222,"Lala, Dutta and Dugar",OFAC,High
S0223,"Barad, Majumdar and Lata",Internal,High
S0224,Purohit-Banik,PEP,High
S0225,Bala-Tiwari,PEP,Medium
S0226,"Das, Dave and Brar",EU,Medium
S0227,Vohra LLC,OFAC,High
S0228,Gopal-Samra,EU,Medium
S0229,Brar-Badami,PEP,High
S0230,Subramanian-Badal,PEP,Medium
S0231,"Sodhi, Char and Borra",UN,High
S0232,Srivastava-Swaminathan,PEP,Medium
S0233,"Boase, Bandi and Wason",UN,High
S0234,"Raj, Vaidya and Dash",OFAC,High
S0235,Deo Ltd,PEP,Medium
S0236,"Muni, Bhatti and Sant",Internal,High
S0237,Aurora-Wadhwa,OFAC,Medium
S0238,Chandran Ltd,Internal,Medium
S0239,"Balakrishnan, Radhakrishnan and Tandon",EU,Medium
S0240,Prashad-Seshadri,UN,Medium
S0241,Suri Group,Internal,Medium
S0242,Mane-Chhabra,OFAC,High
S0243,Nazareth-Bhatia,PEP,High
S0244,"Deep, Dash and Thaker",OFAC,High
S0245,Jayaraman PLC,OFAC,Medium
S0246,Hans-Tak,UN,High
S0247,"Wali, Dhaliwal and Lala",UN,Medium
S0248,"Bera, Chander and Dada",EU,Medium
S0249,"Roy, Nagy and Srivastava",UN,High
S0250,Memon Ltd,Internal,Medium
S0251,"Sethi, Sampath and Walla",PEP,Medium
S0252,"Sagar, Pingle and Mannan",Internal,Medium
S0253,Agrawal-Sami,PEP,Medium
S0254,Thaman Group,Internal,Medium
S0255,Balakrishnan-Din,Internal,Medium
S0256,Bal-Pathak,EU,High
S0257,Majumdar and Sons,OFAC,High
S0258,Sem-Taneja,UN,Medium
S0259,Bhatnagar-Ram,OFAC,High
S0260,Gandhi PLC,UN,Medium
S0261,"Kamdar, Ramachandran and Thakur",Internal,High
S0262,Kumar-Mukherjee,PEP,High
S0263,Walia PLC,PEP,Medium
S0264,"Agate, Sachdeva and Menon",Internal,Medium
S0265,Manne LLC,EU,Medium
S0266,"Som, Bawa and Bobal",EU,Medium
S0267,Kala-Munshi,UN,High
S0268,"Pillay, Ganesan and Patla",UN,High
S0269,Dua Ltd,OFAC,High
S0270,Krishna-Nanda,OFAC,High
S0271,Walia and Sons,Internal,Medium
S0272,Vala Group,Internal,Medium
S0273,"Golla, Murthy and Menon",EU,High
S0274,Jaggi PLC,Internal,Medium
S0275,Butala Group,EU,High
S0276,Dhar Inc,UN,High
S0277,Morar PLC,UN,High
S0278,Pau-Patil,PEP,High
S0279,Mallick-Palan,PEP,High
S0280,"Master, Anne and Anne",OFAC,High
S0281,Lata-Sankaran,OFAC,High
S0282,Joshi LLC,OFAC,High
S0283,Yadav-Ramachandran,Internal,High
S0284,Rau-Varma,Internal,High
S0285,"Kant, Loyal and Narayanan",EU,High
S0286,"Mall, Shanker and Chandra",EU,Medium
S0287,Aurora PLC,Internal,Medium
S0288,"Bains, Chhabra and Badami",UN,Medium
S0289,Das and Sons,EU,Medium
S0290,Date PLC,EU,Medium
S0291,"Chaudry, Hegde and Sanghvi",Internal,Medium
S0292,"Prabhu, Dada and Ram",OFAC,High
S0293,Nadig Inc,PEP,Medium
S0294,"Shukla, Sastry and Cherian",EU,Medium
S0295,Yohannan-Mand,PEP,Medium
S0296,"Raval, Mallick and Gill",Internal,High
S0297,Rajagopalan LLC,OFAC,Medium
S0298,"Warrior, Sankar and Narayan",OFAC,High
S0299,"Deep, Chand and Sem",UN,Medium
S0300,Ramanathan Inc,EU,Medium
