transaction_id,customer_id,device_id,merchant_id,receiver_account,transaction_amount,transaction_timestamp,fraud_flag
T0000056,C01889,D00145,M0005,B002501,382.42,2025-06-18 09:22:02,0
T0000057,C00941,D00788,M0093,B000558,13.9,2025-09-30 03:04:42,0
T0000058,C00229,D00071,M0052,B002183,32.72,2025-09-23 17:33:28,1
T0000059,C00142,D01430,M0004,B001458,6.94,2026-04-06 11:26:22,0
T0000060,C01391,D00173,M0079,B000328,59.03,2025-09-27 14:52:50,0
T0000061,C00742,D00306,M0096,B002726,73.82,2025-07-03 18:57:42,0
T0000062,C01071,D00792,M0035,B000291,47.48,2026-05-01 21:52:00,0
T0000063,C01169,D00581,M0042,B002203,264.68,2026-05-03 19:53:46,0
T0000064,C01461,D00667,M0076,B002954,66.18,2025-08-25 03:37:38,0
T0000065,C00480,D01092,M0099,B000336,49.47,2025-09-02 10:34:36,0
T0000066,C00615,D01073,M0032,B000776,117.36,2025-08-03 21:00:27,0
T0000067,C01896,D00672,M0051,B001435,22.78,2026-05-06 14:42:55,0
T0000068,C01974,D00150,M0034,B002708,243.07,2026-02-05 03:17:28,0
T0000069,C00469,D00855,M0078,B000430,11.62,2025-11-18 21:12:52,0
T0000070,C00393,D01132,M0009,B001729,650.12,2025-12-21 06:45:02,0
T0000071,C01803,D00949,M0026,B001077,221.92,2026-03-10 20:03:28,0
T0000072,C01893,D00863,M0076,B001028,33.23,2026-05-09 10:54:03,0
T0000073,C01994,D00136,M0007,B000736,0.83,2026-03-14 01:06:59,0
T0000074,C01081,D01086,M0043,B002480,253.48,2025-08-01 13:51:14,0
T0000075,C01036,D01104,M0086,B001937,184.06,2025-08-18 11:14:13,0
T0000076,C00977,D00024,M0006,B001718,195.85,2026-01-10 05:18:14,0
T0000077,C01278,D00061,M0097,B000430,221.28,2026-05-11 09:22:47,0
T0000078,C01836,D00085,M0091,B001171,11.54,2025-08-18 12:56:51,0
T0000079,C00973,D00904,M0058,B000343,66.58,2025-10-22 18:16:53,0
T0000080,C01043,D00279,M0062,B001890,18.47,2025-08-16 21:39:20,0
T0000081,C01892,D00809,M0099,B001626,298.28,2025-07-18 12:41:06,1
T0000082,C01307,D00972,M0086,B002262,146.45,2026-02-06 07:04:57,0
T0000083,C00391,D01237,M0037,B001529,60.27,2025-11-20 03:04:13,0
T0000084,C01542,D01267,M0040,B001911,9.85,2026-03-03 03:17:06,0
T0000085,C00169,D00999,M0020,B001318,55.87,2025-07-13 07:06:58,0
T0000086,C00969,D00474,M0045,B002294,59.0,2026-05-02 17:52:18,0
T0000087,C01673,D00260,M0080,B001643,196.18,2025-08-03 19:19:36,0
T0000088,C01157,D01035,M0076,B001506,152.23,2025-09-23 14:41:23,0
T0000089,C00307,D00030,M0031,B001073,327.34,2025-10-09 21:32:28,0
T0000090,C01673,D00260,M0053,B001137,95.86,2026-03-08 08:58:06,0
T0000091,C00081,D00049,M0073,B001646,19.11,2026-04-27 14:04:06,0
T0000092,C01596,D01306,M0043,B000978,187.37,2025-09-22 22:36:57,0
T0000093,C01423,D00374,M0029,B000826,214.56,2025-11-23 00:57:55,0
T0000094,C00465,D01302,M0020,B002628,123.58,2026-05-09 22:36:07,0
T0000095,C00733,D00927,M0065,B002368,221.08,2025-11-05 23:10:31,0
T0000096,C01641,D00583,M0042,B001614,102.12,2026-05-15 22:37:30,0
T0000097,C00426,D00134,M0099,B001837,110.95,2026-06-06 23:50:35,0
T0000098,C00180,D01485,M0069,B000088,83.67,2026-02-21 22:17:37,0
T0000099,C01911,D00908,M0022,B001926,3.86,2026-02-07 10:30:01,0
T0000100,C01531,D01470,M0002,B000369,17.13,2026-06-05 14:58:10,0
T0000101,C01041,D01076,M0040,B001664,4.79,2025-10-14 05:58:04,0
T0000102,C01422,D00550,M0051,B002378,151.76,2026-03-10 02:02:33,0
T0000103,C01993,D01096,M0053,B002846,56.61,2025-09-25 02:12:14,0
T0000104,C00708,D00169,M0038,B003000,106.57,2026-04-28 11:01:57,0
T0000105,C01913,D00654,M0074,B000349,357.19,2026-01-04 15:09:08,0
T0000106,C00239,D00846,M0042,B001510,43.01,2025-12-14 15:48:19,0
T0000107,C01200,D00316,M0060,B000300,79.24,2026-05-09 03:43:29,0
T0000108,C01771,D00352,M0037,B000477,211.31,2026-03-04 20:12:32,0
T0000109,C00280,D01327,M0086,B000102,38.97,2025-10-20 09:29:49,0
T0000110,C00100,D00922,M0060,B000183,12.02,2026-03-26 19:29:44,0
T0000111,C01546,D01126,M0038,B000081,51.32,2025-07-11 17:37:15,0
T0000112,C01146,D00185,M0042,B000480,26.37,2026-01-19 19:49:52,0
T0000113,C00020,D00504,M0017,B000829,398.24,2025-09-23 10:18:51,0
T0000114,C01967,D01498,M0029,B001307,247.63,2025-07-13 06:01:14,0
T0000115,C00559,D00778,M0037,B000423,150.52,2026-05-04 00:08:26,0
T0000116,C00147,D00642,M0045,B002611,307.73,2025-07-18 04:09:54,0
T0000117,C00215,D00303,M0095,B001148,244.2,2025-11-03 22:54:15,0
T0000118,C00837,D01059,M0024,B002807,30.97,2025-12-08 15:45:14,0
T0000119,C01882,D00535,M0025,B001860,334.62,2026-04-22 01:14:53,0
T0000120,C01953,D01135,M0068,B001611,116.26,2026-04-16 06:14:16,1
T0000121,C00594,D00504,M0046,B001474,247.1,2026-03-14 09:42:00,0
T0000122,C01343,D00029,M0086,B000668,339.64,2025-06-14 21:53:37,0
T0000123,C01644,D00691,M0076,B002772,57.41,2026-04-21 21:28:53,0
T0000124,C00713,D00067,M0031,B001380,17.49,2026-03-14 11:17:46,0
T0000125,C01933,D00162,M0035,B002304,38.8,2025-08-16 12:20:54,0
T0000126,C01166,D01410,M0080,B001380,83.56,2025-12-01 07:46:54,0
T0000127,C01761,D00478,M0076,B001478,255.57,2025-06-24 08:17:51,0
T0000128,C01163,D00686,M0010,B000606,295.7,2025-09-15 15:38:43,0
T0000129,C00010,D00043,M0070,B002691,1.05,2025-08-21 09:44:31,0
T0000130,C01365,D00173,M0096,B001596,107.23,2026-03-22 14:21:43,1
T0000131,C01301,D01487,M0009,B000660,81.04,2025-06-23 09:55:37,0
T0000132,C00290,D01149,M0053,B000026,37.68,2026-04-05 02:14:01,1
T0000133,C01109,D01389,M0006,B001449,19.15,2025-12-01 23:42:14,0
T0000134,C01839,D00912,M0039,B002258,61.79,2025-06-28 22:49:33,0
T0000135,C00360,D01467,M0091,B001357,429.47,2025-07-20 06:19:58,0
T0000136,C01060,D00900,M0008,B000749,58.56,2025-06-19 16:30:46,0
T0000137,C01952,D00099,M0013,B001091,109.72,2026-05-23 15:47:13,0
T0000138,C00943,D00549,M0077,B000370,182.11,2026-03-14 19:51:19,0
T0000139,C01500,D01310,M0083,B002859,67.8,2026-03-08 06:56:41,0
T0000140,C00843,D00175,M0033,B000038,535.17,2025-07-10 20:33:19,0
T0000141,C01392,D00926,M0068,B000985,492.3,2025-09-15 18:15:03,0
T0000142,C01973,D01404,M0074,B002301,43.51,2026-02-09 04:50:46,0
T0000143,C01366,D00370,M0007,B000985,103.15,2026-02-28 13:30:34,0
T0000144,C00623,D00442,M0026,B000164,53.69,2025-12-30 14:53:08,0
T0000145,C01429,D01400,M0060,B001830,50.29,2025-07-14 22:52:04,0
T0000146,C01793,D00972,M0070,B001483,5.64,2025-06-15 20:34:14,0
T0000147,C00323,D00004,M0030,B001258,141.07,2026-03-31 16:31:12,0
T0000148,C00320,D00548,M0044,B000661,104.78,2025-12-11 20:31:56,0
T0000149,C00120,D01447,M0027,B000853,7.93,2026-03-11 19:48:58,0
T0000150,C00933,D00621,M0030,B002786,48.99,2025-09-11 12:20:54,0
T0000151,C01755,D00783,M0062,B001720,358.33,2026-02-21 12:53:00,0
T0000152,C00745,D00987,M0042,B000231,41.08,2026-04-06 06:19:26,0
T0000153,C01515,D00600,M0089,B000349,23.48,2025-06-18 16:45:11,0
T0000154,C00339,D00282,M0006,B002028,100.84,2025-06-29 09:18:32,0
T0000155,C01668,D01014,M0035,B000081,636.61,2025-09-19 08:18:04,0
T0000156,C00444,D01364,M0070,B002691,41.57,2026-01-29 10:38:34,1
T0000157,C00110,D00678,M0006,B000989,167.27,2025-12-17 18:38:06,0
T0000158,C01360,D00126,M0062,B000225,215.08,2025-11-03 05:03:12,0
T0000159,C01797,D00826,M0048,B002732,40.7,2025-07-14 04:18:48,0
T0000160,C00671,D01378,M0060,B001440,195.41,2026-05-25 22:09:09,0
T0000161,C00901,D01416,M0089,B001916,68.78,2026-02-25 18:44:18,0
T0000162,C00891,D00122,M0064,B000580,150.08,2025-11-09 11:57:05,0
T0000163,C01012,D01402,M0047,B002860,150.58,2025-06-11 17:16:53,0
T0000164,C00268,D00805,M0018,B001279,115.11,2025-11-29 06:14:16,0
T0000165,C01758,D00994,M0050,B000709,14.19,2025-11-24 02:44:18,0
T0000166,C00119,D01451,M0036,B002086,270.55,2026-02-20 03:28:36,0
T0000167,C01248,D00856,M0096,B002823,58.02,2026-01-08 04:30:39,0
T0000168,C00045,D00109,M0058,B001870,30.96,2025-12-31 17:29:03,0
T0000169,C01276,D01204,M0076,B001039,6.24,2026-05-30 14:24:55,1
T0000170,C00503,D00255,M0097,B000874,134.07,2025-11-26 20:57:36,0
T0000171,C00470,D00174,M0027,B001385,169.78,2026-05-14 13:05:09,0
T0000172,C00447,D00387,M0060,B001219,2.51,2025-08-26 16:21:27,0
T0000173,C01332,D00098,M0041,B002938,107.64,2025-06-25 03:53:00,0
T0000174,C02000,D01100,M0056,B000586,38.52,2025-09-14 01:48:46,0
T0000175,C00730,D01412,M0080,B002579,155.42,2026-01-13 09:14:20,0
T0000176,C01202,D00436,M0073,B002609,28.74,2026-03-10 08:22:37,0
T0000177,C01003,D00065,M0063,B002623,176.13,2026-04-20 11:47:33,0
T0000178,C01543,D01047,M0086,B000422,73.34,2025-10-24 10:42:33,0
T0000179,C01585,D00747,M0017,B002632,414.05,2026-01-07 09:59:12,0
T0000180,C01935,D00763,M0069,B002912,22.19,2025-10-08 07:43:11,0
T0000181,C00958,D00515,M0004,B000087,62.57,2025-08-12 15:09:05,0
T0000182,C00649,D01274,M0099,B000730,18.07,2026-04-18 09:48:06,0
T0000183,C00724,D01261,M0039,B000178,387.93,2025-06-20 11:48:04,0
T0000184,C01652,D00440,M0078,B001645,314.75,2025-11-27 16:19:53,0
T0000185,C01788,D01069,M0068,B000354,44.75,2025-11-27 08:02:38,0
T0000186,C01246,D01433,M0057,B000668,161.81,2025-07-15 16:41:52,0
T0000187,C01708,D00837,M0094,B000033,254.92,2025-11-04 13:55:30,0
T0000188,C00382,D01203,M0098,B002629,121.52,2026-04-03 20:29:19,0
T0000189,C00832,D01272,M0050,B001069,113.14,2026-06-04 05:08:47,0
T0000190,C00100,D00922,M0052,B000284,41.53,2025-08-02 12:01:41,0
T0000191,C01280,D01368,M0032,B000044,14.66,2026-01-24 19:13:55,0
T0000192,C00684,D01212,M0095,B002260,341.27,2025-06-21 21:29:10,0
T0000193,C01922,D01296,M0011,B001219,346.02,2025-10-08 04:18:42,0
T0000194,C01192,D01421,M0023,B002954,150.4,2025-12-20 05:21:43,0
T0000195,C01018,D00546,M0032,B002501,62.11,2026-02-12 17:35:53,0
T0000196,C00259,D00015,M0018,B001497,64.44,2025-06-22 16:03:13,0
T0000197,C00247,D01321,M0026,B000147,194.17,2025-10-09 18:17:11,0
T0000198,C01763,D00432,M0082,B002309,341.11,2026-02-28 11:20:01,0
T0000199,C00126,D01111,M0027,B001030,327.17,2025-06-18 06:42:01,0
T0000200,C01988,D00587,M0083,B000323,227.03,2025-07-04 14:16:59,0
T0000201,C01340,D00949,M0009,B001619,154.1,2026-05-16 08:12:39,0
T0000202,C01619,D00237,M0094,B001583,13.18,2025-06-21 05:32:13,0
T0000203,C00932,D00134,M0069,B002320,26.44,2025-12-27 23:36:56,0
T0000204,C01925,D01383,M0038,B002796,343.23,2026-04-06 05:59:00,0
T0000205,C00741,D00221,M0013,B002242,139.87,2026-03-07 20:21:03,0
T0000206,C00305,D00247,M0074,B001816,1.39,2025-10-26 13:34:39,1
T0000207,C01189,D00044,M0084,B000424,16.05,2025-09-10 18:00:41,0
T0000208,C01734,D00637,M0058,B001140,163.37,2025-11-09 05:26:23,0
T0000209,C01840,D00871,M0072,B001978,0.76,2025-09-23 15:19:49,0
T0000210,C01713,D00565,M0025,B002581,26.3,2025-10-17 23:09:47,0
T0000211,C00838,D00928,M0030,B001211,119.35,2025-10-02 22:43:47,0
T0000212,C01544,D01347,M0060,B002663,176.6,2025-11-08 02:53:07,1
T0000213,C01702,D00918,M0033,B001805,158.32,2026-01-29 15:54:24,0
T0000214,C01494,D00624,M0069,B002122,38.09,2025-11-26 06:58:58,0
T0000215,C00618,D00151,M0062,B000662,186.81,2026-02-07 00:34:33,0
T0000216,C00776,D01473,M0007,B002503,40.62,2026-03-29 09:03:41,0
T0000217,C00868,D01127,M0058,B000519,59.05,2025-11-09 18:26:10,0
T0000218,C01210,D00541,M0033,B002991,205.85,2026-03-27 04:30:37,0
T0000219,C01848,D00974,M0076,B000504,157.32,2025-08-15 01:26:14,0
T0000220,C00079,D00347,M0009,B001218,283.79,2026-03-12 21:19:51,0
T0000221,C01501,D01326,M0054,B002281,160.77,2026-01-30 06:51:32,0
T0000222,C00428,D00822,M0063,B000819,126.01,2026-05-12 15:04:44,0
T0000223,C00211,D00535,M0043,B002126,14.75,2025-10-23 18:24:18,0
T0000224,C00911,D01426,M0059,B000759,68.76,2025-12-21 13:19:12,0
T0000225,C00489,D00869,M0059,B001058,46.22,2026-02-28 13:50:35,0
T0000226,C00258,D00428,M0066,B001718,41.96,2025-06-16 16:16:20,0
T0000227,C01719,D00873,M0100,B001362,541.85,2025-08-28 14:49:13,0
T0000228,C00453,D01045,M0058,B000240,74.91,2026-02-12 16:53:35,0
T0000229,C00536,D00340,M0067,B000031,333.91,2025-09-16 10:05:02,0
T0000230,C00522,D01474,M0002,B000900,149.6,2025-12-04 15:11:59,0
T0000231,C00696,D00316,M0043,B002918,237.57,2025-09-05 10:01:35,0
T0000232,C00288,D00801,M0081,B000338,104.77,2026-04-08 19:34:09,0
T0000233,C01368,D00672,M0040,B000185,129.02,2026-03-03 01:55:07,1
T0000234,C00026,D00964,M0007,B001152,101.74,2026-02-03 03:59:06,0
T0000235,C00385,D00999,M0027,B002233,32.58,2025-07-23 05:58:39,0
T0000236,C01133,D01063,M0005,B000861,192.26,2026-03-09 15:16:44,0
T0000237,C01626,D00215,M0053,B001286,49.44,2026-02-09 08:05:59,0
T0000238,C00492,D00390,M0082,B001702,3.69,2026-05-25 23:05:28,0
T0000239,C01548,D00248,M0094,B001388,155.55,2026-01-13 05:26:11,0
T0000240,C01276,D01204,M0070,B002482,29.24,2025-12-01 08:34:45,0
T0000241,C01423,D01073,M0091,B000468,423.16,2026-05-05 15:22:48,0
T0000242,C01318,D00957,M0032,B001292,461.63,2025-12-17 14:20:54,0
T0000243,C01426,D01253,M0063,B002040,369.53,2026-02-05 11:00:07,0
T0000244,C01748,D00524,M0012,B000640,69.34,2025-07-22 00:59:15,0
T0000245,C01032,D01435,M0032,B001716,2.34,2026-02-06 03:09:17,0
T0000246,C01667,D00982,M0078,B002098,395.33,2025-10-06 02:50:02,0
T0000247,C00168,D00887,M0066,B002997,83.84,2026-04-24 09:12:04,0
T0000248,C00353,D01002,M0097,B001903,510.13,2025-06-28 10:57:47,0
T0000249,C00730,D00582,M0010,B002732,497.06,2025-11-23 00:11:52,0
T0000250,C01894,D00842,M0035,B001756,287.61,2026-01-26 20:36:29,0
T0000251,C01012,D01402,M0055,B000744,52.32,2025-07-29 12:48:21,0
T0000252,C00989,D00240,M0029,B000072,72.94,2025-08-31 06:10:33,0
T0000253,C00714,D00597,M0047,B001017,285.71,2026-04-28 13:15:49,0
T0000254,C00847,D01134,M0086,B000886,57.17,2026-01-22 17:35:14,0
T0000255,C01231,D01239,M0089,B001355,27.86,2025-06-19 13:54:42,0
T0000256,C01090,D01463,M0077,B000876,122.06,2026-01-17 13:49:25,0
T0000257,C01685,D00760,M0055,B000149,412.69,2025-07-19 16:10:40,0
T0000258,C00917,D00776,M0056,B001492,178.62,2025-07-11 07:45:20,0
T0000259,C00172,D01245,M0030,B002246,126.62,2026-01-17 03:43:34,0
T0000260,C01585,D00276,M0075,B001280,15.33,2026-05-22 12:32:08,0
T0000261,C01728,D00162,M0020,B000839,143.18,2026-04-10 22:21:50,0
T0000262,C00762,D00304,M0083,B000414,691.59,2025-07-21 07:29:20,0
T0000263,C01220,D01367,M0082,B000874,22.64,2025-09-17 22:37:50,0
T0000264,C01336,D00485,M0011,B002127,109.57,2025-09-24 19:19:35,0
T0000265,C01558,D01347,M0066,B000559,314.79,2025-12-26 05:23:27,0
T0000266,C00864,D00652,M0058,B001080,202.51,2026-04-14 18:59:59,0
T0000267,C01074,D00083,M0001,B001845,179.11,2026-03-02 22:56:44,0
T0000268,C00937,D00329,M0033,B000398,181.84,2025-08-28 11:17:18,0
T0000269,C00515,D00112,M0078,B000587,66.82,2025-08-06 23:11:26,0
T0000270,C01021,D00928,M0092,B001913,52.13,2025-11-09 05:43:06,0
T0000271,C00234,D00311,M0060,B002341,248.61,2026-05-05 04:56:36,0
T0000272,C00550,D01040,M0009,B001114,249.2,2025-11-09 01:17:27,1
T0000273,C01194,D00037,M0078,B002941,302.69,2025-12-14 13:20:47,0
T0000274,C01095,D01164,M0062,B000498,366.69,2025-11-05 21:58:43,0
T0000275,C00592,D01482,M0057,B001276,107.41,2026-01-31 06:20:40,0
T0000276,C00636,D00109,M0022,B000336,104.43,2025-08-10 20:58:44,0
T0000277,C01073,D00644,M0100,B002054,240.14,2026-05-15 13:55:38,0
T0000278,C01862,D00561,M0007,B000123,157.46,2025-09-06 21:14:25,0
T0000279,C01523,D01243,M0012,B002800,181.58,2025-08-14 18:17:28,0
T0000280,C01140,D00420,M0075,B002822,238.29,2026-05-08 03:09:52,0
T0000281,C01903,D00601,M0016,B000150,331.1,2025-11-15 22:18:52,0
T0000282,C01821,D01311,M0084,B001470,61.87,2026-05-28 07:45:27,0
T0000283,C01167,D00968,M0030,B001640,70.64,2025-10-20 11:59:46,0
T0000284,C00206,D01054,M0056,B000668,14.8,2025-10-01 15:42:14,1
T0000285,C00896,D00552,M0100,B001100,129.51,2026-01-06 19:38:49,0
T0000286,C00265,D00796,M0003,B002815,5.49,2025-08-04 19:14:04,0
T0000287,C01992,D00110,M0050,B002748,93.99,2026-05-06 08:54:52,1
T0000288,C00555,D01400,M0047,B002164,117.34,2026-05-12 18:29:10,0
T0000289,C01165,D01224,M0051,B002060,50.64,2025-09-02 07:54:03,0
T0000290,C01942,D01184,M0098,B001715,134.04,2025-06-15 02:49:28,0
T0000291,C01948,D01083,M0031,B000240,4.65,2025-06-17 08:23:16,0
T0000292,C00577,D00513,M0083,B001435,5.71,2026-03-11 11:54:28,0
T0000293,C00419,D01153,M0019,B000559,259.4,2025-06-20 06:33:29,0
T0000294,C00463,D00461,M0027,B001108,66.99,2025-09-21 09:12:18,0
T0000295,C00782,D00473,M0069,B002123,20.38,2025-08-06 20:42:23,0
T0000296,C00972,D00149,M0056,B001923,110.8,2026-03-04 04:47:05,0
T0000297,C00332,D01310,M0039,B002038,220.45,2025-12-12 05:39:37,0
T0000298,C01032,D01435,M0033,B000216,36.47,2025-11-30 12:20:38,0
T0000299,C00844,D01218,M0066,B002349,146.28,2025-09-29 02:26:23,0
T0000300,C00502,D00522,M0093,B002582,13.38,2026-04-28 08:38:42,0
T0000301,C00091,D00780,M0071,B001732,7.96,2026-04-17 08:50:29,0
T0000302,C01881,D00671,M0043,B001801,113.69,2025-12-30 22:44:14,0
T0000303,C00473,D01097,M0044,B002532,116.69,2025-07-28 13:16:14,0
T0000304,C01637,D00933,M0051,B000169,152.18,2025-11-20 21:45:47,0
T0000305,C01910,D00868,M0017,B002338,194.24,2026-06-07 10:39:25,0
T0000306,C00775,D00891,M0089,B000242,558.53,2026-05-23 03:35:34,0
T0000307,C01516,D00307,M0057,B002591,108.94,2025-08-20 07:33:03,0
T0000308,C01801,D01229,M0069,B000776,58.5,2025-08-05 02:20:51,0
T0000309,C00409,D00988,M0058,B000036,237.85,2025-08-23 13:22:46,0
T0000310,C00163,D00406,M0070,B000297,47.38,2026-06-04 06:03:15,0
T0000311,C00044,D00044,M0089,B001652,86.7,2025-10-10 12:45:27,0
T0000312,C00301,D00764,M0042,B001695,12.26,2025-08-14 02:27:04,0
T0000313,C00774,D01210,M0096,B000906,3.85,2026-03-31 00:15:49,0
T0000314,C01543,D01047,M0097,B002892,493.11,2026-05-09 04:49:49,0
T0000315,C00233,D00131,M0018,B000586,271.17,2025-09-19 18:48:56,0
T0000316,C01812,D00091,M0097,B000239,178.6,2025-11-19 14:50:48,0
T0000317,C00375,D01269,M0074,B000026,78.88,2025-06-25 04:42:39,0
T0000318,C01125,D00756,M0058,B001238,28.55,2025-06-20 06:09:43,0
T0000319,C01153,D00830,M0012,B000189,25.52,2025-10-11 04:47:11,0
T0000320,C00358,D00463,M0073,B001833,43.2,2025-10-19 11:31:49,0
T0000321,C01663,D00320,M0095,B002580,119.52,2025-06-28 00:04:26,0
T0000322,C00711,D00106,M0076,B000240,188.08,2026-04-27 11:32:45,0
T0000323,C01706,D00173,M0004,B002536,161.91,2025-07-28 19:54:15,0
T0000324,C00140,D00914,M0042,B000060,49.26,2025-10-26 18:40:04,0
T0000325,C01810,D01190,M0071,B002923,464.72,2026-04-19 15:29:02,1
T0000326,C01821,D00580,M0091,B001900,200.85,2025-08-22 11:13:50,0
T0000327,C00608,D00138,M0078,B000332,121.23,2025-06-15 09:38:11,0
T0000328,C00319,D01454,M0096,B001686,141.9,2026-04-24 05:10:45,0
T0000329,C00640,D00982,M0072,B000606,81.61,2025-09-21 00:41:45,0
T0000330,C00460,D00657,M0092,B000057,42.7,2026-03-12 00:02:52,0
T0000331,C01404,D01090,M0031,B002303,66.0,2026-02-28 05:25:50,0
T0000332,C01880,D00640,M0052,B000814,212.73,2025-07-09 09:44:36,0
T0000333,C00144,D00654,M0087,B000256,2.17,2026-05-03 07:53:44,0
T0000334,C00848,D00698,M0054,B001495,18.51,2025-10-23 12:43:07,0
T0000335,C00179,D00578,M0015,B002196,7.06,2025-10-10 10:10:54,0
T0000336,C01322,D00001,M0078,B002501,6.24,2025-12-31 19:00:27,0
T0000337,C00591,D00948,M0031,B002370,290.13,2026-06-04 07:32:23,0
T0000338,C00131,D00845,M0044,B002374,182.44,2026-03-08 16:11:25,0
T0000339,C01462,D00930,M0005,B000603,96.42,2026-05-12 09:01:37,1
T0000340,C01393,D00938,M0001,B002122,15.44,2025-08-25 10:37:56,0
T0000341,C00985,D01412,M0084,B002980,101.48,2026-02-16 16:03:33,0
T0000342,C01833,D01030,M0095,B002039,96.22,2026-04-16 10:04:05,0
T0000343,C00901,D00263,M0098,B000142,28.53,2026-05-06 01:47:51,0
T0000344,C00633,D00503,M0027,B002085,85.33,2025-11-25 22:24:55,0
T0000345,C00629,D00818,M0038,B001390,76.25,2025-11-16 06:38:42,0
T0000346,C00284,D00985,M0064,B001230,143.51,2026-01-02 05:21:04,0
T0000347,C01027,D00402,M0006,B001948,151.22,2025-10-28 06:37:28,0
